lig_0,lig_1,freenrg,error,engine,method
lig_60,lig_67,-0.5301 kcal/mol,0.0685 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_59,0.3620 kcal/mol,0.0640 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_67,-0.5301 kcal/mol,0.0685 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_59,0.3620 kcal/mol,0.0640 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_56,lig_58,-1.1890 kcal/mol,0.0176 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_63,-1.5103 kcal/mol,0.0158 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_61,0.9074 kcal/mol,0.0226 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_30,lig_40,-1.7768e+07 kcal/mol,0.5970 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_45,2.0559 kcal/mol,0.0463 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_27,lig_38,-1.6570 kcal/mol,0.0396 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_29,lig_33,1.6785 kcal/mol,0.0351 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_38,-0.4349 kcal/mol,0.0426 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_44,-3.2669 kcal/mol,0.0356 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_31,lig_36,-1.9023 kcal/mol,0.0261 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_27,lig_48,-6.1750e+07 kcal/mol,0.6100 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_34,-0.4490 kcal/mol,0.0300 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_32,lig_34,-2.0329 kcal/mol,0.0153 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_26,lig_44,-0.5682 kcal/mol,0.0218 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_23,lig_44,-1.0143 kcal/mol,0.0239 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_65,lig_67,0.3189 kcal/mol,0.0708 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_27,lig_28,0.5937 kcal/mol,0.0275 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_35,-0.7712 kcal/mol,0.0158 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_37,lig_56,-0.0987 kcal/mol,0.0255 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_49,lig_50,-0.0884 kcal/mol,0.0171 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_52,lig_53,-0.9209 kcal/mol,0.0142 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_53,lig_58,-0.5836 kcal/mol,0.0249 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_65,-1.2170 kcal/mol,0.0141 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_26,lig_42,0.5518 kcal/mol,0.0152 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_23,lig_42,0.5551 kcal/mol,0.0178 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_32,lig_33,-0.0370 kcal/mol,0.0086 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_37,lig_67,-0.7499 kcal/mol,0.0132 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_43,lig_47,1.4554 kcal/mol,0.0152 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_50,lig_61,-0.0206 kcal/mol,0.0153 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_53,lig_63,-0.4518 kcal/mol,0.0151 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
