lig_0,lig_1,freenrg,error,engine,method
lig_60,lig_67,-0.4717 kcal/mol,0.0673 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_59,-0.5363 kcal/mol,0.4319 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_27,lig_59,  nan kcal/mol,  nan kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_67,-0.4717 kcal/mol,0.0673 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_27,lig_59,  nan kcal/mol,  nan kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_59,-0.5363 kcal/mol,0.4319 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_28,lig_46,0.5386 kcal/mol,  nan kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_35,lig_52,  nan kcal/mol,  nan kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_56,lig_58,-0.9053 kcal/mol,0.1824 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_35,lig_49,  nan kcal/mol,  nan kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_63,-1.3855 kcal/mol,0.1268 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_61,1.0096 kcal/mol,0.1716 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_27,lig_40,  nan kcal/mol,  nan kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_30,lig_40,-1.3544e+07 kcal/mol,4.6652e+06 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_45,1.6460 kcal/mol,0.6737 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
