lig_0,lig_1,freenrg,error,engine,method
lig_60,lig_67,-0.3381 kcal/mol,0.0684 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_59,-0.8056 kcal/mol,0.0626 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_67,-0.3381 kcal/mol,0.0684 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_59,-0.8056 kcal/mol,0.0626 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_28,lig_46,-0.6587 kcal/mol,0.2952 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_56,lig_58,-0.9192 kcal/mol,0.0183 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_63,-1.5188 kcal/mol,0.0156 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_61,0.7635 kcal/mol,0.0221 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_30,lig_40,-4.2277e+06 kcal/mol,0.5970 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_45,2.6767 kcal/mol,0.0460 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_27,lig_38,-6.0503e+07 kcal/mol,0.5969 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_29,lig_33,2.0294 kcal/mol,0.0367 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_38,0.3810 kcal/mol,0.0428 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_27,lig_29,-1.5652 kcal/mol,0.0349 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_44,-1.6562 kcal/mol,0.0371 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_31,lig_36,-1.7092 kcal/mol,0.0265 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_27,lig_48,-3.5004e+07 kcal/mol,0.6051 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_34,-0.3025 kcal/mol,0.0301 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_32,lig_34,-1.8442 kcal/mol,0.0155 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_26,lig_44,-0.5131 kcal/mol,0.0216 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_23,lig_44,-1.5369 kcal/mol,0.0239 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_65,lig_67,0.3970 kcal/mol,0.0711 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_27,lig_28,-0.2418 kcal/mol,0.0290 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_35,-0.6339 kcal/mol,0.0157 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_37,lig_56,0.1933 kcal/mol,0.0254 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_49,lig_50,-0.1781 kcal/mol,0.0169 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_52,lig_53,-0.8414 kcal/mol,0.0147 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_53,lig_58,-0.7496 kcal/mol,0.0249 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_65,-1.3358 kcal/mol,0.0138 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_26,lig_42,0.5239 kcal/mol,0.0151 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_23,lig_42,0.1259 kcal/mol,0.0181 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_32,lig_33,0.0868 kcal/mol,0.0087 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_37,lig_67,-0.7511 kcal/mol,0.0132 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_43,lig_47,1.5765 kcal/mol,0.0154 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_50,lig_61,-0.2253 kcal/mol,0.0153 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_53,lig_63,-0.3324 kcal/mol,0.0154 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
