lig_0,lig_1,freenrg,error,engine,method
lig_60,lig_67,-0.5468 kcal/mol,0.0684 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_59,-1.1653 kcal/mol,0.0633 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_67,-0.5468 kcal/mol,0.0684 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_59,-1.1653 kcal/mol,0.0633 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_56,lig_58,-0.6077 kcal/mol,0.0180 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_63,-1.1273 kcal/mol,0.0164 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_61,1.3578 kcal/mol,0.0228 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_30,lig_40,-1.8638e+07 kcal/mol,0.5970 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_45,0.2055 kcal/mol,0.0456 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_29,lig_33,2.2849 kcal/mol,0.0352 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_38,-1.0990 kcal/mol,0.0416 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_44,-2.1487 kcal/mol,0.0373 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_31,lig_36,-0.9378 kcal/mol,0.0268 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_27,lig_48,-3.1868e+07 kcal/mol,0.6148 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_34,-0.3200 kcal/mol,0.0300 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_32,lig_34,-1.8587 kcal/mol,0.0157 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_26,lig_44,0.0682 kcal/mol,0.0216 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_23,lig_44,-0.7778 kcal/mol,0.0232 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_65,lig_67,0.8526 kcal/mol,0.0707 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_33,lig_35,-0.1413 kcal/mol,0.0169 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_37,lig_56,-0.1655 kcal/mol,0.0255 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_49,lig_50,-0.2897 kcal/mol,0.0165 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_52,lig_53,-0.8087 kcal/mol,0.0144 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_53,lig_58,-0.6672 kcal/mol,0.0249 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_60,lig_65,-1.3022 kcal/mol,0.0139 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_26,lig_42,0.6739 kcal/mol,0.0150 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_23,lig_42,0.7132 kcal/mol,0.0176 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_32,lig_33,-0.0097 kcal/mol,0.0086 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_37,lig_67,-0.6442 kcal/mol,0.0134 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_43,lig_47,1.5349 kcal/mol,0.0151 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_50,lig_61,-0.0984 kcal/mol,0.0155 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
lig_53,lig_63,-0.4301 kcal/mol,0.0151 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0end
