# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_53,-9.965391765608112,0.19510732720841298
lig_67,-7.58132231909454,0.019872042586042065
lig_65,-8.407777336523473,0.19077160882600377
lig_39,-7.027168974443428,0.054909591356168866
lig_60,-8.91555902265886,0.018630039924414435
lig_33,-6.875604425699508,0.17641507193731215
lig_34,-6.869551974957039,0.1926985947737412
lig_37,-8.954034389873438,0.29808063879063096
lig_56,-9.258568846359017,0.033120070976736776
lig_50,-9.328786531373325,0.14904031939531548
lig_58,-9.408392776997566,0.042582948398661565
lig_61,-8.079861009576787,0.23846451103250474
lig_27,-6.116711582089803,0.12093557345219884
lig_63,-9.062727442102327,0.09538580441300192
lig_32,-6.583362389815528,0.1155062475313695
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_53,lig_67,0.6872,0.1289,0.0
lig_67,lig_65,-0.8569,0.1267,0.0
lig_67,lig_39,2.9814,0.2226,0.0
lig_60,lig_67,-0.8251,0.1772,0.0
lig_33,lig_34,-0.447,0.0559,0.0
lig_34,lig_37,-0.7505,0.0447,0.0
lig_53,lig_56,1.5437,0.0416,0.0
lig_50,lig_58,-2.6927,0.4907,0.0
lig_60,lig_65,-1.1798,0.0553,0.0
lig_33,lig_53,-2.3445,0.0494,0.0
lig_37,lig_53,-2.2009,0.0178,0.0
lig_56,lig_58,-2.0654,0.023,0.0
lig_60,lig_61,1.0334,0.0939,0.0
lig_27,lig_39,-1.0023,0.0885,0.0
lig_50,lig_53,-1.8447,0.1174,0.0
lig_63,lig_61,2.7813,0.0478,0.0
lig_63,lig_65,0.5386,0.037,0.0
lig_33,lig_39,0.0316,0.1703,0.0
lig_32,lig_37,-1.4644,0.083,0.0
lig_27,lig_32,-0.5612,0.1239,0.0
