# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_53,-9.965391765608112,0.19510732720841298
lig_67,-7.58132231909454,0.019872042586042065
lig_65,-8.407777336523473,0.19077160882600377
lig_39,-7.027168974443428,0.054909591356168866
lig_60,-8.91555902265886,0.018630039924414435
lig_33,-6.875604425699508,0.17641507193731215
lig_34,-6.869551974957039,0.1926985947737412
lig_37,-8.954034389873438,0.29808063879063096
lig_56,-9.258568846359017,0.033120070976736776
lig_50,-9.328786531373325,0.14904031939531548
lig_58,-9.408392776997566,0.042582948398661565
lig_61,-8.079861009576787,0.23846451103250474
lig_27,-6.116711582089803,0.12093557345219884
lig_63,-9.062727442102327,0.09538580441300192
lig_32,-6.583362389815528,0.1155062475313695
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_53,lig_67,-1.1472,0.1811,0.0
lig_65,lig_67,-1.0034,0.509,0.0
lig_39,lig_67,-3.4025,0.8134,0.0
lig_60,lig_67,-3.5444,0.0818,0.0
lig_33,lig_34,2.1492,0.7977,0.0
lig_34,lig_37,-1.5598,0.6558,0.0
lig_53,lig_56,1.6049,0.6064,0.0
lig_50,lig_58,-2.038,0.7822,0.0
lig_60,lig_65,-1.9226,0.0622,0.0
lig_33,lig_53,-2.5684,0.5122,0.0
lig_37,lig_53,-2.7161,0.2174,0.0
lig_56,lig_58,-2.3484,0.2067,0.0
lig_60,lig_61,-0.2082,0.2845,0.0
lig_27,lig_39,-2.3133,0.4479,0.0
lig_50,lig_53,-2.3732,1.666,0.0
lig_61,lig_63,-4.3983,0.9897,0.0
lig_63,lig_65,1.6555,1.3756,0.0
lig_33,lig_39,-0.4672,1.0854,0.0
lig_32,lig_37,-0.4569,0.5457,0.0
lig_27,lig_32,-0.3209,0.5282,0.0
