# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_37,-8.954034389873438,0.29808063879063096
lig_65,-8.407777336523473,0.19077160882600377
lig_27,-6.116711582089803,0.12093557345219884
lig_61,-8.079861009576787,0.23846451103250474
lig_53,-9.965391765608112,0.19510732720841298
lig_58,-9.408392776997566,0.042582948398661565
lig_60,-8.91555902265886,0.018630039924414435
lig_39,-7.027168974443428,0.054909591356168866
lig_34,-6.869551974957039,0.1926985947737412
lig_33,-6.875604425699508,0.17641507193731215
lig_67,-7.58132231909454,0.019872042586042065
lig_50,-9.328786531373325,0.14904031939531548
lig_63,-9.062727442102327,0.09538580441300192
lig_32,-6.583362389815528,0.1155062475313695
lig_56,-9.258568846359017,0.033120070976736776
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_37,lig_65,-3.379,0.0908,0.0
lig_27,lig_65,-5.6991,0.1274,0.0
lig_27,lig_61,-2.1307,0.1865,0.0
lig_53,lig_58,-0.6909,0.0485,0.0
lig_27,lig_60,-3.8147,0.3105,0.0
lig_27,lig_39,-2.8241,0.325,0.0
lig_27,lig_34,-2.7607,0.3327,0.0
lig_27,lig_33,-1.0982,0.0627,0.0
lig_27,lig_67,-2.8154,0.1782,0.0
lig_27,lig_50,-1.9839,0.2625,0.0
lig_27,lig_63,-6.5488,0.1657,0.0
lig_27,lig_32,-0.3328,0.0615,0.0
lig_53,lig_63,-0.8809,0.0499,0.0
lig_37,lig_53,-2.4554,0.0623,0.0
lig_27,lig_56,-2.325,0.2642,0.0
lig_37,lig_61,-0.3456,0.1482,0.0
lig_56,lig_58,-2.1527,0.1269,0.0
