lig_0,lig_1,freenrg,error,lower_ci,upper_ci,CI,engine,analysis,method
lig_2b,lig_2h,2.2979 kcal/mol,0.6881 kcal/mol,-0.6628710895264556,5.258747921144683,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2d,lig_2v,0.2280 kcal/mol,0.2535 kcal/mol,-0.8625310375284903,1.3186286042979054,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2c,lig_2e,5.4627 kcal/mol,0.2814 kcal/mol,4.252044962767783,6.673406413526514,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2c,lig_2f,2.2983 kcal/mol,0.9687 kcal/mol,-1.8696965946206356,6.466383962591011,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2d,lig_2w,-0.7343 kcal/mol,0.3219 kcal/mol,-2.1194065315340804,0.6507833592976924,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2x,lig_2y,-0.5626 kcal/mol,0.2461 kcal/mol,-1.6214390036969069,0.4962805034835154,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2a,lig_2w,-0.0605 kcal/mol,0.2386 kcal/mol,-1.0872338589030328,0.9662293260766461,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2e,lig_2v,-1.6929 kcal/mol,0.4471 kcal/mol,-3.616405729411343,0.23062101932525825,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2j,lig_2v,1.7102 kcal/mol,0.4784 kcal/mol,-0.3479763577767945,3.7683939961291846,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2v,lig_2x,-0.8976 kcal/mol,0.2096 kcal/mol,-1.7993878736217988,0.004214541954576823,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2hh,lig_2w,1.6751 kcal/mol,0.5413 kcal/mol,-0.653746827537856,4.003891420253123,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2ii,lig_2w,0.0236 kcal/mol,0.4342 kcal/mol,-1.8444673440610009,1.8916971074030018,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2k,lig_2q,-1.5906 kcal/mol,0.4645 kcal/mol,-3.589149720020166,0.4080304691650618,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2q,lig_2u,0.6546 kcal/mol,0.1950 kcal/mol,-0.18428582135380212,1.4934555505826437,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2p,lig_2s,0.5461 kcal/mol,0.2473 kcal/mol,-0.5178322350746496,1.6100047411613045,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2bb,lig_2z,0.9248 kcal/mol,0.3773 kcal/mol,-0.6987120416833037,2.5483640147104962,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2y,lig_2z,0.5164 kcal/mol,0.4552 kcal/mol,-1.4419364719544332,2.4748204135802165,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2n,lig_2o,1.1384 kcal/mol,0.8859 kcal/mol,-2.6731539220486615,4.949915953977089,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2n,lig_2p,2.5859 kcal/mol,0.3618 kcal/mol,1.0289808665947575,4.142744307588181,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2ee,lig_2l,-1.0232 kcal/mol,0.2849 kcal/mol,-2.2489229666304573,0.2025994434407301,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2ff,lig_2gg,0.7772 kcal/mol,0.2577 kcal/mol,-0.3317666991806987,1.8861852867655045,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2bb,lig_2v,1.0442 kcal/mol,0.1716 kcal/mol,0.3060750721998823,1.782411886565689,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2gg,lig_2j,-0.7257 kcal/mol,0.3685 kcal/mol,-2.311304950516643,0.8599564857456594,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2b,lig_2w,0.2784 kcal/mol,0.5855 kcal/mol,-2.240895987422011,2.7977260156997126,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
lig_2aa,lig_2v,1.8832 kcal/mol,0.4455 kcal/mol,-0.033518942193541346,3.799941365459556,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25,None
