# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_CHEMBL3402744_300,-8.89882,0.64
lig_CHEMBL3402753_200,-9.13905,0.64
lig_CHEMBL3402754_40,-10.0926,0.64
lig_CHEMBL3402747_3400,-7.46041,0.64
lig_CHEMBL3402748_5300,-7.19739,0.64
lig_CHEMBL3402761_1,-12.2782,0.64
lig_CHEMBL3402750_400,-8.72837,0.64
lig_CHEMBL3402752_30000,-6.17032,0.64
lig_CHEMBL3402745_200,-9.13905,0.64
lig_CHEMBL3402751_2100,-7.74589,0.64
lig_CHEMBL3402755_4200,-7.33522,0.64
lig_CHEMBL3402749_500,-8.59616,0.64
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_CHEMBL3402744_300,lig_CHEMBL3402753_200,-6.3186,0.1908,0.0
lig_CHEMBL3402744_300,lig_CHEMBL3402754_40,-2.9875,0.1142,0.0
lig_CHEMBL3402744_300,lig_CHEMBL3402747_3400,2.3581,0.3384,0.0
lig_CHEMBL3402744_300,lig_CHEMBL3402748_5300,-0.5456,0.162,0.0
lig_CHEMBL3402753_200,lig_CHEMBL3402761_1,-2.3213,0.1776,0.0
lig_CHEMBL3402754_40,lig_CHEMBL3402761_1,-2.5083,0.2667,0.0
lig_CHEMBL3402750_400,lig_CHEMBL3402752_30000,3.8307,0.1324,0.0
lig_CHEMBL3402744_300,lig_CHEMBL3402745_200,-2.2117,0.1154,0.0
lig_CHEMBL3402747_3400,lig_CHEMBL3402748_5300,2.2014,0.1744,0.0
lig_CHEMBL3402747_3400,lig_CHEMBL3402751_2100,-0.1991,0.1344,0.0
lig_CHEMBL3402751_2100,lig_CHEMBL3402752_30000,0.3465,0.1185,0.0
lig_CHEMBL3402754_40,lig_CHEMBL3402755_4200,0.5326,0.1129,0.0
lig_CHEMBL3402748_5300,lig_CHEMBL3402749_500,-0.9011,0.0565,0.0
lig_CHEMBL3402749_500,lig_CHEMBL3402750_400,-1.1906,0.1553,0.0
lig_CHEMBL3402753_200,lig_CHEMBL3402754_40,-0.2321,0.1196,0.0
lig_CHEMBL3402753_200,lig_CHEMBL3402755_4200,0.0989,0.0991,0.0
