lig_0,lig_1,freenrg,error,engine,method
lig_ejm45,lig_ejm53,4.7161 kcal/mol,0.2086 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm44,lig_ejm54,0.3156 kcal/mol,0.1323 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm54,lig_ejm55,2.4331 kcal/mol,0.0571 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm48,lig_ejm55,-1.0656 kcal/mol,0.0974 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm45,lig_ejm55,-3.9165 kcal/mol,0.1142 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm43,lig_ejm46,-1.8103 kcal/mol,0.0735 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm43,lig_ejm47,-0.3122 kcal/mol,0.0860 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm42,lig_ejm53,-0.1589 kcal/mol,0.1627 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm42,lig_ejm46,-0.6725 kcal/mol,0.0550 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm42,lig_ejm47,-1.0869 kcal/mol,0.0625 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm42,lig_ejm48,-0.2509 kcal/mol,0.0766 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm43,lig_ejm50,-1.2428 kcal/mol,0.0660 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm42,lig_ejm45,-0.9477 kcal/mol,0.0726 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm42,lig_ejm50,-0.5005 kcal/mol,0.0271 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm44,lig_ejm55,-3.2656 kcal/mol,0.0687 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm44,lig_ejm49,-2.3132 kcal/mol,0.2392 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm31,lig_ejm49,-0.7197 kcal/mol,0.1525 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm31,lig_ejm42,0.4507 kcal/mol,0.0557 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm42,lig_ejm55,-0.7042 kcal/mol,0.0291 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm42,lig_ejm44,-0.3448 kcal/mol,0.0885 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_jmc27,lig_jmc30,-0.0817 kcal/mol,0.0509 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_jmc23,lig_jmc30,0.2423 kcal/mol,0.0329 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm31,lig_ejm44,0.8779 kcal/mol,0.1305 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm42,lig_ejm43,-0.5773 kcal/mol,0.0559 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm43,lig_ejm44,1.7803 kcal/mol,0.0603 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm46,lig_jmc27,1.2071 kcal/mol,0.0779 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm46,lig_jmc23,0.5681 kcal/mol,0.0329 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_jmc27,lig_jmc28,1.0289 kcal/mol,0.0294 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_jmc23,lig_jmc28,-0.1691 kcal/mol,0.0254 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_jmc23,lig_jmc27,-0.4126 kcal/mol,0.0452 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm42,lig_ejm49,-0.4422 kcal/mol,0.1773 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm31,lig_ejm48,1.1369 kcal/mol,0.0843 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm31,lig_ejm47,-1.1278 kcal/mol,0.0630 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm31,lig_jmc23,-1.1901 kcal/mol,0.0773 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm31,lig_ejm53,0.5398 kcal/mol,0.1834 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm31,lig_ejm46,-1.4894 kcal/mol,0.0512 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm44,lig_ejm45,-1.7743 kcal/mol,0.1468 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm31,lig_ejm45,0.2788 kcal/mol,0.0553 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_jmc28,lig_jmc30,-0.3846 kcal/mol,0.0413 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm46,lig_jmc30,-0.9869 kcal/mol,0.0668 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm42,lig_ejm54,-0.3829 kcal/mol,0.0618 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm31,lig_ejm50,-0.1139 kcal/mol,0.0471 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm46,lig_jmc28,-0.3145 kcal/mol,0.0559 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
lig_ejm48,lig_ejm53,1.0495 kcal/mol,0.0231 kcal/mol,SOMD,MBAR_alchemlyb_eqfalse_statsfalse_truncate0start
