,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_ejm54~lig_ejm55,2.58,0.1807,0.9389,0.1888
lig_ejm42~lig_ejm43,-0.6163,0.0274,0.615,0.1235
lig_ejm46~lig_jmc23,0.4151,0.0672,-0.139,0.0947
lig_ejm31~lig_ejm43,0.9778,0.1142,0.3928,0.2269
lig_ejm31~lig_ejm47,-0.4793,0.3682,-1.1196,0.1051
lig_jmc23~lig_jmc27,-0.3684,0.0427,-0.4643,0.2059
lig_ejm53~lig_ejm54,-1.7751,0.3846,-2.9351,0.162
lig_ejm42~lig_ejm45,-0.7098,0.262,0.0987,0.504
lig_ejm31~lig_ejm44,1.0639,0.1601,3.5892,0.4246
lig_ejm31~lig_ejm42,2.385,1.6326,1.8833,0.2238
lig_jmc23~lig_jmc28,-0.2812,0.0882,-0.1649,0.1985
lig_ejm31~lig_ejm55,-0.2026,0.097,-0.8976,0.158
lig_ejm42~lig_ejm53,0.6376,0.778,0.3002,0.2973
lig_ejm42~lig_ejm50,-0.6082,0.1329,0.137,0.6422
lig_ejm31~lig_jmc28,-0.1316,0.0814,-0.5159,0.0782
lig_ejm31~lig_jmc30,-1.5904,0.1501,-1.6822,0.1553
lig_ejm42~lig_ejm48,-0.4042,0.1879,-0.2223,0.2819
lig_ejm31~lig_ejm49,-0.3849,0.5983,-0.0321,0.0804
lig_ejm42~lig_ejm47,-1.0341,0.0848,-0.5819,0.2709
lig_ejm31~lig_ejm54,0.2428,0.1082,-0.1177,0.0729
lig_ejm45~lig_ejm55,-3.23,0.4856,-3.1023,0.2294
lig_ejm31~lig_ejm48,0.5607,0.3842,0.1717,0.0607
lig_ejm42~lig_ejm46,-0.8979,0.1561,0.6676,0.2794
lig_ejm44~lig_jmc30,-5.3037,0.5499,-4.3395,0.1418
lig_ejm42~lig_ejm49,-0.453,0.3822,-1.0828,0.223
lig_ejm31~lig_ejm46,-0.7292,0.4054,-0.4274,0.3518
lig_ejm50~lig_ejm55,,,-0.8715,0.2306
lig_ejm53~lig_jmc27,-1.1398,0.0901,-0.2604,0.2255
lig_ejm44~lig_ejm55,-2.366,0.4695,-5.0591,0.3818
lig_jmc27~lig_jmc30,-0.1525,0.1923,0.0203,0.2261
