,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_ejm54~lig_ejm55,2.58,0.1807,2.58,0.1807
lig_ejm42~lig_ejm43,-0.6163,0.0274,-0.6163,0.0274
lig_ejm46~lig_jmc23,0.4151,0.0672,0.4151,0.0672
lig_ejm31~lig_ejm43,0.9778,0.1142,0.9778,0.1142
lig_ejm31~lig_ejm47,-0.4793,0.3682,-0.4793,0.3682
lig_jmc23~lig_jmc27,-0.3684,0.0427,-0.3684,0.0427
lig_ejm53~lig_ejm54,-1.7751,0.3846,-1.7751,0.3846
lig_ejm42~lig_ejm45,-0.7098,0.262,-0.7098,0.262
lig_ejm31~lig_ejm44,1.0639,0.1601,1.0639,0.1601
lig_ejm31~lig_ejm42,2.385,1.6326,2.385,1.6326
lig_jmc23~lig_jmc28,-0.2812,0.0882,-0.2812,0.0882
lig_ejm31~lig_ejm55,-0.2026,0.097,-0.2026,0.097
lig_ejm42~lig_ejm53,0.6376,0.778,0.6376,0.778
lig_ejm42~lig_ejm50,-0.6082,0.1329,-0.6082,0.1329
lig_ejm31~lig_jmc28,-0.1316,0.0814,-0.1316,0.0814
lig_ejm31~lig_jmc30,-1.5904,0.1501,-1.5904,0.1501
lig_ejm42~lig_ejm48,-0.4042,0.1879,-0.4042,0.1879
lig_ejm31~lig_ejm49,-0.3849,0.5983,-0.3849,0.5983
lig_ejm42~lig_ejm47,-1.0341,0.0848,-1.0341,0.0848
lig_ejm31~lig_ejm54,0.2428,0.1082,0.2428,0.1082
lig_ejm45~lig_ejm55,-3.23,0.4856,-3.23,0.4856
lig_ejm31~lig_ejm48,0.5607,0.3842,0.5607,0.3842
lig_ejm42~lig_ejm46,-0.8979,0.1561,-0.8979,0.1561
lig_ejm44~lig_jmc30,-5.3037,0.5499,-5.3037,0.5499
lig_ejm42~lig_ejm49,-0.453,0.3822,-0.453,0.3822
lig_ejm31~lig_ejm46,-0.7292,0.4054,-0.7292,0.4054
lig_ejm50~lig_ejm55,,,,
lig_ejm53~lig_jmc27,-1.1398,0.0901,-1.1398,0.0901
lig_ejm44~lig_ejm55,-2.366,0.4695,-2.366,0.4695
lig_jmc27~lig_jmc30,-0.1525,0.1923,-0.1525,0.1923
