,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_ejm42~lig_ejm49,-0.9978,0.2138,-1.0828,0.223
lig_ejm31~lig_ejm49,0.7327,0.0815,-0.0321,0.0804
lig_ejm31~lig_ejm48,-0.1024,0.1959,0.1717,0.0607
lig_ejm31~lig_ejm53,1.2371,0.1556,1.9386,0.3743
lig_ejm42~lig_ejm47,-0.6753,0.0472,-0.5819,0.2709
lig_ejm31~lig_ejm47,-0.3927,0.0548,-1.1196,0.1051
lig_ejm31~lig_jmc23,-0.7151,0.0756,0.1451,0.1637
lig_ejm31~lig_ejm46,-0.6039,0.0817,-0.4274,0.3518
lig_ejm44~lig_ejm45,-0.7128,0.1691,-2.4362,0.137
lig_ejm31~lig_ejm45,0.6735,0.19,0.8486,0.1246
lig_jmc28~lig_jmc30,-0.7541,0.0087,-0.7031,0.1549
lig_ejm46~lig_jmc30,-1.0117,0.095,-1.2826,0.1894
lig_ejm42~lig_ejm54,-0.2863,0.0545,-0.0237,0.1599
lig_ejm54~lig_ejm55,1.4168,0.0419,0.9389,0.1888
lig_ejm31~lig_ejm50,0.5739,0.0239,1.0907,0.0552
lig_ejm42~lig_ejm43,-0.5386,0.0157,0.615,0.1235
lig_ejm43~lig_ejm44,1.7109,0.0716,2.135,0.2551
lig_ejm46~lig_jmc28,0.0966,0.0434,0.4162,0.1133
lig_ejm42~lig_ejm50,-0.2052,0.0294,0.137,0.6422
lig_ejm42~lig_ejm55,-0.2998,0.0628,-1.2242,0.2141
lig_ejm48~lig_ejm53,1.2643,0.1852,-0.3929,0.2015
lig_jmc23~lig_jmc27,-0.4173,0.0298,-0.4643,0.2059
lig_jmc23~lig_jmc28,-0.68,0.0619,-0.1649,0.1985
lig_jmc27~lig_jmc28,,,0.8614,0.0777
lig_ejm45~lig_ejm53,1.2051,0.2807,-0.0213,0.3658
lig_ejm44~lig_ejm54,-1.7788,0.3576,-5.7565,0.7382
lig_ejm48~lig_ejm55,0.3482,0.0813,0.2846,0.2644
lig_ejm45~lig_ejm55,-1.2452,0.452,-3.1023,0.2294
lig_ejm43~lig_ejm46,-1.2995,0.1073,-1.4278,0.1753
lig_ejm43~lig_ejm47,-1.0636,0.0246,0.2931,0.0896
lig_ejm42~lig_ejm53,-0.2048,0.0617,0.3002,0.2973
lig_ejm42~lig_ejm46,-0.3,0.0184,0.6676,0.2794
lig_ejm42~lig_ejm48,-0.8088,0.0405,-0.2223,0.2819
lig_ejm43~lig_ejm50,-0.14,0.1392,-0.6902,0.3586
lig_ejm42~lig_ejm45,2.4812,0.0549,0.0987,0.504
lig_ejm44~lig_ejm55,-2.3722,0.2295,-5.0591,0.3818
lig_ejm44~lig_ejm49,-2.2861,0.0888,0.4018,0.5207
lig_ejm31~lig_ejm42,0.4762,0.0262,1.8833,0.2238
lig_ejm42~lig_ejm44,-0.8053,0.0857,1.8821,0.3962
lig_jmc27~lig_jmc30,-0.4625,0.2287,0.0203,0.2261
lig_jmc23~lig_jmc30,-0.1761,0.1121,-0.4898,0.4643
lig_ejm31~lig_ejm44,1.6815,0.0281,3.5892,0.4246
lig_ejm46~lig_jmc27,1.169,0.0561,0.3519,0.3568
lig_ejm46~lig_jmc23,-1.7602,0.237,-0.139,0.0947
lig_ejm31~lig_jmc28,-1.0097,0.1523,-0.5159,0.0782
Intermediate~lig_ejm49,-1.1299,0.2077,0.6589,0.4482
Intermediate~lig_ejm47,-1.9434,0.1893,-0.8176,0.1332
lig_ejm31~lig_ejm54,0.1094,0.083,-0.1177,0.0729
lig_ejm49~lig_ejm55,-0.5074,0.1447,-1.824,0.1808
lig_ejm31~lig_jmc27,-0.6877,0.0531,-0.656,0.1441
lig_ejm31~lig_ejm55,-0.5742,0.1042,-0.8976,0.158
lig_ejm31~lig_jmc30,-1.8448,0.1009,-1.6822,0.1553
lig_ejm31~lig_ejm43,1.0622,0.0644,0.3928,0.2269
lig_ejm47~lig_ejm55,-0.2057,0.0807,-0.031,0.2413
lig_ejm50~lig_ejm54,0.3914,0.3015,-0.3987,0.3932
lig_ejm53~lig_ejm55,-1.0513,0.1926,-3.2906,0.4034
lig_ejm55~lig_jmc27,-0.6495,0.203,0.49,0.3024
lig_ejm53~lig_ejm54,-2.5368,0.1269,-2.9351,0.162
lig_ejm44~lig_jmc30,-4.4097,0.542,-4.3395,0.1418
lig_ejm50~lig_ejm55,-1.9327,0.2675,-0.8715,0.2306
lig_ejm53~lig_jmc27,-1.6575,0.1501,-0.2604,0.2255
lig_ejm48~lig_ejm54,-1.3954,0.1917,-3.1493,0.1236
