,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_ejm31~lig_ejm50,0.5739,0.0239,0.5739,0.0239
lig_ejm31~lig_ejm42,0.4762,0.0262,0.4762,0.0262
lig_ejm48~lig_ejm53,1.2643,0.1852,1.2643,0.1852
lig_ejm31~lig_ejm45,0.6735,0.19,0.6735,0.19
lig_ejm31~lig_ejm48,-0.1024,0.1959,-0.1024,0.1959
lig_jmc23~lig_jmc30,-0.1761,0.1121,-0.1761,0.1121
lig_ejm43~lig_ejm44,1.7109,0.0716,1.7109,0.0716
lig_ejm31~lig_ejm49,0.7327,0.0815,0.7327,0.0815
lig_ejm31~lig_ejm54,0.1094,0.083,0.1094,0.083
lig_ejm46~lig_jmc23,-1.7602,0.237,-1.7602,0.237
lig_jmc23~lig_jmc27,-0.4173,0.0298,-0.4173,0.0298
lig_ejm31~lig_ejm46,-0.6039,0.0817,-0.6039,0.0817
lig_ejm31~lig_ejm47,-0.3927,0.0548,-0.3927,0.0548
lig_ejm31~lig_ejm44,1.6815,0.0281,1.6815,0.0281
lig_ejm49~lig_ejm55,-0.5074,0.1447,-0.5074,0.1447
lig_ejm31~lig_jmc27,-0.6877,0.0531,-0.6877,0.0531
lig_ejm31~lig_ejm53,1.2371,0.1556,1.2371,0.1556
lig_ejm31~lig_jmc28,-1.0097,0.1523,-1.0097,0.1523
lig_ejm31~lig_ejm55,-0.5742,0.1042,-0.5742,0.1042
lig_ejm31~lig_jmc30,-1.8448,0.1009,-1.8448,0.1009
lig_jmc23~lig_jmc28,-0.68,0.0619,-0.68,0.0619
lig_ejm31~lig_ejm43,1.0622,0.0644,1.0622,0.0644
lig_ejm47~lig_ejm55,-0.2057,0.0807,-0.2057,0.0807
lig_ejm48~lig_ejm55,0.3482,0.0813,0.3482,0.0813
