,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_ejm54~lig_ejm55,1.4168,0.0419,2.58,0.1807
lig_ejm42~lig_ejm43,-0.5386,0.0157,-0.6163,0.0274
lig_ejm49~lig_ejm55,-0.5074,0.1447,-0.5797,0.162
lig_ejm44~lig_ejm49,-2.2861,0.0888,-2.1406,0.1975
lig_ejm48~lig_ejm54,-1.3954,0.1917,-2.293,0.1189
lig_jmc23~lig_jmc27,-0.4173,0.0298,-0.3684,0.0427
lig_jmc23~lig_jmc30,-0.1761,0.1121,0.2833,0.0334
lig_ejm53~lig_ejm54,-2.5368,0.1269,-1.7751,0.3846
lig_ejm42~lig_ejm45,2.4812,0.0549,-0.7098,0.262
lig_jmc27~lig_jmc28,,,0.9311,0.0359
lig_ejm42~lig_ejm53,-0.2048,0.0617,0.6376,0.778
lig_ejm31~lig_ejm44,1.6815,0.0281,1.0639,0.1601
lig_ejm42~lig_ejm50,-0.2052,0.0294,-0.6082,0.1329
lig_ejm46~lig_jmc28,0.0966,0.0434,-0.2118,0.0911
lig_ejm42~lig_ejm55,-0.2998,0.0628,-0.8952,0.0801
lig_jmc28~lig_jmc30,-0.7541,0.0087,-0.1714,0.1272
lig_ejm42~lig_ejm48,-0.8088,0.0405,-0.4042,0.1879
lig_ejm42~lig_ejm47,-0.6753,0.0472,-1.0341,0.0848
lig_ejm43~lig_ejm44,1.7109,0.0716,1.5494,0.1341
lig_ejm31~lig_ejm49,0.7327,0.0815,-0.3849,0.5983
lig_ejm42~lig_ejm46,-0.3,0.0184,-0.8979,0.1561
lig_ejm43~lig_ejm50,-0.14,0.1392,-1.0841,0.1502
lig_ejm45~lig_ejm55,-1.2452,0.452,-3.23,0.4856
lig_ejm46~lig_jmc27,1.169,0.0561,1.0171,0.1245
lig_ejm31~lig_ejm42,0.4762,0.0262,2.385,1.6326
lig_ejm44~lig_ejm55,-2.3722,0.2295,-2.366,0.4695
lig_ejm43~lig_ejm47,-1.0636,0.0246,-0.9204,0.3395
lig_ejm46~lig_jmc30,-1.0117,0.095,-0.9282,0.3057
lig_ejm43~lig_ejm46,-1.2995,0.1073,-1.732,0.096
lig_jmc23~lig_jmc28,-0.68,0.0619,-0.2812,0.0882
