,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_ejm31~lig_ejm50,1.0907,0.0552,0.5739,0.0239
lig_ejm31~lig_ejm42,1.8833,0.2238,0.4762,0.0262
lig_ejm48~lig_ejm53,-0.3929,0.2015,1.2643,0.1852
lig_ejm31~lig_ejm45,0.8486,0.1246,0.6735,0.19
lig_ejm31~lig_ejm48,0.1717,0.0607,-0.1024,0.1959
lig_jmc23~lig_jmc30,-0.4898,0.4643,-0.1761,0.1121
lig_ejm43~lig_ejm44,2.135,0.2551,1.7109,0.0716
lig_ejm31~lig_ejm49,-0.0321,0.0804,0.7327,0.0815
lig_ejm31~lig_ejm54,-0.1177,0.0729,0.1094,0.083
lig_ejm46~lig_jmc23,-0.139,0.0947,-1.7602,0.237
lig_jmc23~lig_jmc27,-0.4643,0.2059,-0.4173,0.0298
lig_ejm31~lig_ejm46,-0.4274,0.3518,-0.6039,0.0817
lig_ejm31~lig_ejm47,-1.1196,0.1051,-0.3927,0.0548
lig_ejm31~lig_ejm44,3.5892,0.4246,1.6815,0.0281
lig_ejm49~lig_ejm55,-1.824,0.1808,-0.5074,0.1447
lig_ejm31~lig_jmc27,-0.656,0.1441,-0.6877,0.0531
lig_ejm31~lig_ejm53,1.9386,0.3743,1.2371,0.1556
lig_ejm31~lig_jmc28,-0.5159,0.0782,-1.0097,0.1523
lig_ejm31~lig_ejm55,-0.8976,0.158,-0.5742,0.1042
lig_ejm31~lig_jmc30,-1.6822,0.1553,-1.8448,0.1009
lig_jmc23~lig_jmc28,-0.1649,0.1985,-0.68,0.0619
lig_ejm31~lig_ejm43,0.3928,0.2269,1.0622,0.0644
lig_ejm47~lig_ejm55,-0.031,0.2413,-0.2057,0.0807
lig_ejm48~lig_ejm55,0.2846,0.2644,0.3482,0.0813
