,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_ejm54~lig_ejm55,0.9389,0.1888,2.58,0.1807
lig_ejm42~lig_ejm43,0.615,0.1235,-0.6163,0.0274
lig_ejm46~lig_jmc23,-0.139,0.0947,0.4151,0.0672
lig_ejm31~lig_ejm43,0.3928,0.2269,0.9778,0.1142
lig_ejm31~lig_ejm47,-1.1196,0.1051,-0.4793,0.3682
lig_jmc23~lig_jmc27,-0.4643,0.2059,-0.3684,0.0427
lig_ejm53~lig_ejm54,-2.9351,0.162,-1.7751,0.3846
lig_ejm42~lig_ejm45,0.0987,0.504,-0.7098,0.262
lig_ejm31~lig_ejm44,3.5892,0.4246,1.0639,0.1601
lig_ejm31~lig_ejm42,1.8833,0.2238,2.385,1.6326
lig_jmc23~lig_jmc28,-0.1649,0.1985,-0.2812,0.0882
lig_ejm31~lig_ejm55,-0.8976,0.158,-0.2026,0.097
lig_ejm42~lig_ejm53,0.3002,0.2973,0.6376,0.778
lig_ejm42~lig_ejm50,0.137,0.6422,-0.6082,0.1329
lig_ejm31~lig_jmc28,-0.5159,0.0782,-0.1316,0.0814
lig_ejm31~lig_jmc30,-1.6822,0.1553,-1.5904,0.1501
lig_ejm42~lig_ejm48,-0.2223,0.2819,-0.4042,0.1879
lig_ejm31~lig_ejm49,-0.0321,0.0804,-0.3849,0.5983
lig_ejm42~lig_ejm47,-0.5819,0.2709,-1.0341,0.0848
lig_ejm31~lig_ejm54,-0.1177,0.0729,0.2428,0.1082
lig_ejm45~lig_ejm55,-3.1023,0.2294,-3.23,0.4856
lig_ejm31~lig_ejm48,0.1717,0.0607,0.5607,0.3842
lig_ejm42~lig_ejm46,0.6676,0.2794,-0.8979,0.1561
lig_ejm44~lig_jmc30,-4.3395,0.1418,-5.3037,0.5499
lig_ejm42~lig_ejm49,-1.0828,0.223,-0.453,0.3822
lig_ejm31~lig_ejm46,-0.4274,0.3518,-0.7292,0.4054
lig_ejm50~lig_ejm55,-0.8715,0.2306,,
lig_ejm53~lig_jmc27,-0.2604,0.2255,-1.1398,0.0901
lig_ejm44~lig_ejm55,-5.0591,0.3818,-2.366,0.4695
lig_jmc27~lig_jmc30,0.0203,0.2261,-0.1525,0.1923
