,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_ejm42~lig_ejm49,-0.453,0.3822,-0.453,0.3822
lig_ejm31~lig_ejm49,-0.3849,0.5983,-0.3849,0.5983
lig_ejm31~lig_ejm48,0.5607,0.3842,0.5607,0.3842
lig_ejm31~lig_ejm53,0.9794,0.3371,0.9794,0.3371
lig_ejm42~lig_ejm47,-1.0341,0.0848,-1.0341,0.0848
lig_ejm31~lig_ejm47,-0.4793,0.3682,-0.4793,0.3682
lig_ejm31~lig_jmc23,-1.2588,0.229,-1.2588,0.229
lig_ejm31~lig_ejm46,-0.7292,0.4054,-0.7292,0.4054
lig_ejm44~lig_ejm45,0.1982,1.0161,0.1982,1.0161
lig_ejm31~lig_ejm45,0.0795,0.2151,0.0795,0.2151
lig_jmc28~lig_jmc30,-0.1714,0.1272,-0.1714,0.1272
lig_ejm46~lig_jmc30,-0.9282,0.3057,-0.9282,0.3057
lig_ejm42~lig_ejm54,-0.5602,0.195,-0.5602,0.195
lig_ejm54~lig_ejm55,2.58,0.1807,2.58,0.1807
lig_ejm31~lig_ejm50,-0.1414,0.0806,-0.1414,0.0806
lig_ejm42~lig_ejm43,-0.6163,0.0274,-0.6163,0.0274
lig_ejm43~lig_ejm44,1.5494,0.1341,1.5494,0.1341
lig_ejm46~lig_jmc28,-0.2118,0.0911,-0.2118,0.0911
lig_ejm42~lig_ejm50,-0.6082,0.1329,-0.6082,0.1329
lig_ejm42~lig_ejm55,-0.8952,0.0801,-0.8952,0.0801
lig_ejm48~lig_ejm53,0.9974,0.0548,0.9974,0.0548
lig_jmc23~lig_jmc27,-0.3684,0.0427,-0.3684,0.0427
lig_jmc23~lig_jmc28,-0.2812,0.0882,-0.2812,0.0882
lig_jmc27~lig_jmc28,0.9311,0.0359,0.9311,0.0359
lig_ejm45~lig_ejm53,5.8556,0.5767,5.8556,0.5767
lig_ejm44~lig_ejm54,0.1838,0.2303,0.1838,0.2303
lig_ejm48~lig_ejm55,-0.7205,0.3624,-0.7205,0.3624
lig_ejm45~lig_ejm55,-3.23,0.4856,-3.23,0.4856
lig_ejm43~lig_ejm46,-1.732,0.096,-1.732,0.096
lig_ejm43~lig_ejm47,-0.9204,0.3395,-0.9204,0.3395
lig_ejm42~lig_ejm53,0.6376,0.778,0.6376,0.778
lig_ejm42~lig_ejm46,-0.8979,0.1561,-0.8979,0.1561
lig_ejm42~lig_ejm48,-0.4042,0.1879,-0.4042,0.1879
lig_ejm43~lig_ejm50,-1.0841,0.1502,-1.0841,0.1502
lig_ejm42~lig_ejm45,-0.7098,0.262,-0.7098,0.262
lig_ejm44~lig_ejm55,-2.366,0.4695,-2.366,0.4695
lig_ejm44~lig_ejm49,-2.1406,0.1975,-2.1406,0.1975
lig_ejm31~lig_ejm42,2.385,1.6326,2.385,1.6326
lig_ejm42~lig_ejm44,-0.4932,0.103,-0.4932,0.103
lig_jmc27~lig_jmc30,-0.1525,0.1923,-0.1525,0.1923
lig_jmc23~lig_jmc30,0.2833,0.0334,0.2833,0.0334
lig_ejm31~lig_ejm44,1.0639,0.1601,1.0639,0.1601
lig_ejm46~lig_jmc27,1.0171,0.1245,1.0171,0.1245
lig_ejm46~lig_jmc23,0.4151,0.0672,0.4151,0.0672
lig_ejm31~lig_jmc28,-0.1316,0.0814,-0.1316,0.0814
Intermediate~lig_ejm49,-1.3785,0.1334,-1.3785,0.1334
Intermediate~lig_ejm47,-1.8097,0.0826,-1.8097,0.0826
lig_ejm31~lig_ejm54,0.2428,0.1082,0.2428,0.1082
lig_ejm49~lig_ejm55,-0.5797,0.162,-0.5797,0.162
lig_ejm31~lig_jmc27,-0.0907,0.249,-0.0907,0.249
lig_ejm31~lig_ejm55,-0.2026,0.097,-0.2026,0.097
lig_ejm31~lig_jmc30,-1.5904,0.1501,-1.5904,0.1501
lig_ejm31~lig_ejm43,0.9778,0.1142,0.9778,0.1142
lig_ejm47~lig_ejm55,-0.4837,0.3568,-0.4837,0.3568
lig_ejm50~lig_ejm54,,,,
lig_ejm53~lig_ejm55,-0.8063,0.3013,-0.8063,0.3013
lig_ejm55~lig_jmc27,-0.1239,0.1994,-0.1239,0.1994
lig_ejm53~lig_ejm54,-1.7751,0.3846,-1.7751,0.3846
lig_ejm44~lig_jmc30,-5.3037,0.5499,-5.3037,0.5499
lig_ejm50~lig_ejm55,,,,
lig_ejm53~lig_jmc27,-1.1398,0.0901,-1.1398,0.0901
lig_ejm48~lig_ejm54,-2.293,0.1189,-2.293,0.1189
