,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_ejm45~lig_ejm53,-0.0213,0.3658,1.2051,0.2807
lig_ejm44~lig_ejm54,-5.7565,0.7382,-1.7788,0.3576
lig_ejm54~lig_ejm55,0.9389,0.1888,1.4168,0.0419
lig_ejm48~lig_ejm55,0.2846,0.2644,0.3482,0.0813
lig_ejm45~lig_ejm55,-3.1023,0.2294,-1.2452,0.452
lig_ejm43~lig_ejm46,-1.4278,0.1753,-1.2995,0.1073
lig_ejm43~lig_ejm47,0.2931,0.0896,-1.0636,0.0246
lig_ejm42~lig_ejm53,0.3002,0.2973,-0.2048,0.0617
lig_ejm42~lig_ejm46,0.6676,0.2794,-0.3,0.0184
lig_ejm42~lig_ejm47,-0.5819,0.2709,-0.6753,0.0472
lig_ejm42~lig_ejm48,-0.2223,0.2819,-0.8088,0.0405
lig_ejm43~lig_ejm50,-0.6902,0.3586,-0.14,0.1392
lig_ejm42~lig_ejm45,0.0987,0.504,2.4812,0.0549
lig_ejm42~lig_ejm50,0.137,0.6422,-0.2052,0.0294
lig_ejm44~lig_ejm55,-5.0591,0.3818,-2.3722,0.2295
lig_ejm44~lig_ejm49,0.4018,0.5207,-2.2861,0.0888
lig_ejm31~lig_ejm49,-0.0321,0.0804,0.7327,0.0815
lig_ejm31~lig_ejm42,1.8833,0.2238,0.4762,0.0262
lig_ejm42~lig_ejm55,-1.2242,0.2141,-0.2998,0.0628
lig_ejm42~lig_ejm44,1.8821,0.3962,-0.8053,0.0857
lig_jmc27~lig_jmc30,0.0203,0.2261,-0.4625,0.2287
lig_jmc23~lig_jmc30,-0.4898,0.4643,-0.1761,0.1121
lig_ejm31~lig_ejm44,3.5892,0.4246,1.6815,0.0281
lig_ejm42~lig_ejm43,0.615,0.1235,-0.5386,0.0157
lig_ejm43~lig_ejm44,2.135,0.2551,1.7109,0.0716
lig_ejm46~lig_jmc27,0.3519,0.3568,1.169,0.0561
lig_ejm46~lig_jmc23,-0.139,0.0947,-1.7602,0.237
lig_jmc27~lig_jmc28,0.8614,0.0777,,
lig_jmc23~lig_jmc28,-0.1649,0.1985,-0.68,0.0619
lig_jmc23~lig_jmc27,-0.4643,0.2059,-0.4173,0.0298
