,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_ejm31~lig_ejm50,1.0907,0.0552,1.0907,0.0552
lig_ejm31~lig_ejm42,1.8833,0.2238,1.8833,0.2238
lig_ejm48~lig_ejm53,-0.3929,0.2015,-0.3929,0.2015
lig_jmc28~lig_jmc30,-0.7031,0.1549,-0.7031,0.1549
lig_ejm31~lig_ejm45,0.8486,0.1246,0.8486,0.1246
lig_ejm31~lig_ejm48,0.1717,0.0607,0.1717,0.0607
lig_jmc23~lig_jmc30,-0.4898,0.4643,-0.4898,0.4643
lig_ejm42~lig_ejm43,0.615,0.1235,0.615,0.1235
lig_ejm43~lig_ejm44,2.135,0.2551,2.135,0.2551
lig_ejm46~lig_jmc23,-0.139,0.0947,-0.139,0.0947
lig_jmc23~lig_jmc27,-0.4643,0.2059,-0.4643,0.2059
lig_ejm31~lig_ejm49,-0.0321,0.0804,-0.0321,0.0804
lig_ejm50~lig_ejm54,-0.3987,0.3932,-0.3987,0.3932
lig_jmc27~lig_jmc28,0.8614,0.0777,0.8614,0.0777
lig_ejm54~lig_ejm55,0.9389,0.1888,0.9389,0.1888
lig_ejm31~lig_ejm47,-1.1196,0.1051,-1.1196,0.1051
lig_ejm46~lig_jmc28,0.4162,0.1133,0.4162,0.1133
lig_ejm31~lig_ejm46,-0.4274,0.3518,-0.4274,0.3518
lig_ejm43~lig_ejm50,-0.6902,0.3586,-0.6902,0.3586
lig_ejm53~lig_ejm55,-3.2906,0.4034,-3.2906,0.4034
lig_ejm44~lig_ejm55,-5.0591,0.3818,-5.0591,0.3818
lig_ejm55~lig_jmc27,0.49,0.3024,0.49,0.3024
lig_ejm47~lig_ejm55,-0.031,0.2413,-0.031,0.2413
lig_ejm42~lig_ejm54,-0.0237,0.1599,-0.0237,0.1599
