,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_ejm31~lig_ejm50,1.0907,0.0552,1.0907,0.0552
lig_ejm31~lig_ejm42,1.8833,0.2238,1.8833,0.2238
lig_ejm48~lig_ejm53,-0.3929,0.2015,-0.3929,0.2015
lig_ejm31~lig_ejm45,0.8486,0.1246,0.8486,0.1246
lig_ejm31~lig_ejm48,0.1717,0.0607,0.1717,0.0607
lig_jmc23~lig_jmc30,-0.4898,0.4643,-0.4898,0.4643
lig_ejm43~lig_ejm44,2.135,0.2551,2.135,0.2551
lig_ejm31~lig_ejm49,-0.0321,0.0804,-0.0321,0.0804
lig_ejm31~lig_ejm54,-0.1177,0.0729,-0.1177,0.0729
lig_ejm46~lig_jmc23,-0.139,0.0947,-0.139,0.0947
lig_jmc23~lig_jmc27,-0.4643,0.2059,-0.4643,0.2059
lig_ejm31~lig_ejm46,-0.4274,0.3518,-0.4274,0.3518
lig_ejm31~lig_ejm47,-1.1196,0.1051,-1.1196,0.1051
lig_ejm31~lig_ejm44,3.5892,0.4246,3.5892,0.4246
lig_ejm49~lig_ejm55,-1.824,0.1808,-1.824,0.1808
lig_ejm31~lig_jmc27,-0.656,0.1441,-0.656,0.1441
lig_ejm31~lig_ejm53,1.9386,0.3743,1.9386,0.3743
lig_ejm31~lig_jmc28,-0.5159,0.0782,-0.5159,0.0782
lig_ejm31~lig_ejm55,-0.8976,0.158,-0.8976,0.158
lig_ejm31~lig_jmc30,-1.6822,0.1553,-1.6822,0.1553
lig_jmc23~lig_jmc28,-0.1649,0.1985,-0.1649,0.1985
lig_ejm31~lig_ejm43,0.3928,0.2269,0.3928,0.2269
lig_ejm47~lig_ejm55,-0.031,0.2413,-0.031,0.2413
lig_ejm48~lig_ejm55,0.2846,0.2644,0.2846,0.2644
