,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_ejm31~lig_ejm50,0.5739,0.0239,1.0907,0.0552
lig_ejm31~lig_ejm42,0.4762,0.0262,1.8833,0.2238
lig_ejm48~lig_ejm53,1.2643,0.1852,-0.3929,0.2015
lig_jmc28~lig_jmc30,-0.7541,0.0087,-0.7031,0.1549
lig_ejm31~lig_ejm45,0.6735,0.19,0.8486,0.1246
lig_ejm31~lig_ejm48,-0.1024,0.1959,0.1717,0.0607
lig_jmc23~lig_jmc30,-0.1761,0.1121,-0.4898,0.4643
lig_ejm42~lig_ejm43,-0.5386,0.0157,0.615,0.1235
lig_ejm43~lig_ejm44,1.7109,0.0716,2.135,0.2551
lig_ejm46~lig_jmc23,-1.7602,0.237,-0.139,0.0947
lig_jmc23~lig_jmc27,-0.4173,0.0298,-0.4643,0.2059
lig_ejm31~lig_ejm49,0.7327,0.0815,-0.0321,0.0804
lig_ejm50~lig_ejm54,0.3914,0.3015,-0.3987,0.3932
lig_jmc27~lig_jmc28,,,0.8614,0.0777
lig_ejm54~lig_ejm55,1.4168,0.0419,0.9389,0.1888
lig_ejm31~lig_ejm47,-0.3927,0.0548,-1.1196,0.1051
lig_ejm46~lig_jmc28,0.0966,0.0434,0.4162,0.1133
lig_ejm31~lig_ejm46,-0.6039,0.0817,-0.4274,0.3518
lig_ejm43~lig_ejm50,-0.14,0.1392,-0.6902,0.3586
lig_ejm53~lig_ejm55,-1.0513,0.1926,-3.2906,0.4034
lig_ejm44~lig_ejm55,-2.3722,0.2295,-5.0591,0.3818
lig_ejm55~lig_jmc27,-0.6495,0.203,0.49,0.3024
lig_ejm47~lig_ejm55,-0.2057,0.0807,-0.031,0.2413
lig_ejm42~lig_ejm54,-0.2863,0.0545,-0.0237,0.1599
