,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_ejm31~lig_ejm50,0.5739,0.0239,1.0907,0.0552
lig_ejm31~lig_ejm42,0.4762,0.0262,1.8833,0.2238
lig_ejm48~lig_ejm53,1.2643,0.1852,-0.3929,0.2015
lig_ejm31~lig_ejm45,0.6735,0.19,0.8486,0.1246
lig_ejm31~lig_ejm48,-0.1024,0.1959,0.1717,0.0607
lig_jmc23~lig_jmc30,-0.1761,0.1121,-0.4898,0.4643
lig_ejm43~lig_ejm44,1.7109,0.0716,2.135,0.2551
lig_ejm31~lig_ejm49,0.7327,0.0815,-0.0321,0.0804
lig_ejm31~lig_ejm54,0.1094,0.083,-0.1177,0.0729
lig_ejm46~lig_jmc23,-1.7602,0.237,-0.139,0.0947
lig_jmc23~lig_jmc27,-0.4173,0.0298,-0.4643,0.2059
lig_ejm31~lig_ejm46,-0.6039,0.0817,-0.4274,0.3518
lig_ejm31~lig_ejm47,-0.3927,0.0548,-1.1196,0.1051
lig_ejm31~lig_ejm44,1.6815,0.0281,3.5892,0.4246
lig_ejm49~lig_ejm55,-0.5074,0.1447,-1.824,0.1808
lig_ejm31~lig_jmc27,-0.6877,0.0531,-0.656,0.1441
lig_ejm31~lig_ejm53,1.2371,0.1556,1.9386,0.3743
lig_ejm31~lig_jmc28,-1.0097,0.1523,-0.5159,0.0782
lig_ejm31~lig_ejm55,-0.5742,0.1042,-0.8976,0.158
lig_ejm31~lig_jmc30,-1.8448,0.1009,-1.6822,0.1553
lig_jmc23~lig_jmc28,-0.68,0.0619,-0.1649,0.1985
lig_ejm31~lig_ejm43,1.0622,0.0644,0.3928,0.2269
lig_ejm47~lig_ejm55,-0.2057,0.0807,-0.031,0.2413
lig_ejm48~lig_ejm55,0.3482,0.0813,0.2846,0.2644
