,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_ejm42~lig_ejm49,-1.0828,0.223,-1.0828,0.223
lig_ejm31~lig_ejm49,-0.0321,0.0804,-0.0321,0.0804
lig_ejm31~lig_ejm48,0.1717,0.0607,0.1717,0.0607
lig_ejm31~lig_ejm53,1.9386,0.3743,1.9386,0.3743
lig_ejm42~lig_ejm47,-0.5819,0.2709,-0.5819,0.2709
lig_ejm31~lig_ejm47,-1.1196,0.1051,-1.1196,0.1051
lig_ejm31~lig_jmc23,0.1451,0.1637,0.1451,0.1637
lig_ejm31~lig_ejm46,-0.4274,0.3518,-0.4274,0.3518
lig_ejm44~lig_ejm45,-2.4362,0.137,-2.4362,0.137
lig_ejm31~lig_ejm45,0.8486,0.1246,0.8486,0.1246
lig_jmc28~lig_jmc30,-0.7031,0.1549,-0.7031,0.1549
lig_ejm46~lig_jmc30,-1.2826,0.1894,-1.2826,0.1894
lig_ejm42~lig_ejm54,-0.0237,0.1599,-0.0237,0.1599
lig_ejm54~lig_ejm55,0.9389,0.1888,0.9389,0.1888
lig_ejm31~lig_ejm50,1.0907,0.0552,1.0907,0.0552
lig_ejm42~lig_ejm43,0.615,0.1235,0.615,0.1235
lig_ejm43~lig_ejm44,2.135,0.2551,2.135,0.2551
lig_ejm46~lig_jmc28,0.4162,0.1133,0.4162,0.1133
lig_ejm42~lig_ejm50,0.137,0.6422,0.137,0.6422
lig_ejm42~lig_ejm55,-1.2242,0.2141,-1.2242,0.2141
lig_ejm48~lig_ejm53,-0.3929,0.2015,-0.3929,0.2015
lig_jmc23~lig_jmc27,-0.4643,0.2059,-0.4643,0.2059
lig_jmc23~lig_jmc28,-0.1649,0.1985,-0.1649,0.1985
lig_jmc27~lig_jmc28,0.8614,0.0777,0.8614,0.0777
lig_ejm45~lig_ejm53,-0.0213,0.3658,-0.0213,0.3658
lig_ejm44~lig_ejm54,-5.7565,0.7382,-5.7565,0.7382
lig_ejm48~lig_ejm55,0.2846,0.2644,0.2846,0.2644
lig_ejm45~lig_ejm55,-3.1023,0.2294,-3.1023,0.2294
lig_ejm43~lig_ejm46,-1.4278,0.1753,-1.4278,0.1753
lig_ejm43~lig_ejm47,0.2931,0.0896,0.2931,0.0896
lig_ejm42~lig_ejm53,0.3002,0.2973,0.3002,0.2973
lig_ejm42~lig_ejm46,0.6676,0.2794,0.6676,0.2794
lig_ejm42~lig_ejm48,-0.2223,0.2819,-0.2223,0.2819
lig_ejm43~lig_ejm50,-0.6902,0.3586,-0.6902,0.3586
lig_ejm42~lig_ejm45,0.0987,0.504,0.0987,0.504
lig_ejm44~lig_ejm55,-5.0591,0.3818,-5.0591,0.3818
lig_ejm44~lig_ejm49,0.4018,0.5207,0.4018,0.5207
lig_ejm31~lig_ejm42,1.8833,0.2238,1.8833,0.2238
lig_ejm42~lig_ejm44,1.8821,0.3962,1.8821,0.3962
lig_jmc27~lig_jmc30,0.0203,0.2261,0.0203,0.2261
lig_jmc23~lig_jmc30,-0.4898,0.4643,-0.4898,0.4643
lig_ejm31~lig_ejm44,3.5892,0.4246,3.5892,0.4246
lig_ejm46~lig_jmc27,0.3519,0.3568,0.3519,0.3568
lig_ejm46~lig_jmc23,-0.139,0.0947,-0.139,0.0947
lig_ejm31~lig_jmc28,-0.5159,0.0782,-0.5159,0.0782
Intermediate~lig_ejm49,0.6589,0.4482,0.6589,0.4482
Intermediate~lig_ejm47,-0.8176,0.1332,-0.8176,0.1332
lig_ejm31~lig_ejm54,-0.1177,0.0729,-0.1177,0.0729
lig_ejm49~lig_ejm55,-1.824,0.1808,-1.824,0.1808
lig_ejm31~lig_jmc27,-0.656,0.1441,-0.656,0.1441
lig_ejm31~lig_ejm55,-0.8976,0.158,-0.8976,0.158
lig_ejm31~lig_jmc30,-1.6822,0.1553,-1.6822,0.1553
lig_ejm31~lig_ejm43,0.3928,0.2269,0.3928,0.2269
lig_ejm47~lig_ejm55,-0.031,0.2413,-0.031,0.2413
lig_ejm50~lig_ejm54,-0.3987,0.3932,-0.3987,0.3932
lig_ejm53~lig_ejm55,-3.2906,0.4034,-3.2906,0.4034
lig_ejm55~lig_jmc27,0.49,0.3024,0.49,0.3024
lig_ejm53~lig_ejm54,-2.9351,0.162,-2.9351,0.162
lig_ejm44~lig_jmc30,-4.3395,0.1418,-4.3395,0.1418
lig_ejm50~lig_ejm55,-0.8715,0.2306,-0.8715,0.2306
lig_ejm53~lig_jmc27,-0.2604,0.2255,-0.2604,0.2255
lig_ejm48~lig_ejm54,-3.1493,0.1236,-3.1493,0.1236
