,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_ejm42~lig_ejm49,-1.0828,0.223,-0.9978,0.2138
lig_ejm31~lig_ejm49,-0.0321,0.0804,0.7327,0.0815
lig_ejm31~lig_ejm48,0.1717,0.0607,-0.1024,0.1959
lig_ejm31~lig_ejm53,1.9386,0.3743,1.2371,0.1556
lig_ejm42~lig_ejm47,-0.5819,0.2709,-0.6753,0.0472
lig_ejm31~lig_ejm47,-1.1196,0.1051,-0.3927,0.0548
lig_ejm31~lig_jmc23,0.1451,0.1637,-0.7151,0.0756
lig_ejm31~lig_ejm46,-0.4274,0.3518,-0.6039,0.0817
lig_ejm44~lig_ejm45,-2.4362,0.137,-0.7128,0.1691
lig_ejm31~lig_ejm45,0.8486,0.1246,0.6735,0.19
lig_jmc28~lig_jmc30,-0.7031,0.1549,-0.7541,0.0087
lig_ejm46~lig_jmc30,-1.2826,0.1894,-1.0117,0.095
lig_ejm42~lig_ejm54,-0.0237,0.1599,-0.2863,0.0545
lig_ejm54~lig_ejm55,0.9389,0.1888,1.4168,0.0419
lig_ejm31~lig_ejm50,1.0907,0.0552,0.5739,0.0239
lig_ejm42~lig_ejm43,0.615,0.1235,-0.5386,0.0157
lig_ejm43~lig_ejm44,2.135,0.2551,1.7109,0.0716
lig_ejm46~lig_jmc28,0.4162,0.1133,0.0966,0.0434
lig_ejm42~lig_ejm50,0.137,0.6422,-0.2052,0.0294
lig_ejm42~lig_ejm55,-1.2242,0.2141,-0.2998,0.0628
lig_ejm48~lig_ejm53,-0.3929,0.2015,1.2643,0.1852
lig_jmc23~lig_jmc27,-0.4643,0.2059,-0.4173,0.0298
lig_jmc23~lig_jmc28,-0.1649,0.1985,-0.68,0.0619
lig_jmc27~lig_jmc28,0.8614,0.0777,,
lig_ejm45~lig_ejm53,-0.0213,0.3658,1.2051,0.2807
lig_ejm44~lig_ejm54,-5.7565,0.7382,-1.7788,0.3576
lig_ejm48~lig_ejm55,0.2846,0.2644,0.3482,0.0813
lig_ejm45~lig_ejm55,-3.1023,0.2294,-1.2452,0.452
lig_ejm43~lig_ejm46,-1.4278,0.1753,-1.2995,0.1073
lig_ejm43~lig_ejm47,0.2931,0.0896,-1.0636,0.0246
lig_ejm42~lig_ejm53,0.3002,0.2973,-0.2048,0.0617
lig_ejm42~lig_ejm46,0.6676,0.2794,-0.3,0.0184
lig_ejm42~lig_ejm48,-0.2223,0.2819,-0.8088,0.0405
lig_ejm43~lig_ejm50,-0.6902,0.3586,-0.14,0.1392
lig_ejm42~lig_ejm45,0.0987,0.504,2.4812,0.0549
lig_ejm44~lig_ejm55,-5.0591,0.3818,-2.3722,0.2295
lig_ejm44~lig_ejm49,0.4018,0.5207,-2.2861,0.0888
lig_ejm31~lig_ejm42,1.8833,0.2238,0.4762,0.0262
lig_ejm42~lig_ejm44,1.8821,0.3962,-0.8053,0.0857
lig_jmc27~lig_jmc30,0.0203,0.2261,-0.4625,0.2287
lig_jmc23~lig_jmc30,-0.4898,0.4643,-0.1761,0.1121
lig_ejm31~lig_ejm44,3.5892,0.4246,1.6815,0.0281
lig_ejm46~lig_jmc27,0.3519,0.3568,1.169,0.0561
lig_ejm46~lig_jmc23,-0.139,0.0947,-1.7602,0.237
lig_ejm31~lig_jmc28,-0.5159,0.0782,-1.0097,0.1523
Intermediate~lig_ejm49,0.6589,0.4482,-1.1299,0.2077
Intermediate~lig_ejm47,-0.8176,0.1332,-1.9434,0.1893
lig_ejm31~lig_ejm54,-0.1177,0.0729,0.1094,0.083
lig_ejm49~lig_ejm55,-1.824,0.1808,-0.5074,0.1447
lig_ejm31~lig_jmc27,-0.656,0.1441,-0.6877,0.0531
lig_ejm31~lig_ejm55,-0.8976,0.158,-0.5742,0.1042
lig_ejm31~lig_jmc30,-1.6822,0.1553,-1.8448,0.1009
lig_ejm31~lig_ejm43,0.3928,0.2269,1.0622,0.0644
lig_ejm47~lig_ejm55,-0.031,0.2413,-0.2057,0.0807
lig_ejm50~lig_ejm54,-0.3987,0.3932,0.3914,0.3015
lig_ejm53~lig_ejm55,-3.2906,0.4034,-1.0513,0.1926
lig_ejm55~lig_jmc27,0.49,0.3024,-0.6495,0.203
lig_ejm53~lig_ejm54,-2.9351,0.162,-2.5368,0.1269
lig_ejm44~lig_jmc30,-4.3395,0.1418,-4.4097,0.542
lig_ejm50~lig_ejm55,-0.8715,0.2306,-1.9327,0.2675
lig_ejm53~lig_jmc27,-0.2604,0.2255,-1.6575,0.1501
lig_ejm48~lig_ejm54,-3.1493,0.1236,-1.3954,0.1917
