,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_ejm54~lig_ejm55,0.9389,0.1888,1.4168,0.0419
lig_ejm42~lig_ejm43,0.615,0.1235,-0.5386,0.0157
lig_ejm46~lig_jmc23,-0.139,0.0947,-1.7602,0.237
lig_ejm31~lig_ejm43,0.3928,0.2269,1.0622,0.0644
lig_ejm31~lig_ejm47,-1.1196,0.1051,-0.3927,0.0548
lig_jmc23~lig_jmc27,-0.4643,0.2059,-0.4173,0.0298
lig_ejm53~lig_ejm54,-2.9351,0.162,-2.5368,0.1269
lig_ejm42~lig_ejm45,0.0987,0.504,2.4812,0.0549
lig_ejm31~lig_ejm44,3.5892,0.4246,1.6815,0.0281
lig_ejm31~lig_ejm42,1.8833,0.2238,0.4762,0.0262
lig_jmc23~lig_jmc28,-0.1649,0.1985,-0.68,0.0619
lig_ejm31~lig_ejm55,-0.8976,0.158,-0.5742,0.1042
lig_ejm42~lig_ejm53,0.3002,0.2973,-0.2048,0.0617
lig_ejm42~lig_ejm50,0.137,0.6422,-0.2052,0.0294
lig_ejm31~lig_jmc28,-0.5159,0.0782,-1.0097,0.1523
lig_ejm31~lig_jmc30,-1.6822,0.1553,-1.8448,0.1009
lig_ejm42~lig_ejm48,-0.2223,0.2819,-0.8088,0.0405
lig_ejm31~lig_ejm49,-0.0321,0.0804,0.7327,0.0815
lig_ejm42~lig_ejm47,-0.5819,0.2709,-0.6753,0.0472
lig_ejm31~lig_ejm54,-0.1177,0.0729,0.1094,0.083
lig_ejm45~lig_ejm55,-3.1023,0.2294,-1.2452,0.452
lig_ejm31~lig_ejm48,0.1717,0.0607,-0.1024,0.1959
lig_ejm42~lig_ejm46,0.6676,0.2794,-0.3,0.0184
lig_ejm44~lig_jmc30,-4.3395,0.1418,-4.4097,0.542
lig_ejm42~lig_ejm49,-1.0828,0.223,-0.9978,0.2138
lig_ejm31~lig_ejm46,-0.4274,0.3518,-0.6039,0.0817
lig_ejm50~lig_ejm55,-0.8715,0.2306,-1.9327,0.2675
lig_ejm53~lig_jmc27,-0.2604,0.2255,-1.6575,0.1501
lig_ejm44~lig_ejm55,-5.0591,0.3818,-2.3722,0.2295
lig_jmc27~lig_jmc30,0.0203,0.2261,-0.4625,0.2287
