,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_ejm42~lig_ejm49,-0.9978,0.2138,-0.9978,0.2138
lig_ejm31~lig_ejm49,0.7327,0.0815,0.7327,0.0815
lig_ejm31~lig_ejm48,-0.1024,0.1959,-0.1024,0.1959
lig_ejm31~lig_ejm53,1.2371,0.1556,1.2371,0.1556
lig_ejm42~lig_ejm47,-0.6753,0.0472,-0.6753,0.0472
lig_ejm31~lig_ejm47,-0.3927,0.0548,-0.3927,0.0548
lig_ejm31~lig_jmc23,-0.7151,0.0756,-0.7151,0.0756
lig_ejm31~lig_ejm46,-0.6039,0.0817,-0.6039,0.0817
lig_ejm44~lig_ejm45,-0.7128,0.1691,-0.7128,0.1691
lig_ejm31~lig_ejm45,0.6735,0.19,0.6735,0.19
lig_jmc28~lig_jmc30,-0.7541,0.0087,-0.7541,0.0087
lig_ejm46~lig_jmc30,-1.0117,0.095,-1.0117,0.095
lig_ejm42~lig_ejm54,-0.2863,0.0545,-0.2863,0.0545
lig_ejm54~lig_ejm55,1.4168,0.0419,1.4168,0.0419
lig_ejm31~lig_ejm50,0.5739,0.0239,0.5739,0.0239
lig_ejm42~lig_ejm43,-0.5386,0.0157,-0.5386,0.0157
lig_ejm43~lig_ejm44,1.7109,0.0716,1.7109,0.0716
lig_ejm46~lig_jmc28,0.0966,0.0434,0.0966,0.0434
lig_ejm42~lig_ejm50,-0.2052,0.0294,-0.2052,0.0294
lig_ejm42~lig_ejm55,-0.2998,0.0628,-0.2998,0.0628
lig_ejm48~lig_ejm53,1.2643,0.1852,1.2643,0.1852
lig_jmc23~lig_jmc27,-0.4173,0.0298,-0.4173,0.0298
lig_jmc23~lig_jmc28,-0.68,0.0619,-0.68,0.0619
lig_jmc27~lig_jmc28,,,,
lig_ejm45~lig_ejm53,1.2051,0.2807,1.2051,0.2807
lig_ejm44~lig_ejm54,-1.7788,0.3576,-1.7788,0.3576
lig_ejm48~lig_ejm55,0.3482,0.0813,0.3482,0.0813
lig_ejm45~lig_ejm55,-1.2452,0.452,-1.2452,0.452
lig_ejm43~lig_ejm46,-1.2995,0.1073,-1.2995,0.1073
lig_ejm43~lig_ejm47,-1.0636,0.0246,-1.0636,0.0246
lig_ejm42~lig_ejm53,-0.2048,0.0617,-0.2048,0.0617
lig_ejm42~lig_ejm46,-0.3,0.0184,-0.3,0.0184
lig_ejm42~lig_ejm48,-0.8088,0.0405,-0.8088,0.0405
lig_ejm43~lig_ejm50,-0.14,0.1392,-0.14,0.1392
lig_ejm42~lig_ejm45,2.4812,0.0549,2.4812,0.0549
lig_ejm44~lig_ejm55,-2.3722,0.2295,-2.3722,0.2295
lig_ejm44~lig_ejm49,-2.2861,0.0888,-2.2861,0.0888
lig_ejm31~lig_ejm42,0.4762,0.0262,0.4762,0.0262
lig_ejm42~lig_ejm44,-0.8053,0.0857,-0.8053,0.0857
lig_jmc27~lig_jmc30,-0.4625,0.2287,-0.4625,0.2287
lig_jmc23~lig_jmc30,-0.1761,0.1121,-0.1761,0.1121
lig_ejm31~lig_ejm44,1.6815,0.0281,1.6815,0.0281
lig_ejm46~lig_jmc27,1.169,0.0561,1.169,0.0561
lig_ejm46~lig_jmc23,-1.7602,0.237,-1.7602,0.237
lig_ejm31~lig_jmc28,-1.0097,0.1523,-1.0097,0.1523
Intermediate~lig_ejm49,-1.1299,0.2077,-1.1299,0.2077
Intermediate~lig_ejm47,-1.9434,0.1893,-1.9434,0.1893
lig_ejm31~lig_ejm54,0.1094,0.083,0.1094,0.083
lig_ejm49~lig_ejm55,-0.5074,0.1447,-0.5074,0.1447
lig_ejm31~lig_jmc27,-0.6877,0.0531,-0.6877,0.0531
lig_ejm31~lig_ejm55,-0.5742,0.1042,-0.5742,0.1042
lig_ejm31~lig_jmc30,-1.8448,0.1009,-1.8448,0.1009
lig_ejm31~lig_ejm43,1.0622,0.0644,1.0622,0.0644
lig_ejm47~lig_ejm55,-0.2057,0.0807,-0.2057,0.0807
lig_ejm50~lig_ejm54,0.3914,0.3015,0.3914,0.3015
lig_ejm53~lig_ejm55,-1.0513,0.1926,-1.0513,0.1926
lig_ejm55~lig_jmc27,-0.6495,0.203,-0.6495,0.203
lig_ejm53~lig_ejm54,-2.5368,0.1269,-2.5368,0.1269
lig_ejm44~lig_jmc30,-4.4097,0.542,-4.4097,0.542
lig_ejm50~lig_ejm55,-1.9327,0.2675,-1.9327,0.2675
lig_ejm53~lig_jmc27,-1.6575,0.1501,-1.6575,0.1501
lig_ejm48~lig_ejm54,-1.3954,0.1917,-1.3954,0.1917
