,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_ejm31~lig_ejm50,0.5739,0.0239,-0.1414,0.0806
lig_ejm31~lig_ejm42,0.4762,0.0262,2.385,1.6326
lig_ejm48~lig_ejm53,1.2643,0.1852,0.9974,0.0548
lig_jmc28~lig_jmc30,-0.7541,0.0087,-0.1714,0.1272
lig_ejm31~lig_ejm45,0.6735,0.19,0.0795,0.2151
lig_ejm31~lig_ejm48,-0.1024,0.1959,0.5607,0.3842
lig_jmc23~lig_jmc30,-0.1761,0.1121,0.2833,0.0334
lig_ejm42~lig_ejm43,-0.5386,0.0157,-0.6163,0.0274
lig_ejm43~lig_ejm44,1.7109,0.0716,1.5494,0.1341
lig_ejm46~lig_jmc23,-1.7602,0.237,0.4151,0.0672
lig_jmc23~lig_jmc27,-0.4173,0.0298,-0.3684,0.0427
lig_ejm31~lig_ejm49,0.7327,0.0815,-0.3849,0.5983
lig_ejm50~lig_ejm54,0.3914,0.3015,,
lig_jmc27~lig_jmc28,,,0.9311,0.0359
lig_ejm54~lig_ejm55,1.4168,0.0419,2.58,0.1807
lig_ejm31~lig_ejm47,-0.3927,0.0548,-0.4793,0.3682
lig_ejm46~lig_jmc28,0.0966,0.0434,-0.2118,0.0911
lig_ejm31~lig_ejm46,-0.6039,0.0817,-0.7292,0.4054
lig_ejm43~lig_ejm50,-0.14,0.1392,-1.0841,0.1502
lig_ejm53~lig_ejm55,-1.0513,0.1926,-0.8063,0.3013
lig_ejm44~lig_ejm55,-2.3722,0.2295,-2.366,0.4695
lig_ejm55~lig_jmc27,-0.6495,0.203,-0.1239,0.1994
lig_ejm47~lig_ejm55,-0.2057,0.0807,-0.4837,0.3568
lig_ejm42~lig_ejm54,-0.2863,0.0545,-0.5602,0.195
