,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_ejm45~lig_ejm53,1.2051,0.2807,1.2051,0.2807
lig_ejm44~lig_ejm54,-1.7788,0.3576,-1.7788,0.3576
lig_ejm54~lig_ejm55,1.4168,0.0419,1.4168,0.0419
lig_ejm48~lig_ejm55,0.3482,0.0813,0.3482,0.0813
lig_ejm45~lig_ejm55,-1.2452,0.452,-1.2452,0.452
lig_ejm43~lig_ejm46,-1.2995,0.1073,-1.2995,0.1073
lig_ejm43~lig_ejm47,-1.0636,0.0246,-1.0636,0.0246
lig_ejm42~lig_ejm53,-0.2048,0.0617,-0.2048,0.0617
lig_ejm42~lig_ejm46,-0.3,0.0184,-0.3,0.0184
lig_ejm42~lig_ejm47,-0.6753,0.0472,-0.6753,0.0472
lig_ejm42~lig_ejm48,-0.8088,0.0405,-0.8088,0.0405
lig_ejm43~lig_ejm50,-0.14,0.1392,-0.14,0.1392
lig_ejm42~lig_ejm45,2.4812,0.0549,2.4812,0.0549
lig_ejm42~lig_ejm50,-0.2052,0.0294,-0.2052,0.0294
lig_ejm44~lig_ejm55,-2.3722,0.2295,-2.3722,0.2295
lig_ejm44~lig_ejm49,-2.2861,0.0888,-2.2861,0.0888
lig_ejm31~lig_ejm49,0.7327,0.0815,0.7327,0.0815
lig_ejm31~lig_ejm42,0.4762,0.0262,0.4762,0.0262
lig_ejm42~lig_ejm55,-0.2998,0.0628,-0.2998,0.0628
lig_ejm42~lig_ejm44,-0.8053,0.0857,-0.8053,0.0857
lig_jmc27~lig_jmc30,-0.4625,0.2287,-0.4625,0.2287
lig_jmc23~lig_jmc30,-0.1761,0.1121,-0.1761,0.1121
lig_ejm31~lig_ejm44,1.6815,0.0281,1.6815,0.0281
lig_ejm42~lig_ejm43,-0.5386,0.0157,-0.5386,0.0157
lig_ejm43~lig_ejm44,1.7109,0.0716,1.7109,0.0716
lig_ejm46~lig_jmc27,1.169,0.0561,1.169,0.0561
lig_ejm46~lig_jmc23,-1.7602,0.237,-1.7602,0.237
lig_jmc27~lig_jmc28,,,,
lig_jmc23~lig_jmc28,-0.68,0.0619,-0.68,0.0619
lig_jmc23~lig_jmc27,-0.4173,0.0298,-0.4173,0.0298
