,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_jmc28~lig_jmc30,-0.7031,0.1549,-0.1714,0.1272
lig_ejm46~lig_jmc30,-1.2826,0.1894,-0.9282,0.3057
lig_jmc27~lig_jmc28,0.8614,0.0777,0.9311,0.0359
lig_jmc23~lig_jmc28,-0.1649,0.1985,-0.2812,0.0882
lig_ejm31~lig_jmc28,-0.5159,0.0782,-0.1316,0.0814
lig_jmc23~lig_jmc27,-0.4643,0.2059,-0.3684,0.0427
lig_ejm54~lig_ejm55,0.9389,0.1888,2.58,0.1807
lig_ejm45~lig_ejm55,-3.1023,0.2294,-3.23,0.4856
lig_ejm42~lig_ejm54,-0.0237,0.1599,-0.5602,0.195
lig_ejm48~lig_ejm53,-0.3929,0.2015,0.9974,0.0548
lig_ejm31~lig_ejm53,1.9386,0.3743,0.9794,0.3371
lig_ejm42~lig_ejm50,0.137,0.6422,-0.6082,0.1329
lig_ejm31~lig_ejm50,1.0907,0.0552,-0.1414,0.0806
lig_ejm31~lig_ejm49,-0.0321,0.0804,-0.3849,0.5983
Intermediate~lig_ejm49,0.6589,0.4482,-1.3785,0.1334
lig_ejm31~lig_ejm48,0.1717,0.0607,0.5607,0.3842
lig_ejm31~lig_ejm47,-1.1196,0.1051,-0.4793,0.3682
Intermediate~lig_ejm47,-0.8176,0.1332,-1.8097,0.0826
lig_ejm31~lig_ejm46,-0.4274,0.3518,-0.7292,0.4054
lig_ejm42~lig_ejm45,0.0987,0.504,-0.7098,0.262
lig_ejm43~lig_ejm44,2.135,0.2551,1.5494,0.1341
lig_ejm42~lig_ejm44,1.8821,0.3962,-0.4932,0.103
lig_ejm42~lig_ejm43,0.615,0.1235,-0.6163,0.0274
lig_ejm31~lig_ejm42,1.8833,0.2238,2.385,1.6326
