,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_ejm31~lig_ejm50,-0.1414,0.0806,-0.1414,0.0806
lig_ejm31~lig_ejm42,2.385,1.6326,2.385,1.6326
lig_ejm48~lig_ejm53,0.9974,0.0548,0.9974,0.0548
lig_jmc28~lig_jmc30,-0.1714,0.1272,-0.1714,0.1272
lig_ejm31~lig_ejm45,0.0795,0.2151,0.0795,0.2151
lig_ejm31~lig_ejm48,0.5607,0.3842,0.5607,0.3842
lig_jmc23~lig_jmc30,0.2833,0.0334,0.2833,0.0334
lig_ejm42~lig_ejm43,-0.6163,0.0274,-0.6163,0.0274
lig_ejm43~lig_ejm44,1.5494,0.1341,1.5494,0.1341
lig_ejm46~lig_jmc23,0.4151,0.0672,0.4151,0.0672
lig_jmc23~lig_jmc27,-0.3684,0.0427,-0.3684,0.0427
lig_ejm31~lig_ejm49,-0.3849,0.5983,-0.3849,0.5983
lig_ejm50~lig_ejm54,,,,
lig_jmc27~lig_jmc28,0.9311,0.0359,0.9311,0.0359
lig_ejm54~lig_ejm55,2.58,0.1807,2.58,0.1807
lig_ejm31~lig_ejm47,-0.4793,0.3682,-0.4793,0.3682
lig_ejm46~lig_jmc28,-0.2118,0.0911,-0.2118,0.0911
lig_ejm31~lig_ejm46,-0.7292,0.4054,-0.7292,0.4054
lig_ejm43~lig_ejm50,-1.0841,0.1502,-1.0841,0.1502
lig_ejm53~lig_ejm55,-0.8063,0.3013,-0.8063,0.3013
lig_ejm44~lig_ejm55,-2.366,0.4695,-2.366,0.4695
lig_ejm55~lig_jmc27,-0.1239,0.1994,-0.1239,0.1994
lig_ejm47~lig_ejm55,-0.4837,0.3568,-0.4837,0.3568
lig_ejm42~lig_ejm54,-0.5602,0.195,-0.5602,0.195
