,freenrg_experimental,err_experimental,freenrg_calc,err_calc
lig_ejm42~lig_ejm49,2.051998668764364,0.2516159149963097,2.051998668764364,0.2516159149963097
lig_ejm31~lig_ejm49,1.8102760718999757,0.2538095571613463,1.8102760718999757,0.2538095571613463
lig_ejm31~lig_ejm48,0.5462570533499651,0.2538095571613463,0.5462570533499651,0.2538095571613463
lig_ejm31~lig_ejm53,1.638771160049897,0.2538095571613463,1.638771160049897,0.2538095571613463
lig_ejm42~lig_ejm47,0.08655189247071071,0.2504732062756719,0.08655189247071071,0.2504732062756719
lig_ejm31~lig_ejm47,-0.15517070439367764,0.25267676919143917,-0.15517070439367764,0.25267676919143917
lig_ejm31~lig_jmc23,-2.1748305958012217,0.2538095571613463,-2.1748305958012217,0.2538095571613463
lig_ejm31~lig_ejm46,-1.7859395794933661,0.25033363955286936,-1.7859395794933661,0.25033363955286936
lig_ejm44~lig_ejm45,-2.156448562315025,0.24606413866219531,-2.156448562315025,0.24606413866219531
lig_ejm31~lig_ejm45,-0.012551227324822278,0.2529173531669557,-0.012551227324822278,0.2529173531669557
lig_jmc28~lig_jmc30,0.04066311747740059,0.25404925839096637,0.04066311747740059,0.25404925839096637
lig_ejm46~lig_jmc30,0.38133962595794557,0.2480362584076917,0.38133962595794557,0.2480362584076917
lig_ejm42~lig_ejm54,-0.7562373324146225,0.25161591499630975,-0.7562373324146225,0.25161591499630975
lig_ejm54~lig_ejm55,1.3386364377595559,0.2529298092351276,1.3386364377595559,0.2529298092351276
lig_ejm31~lig_ejm50,0.5705935457565765,0.2538095571613463,0.5705935457565765,0.2538095571613463
lig_ejm42~lig_ejm43,1.5348284220190465,0.2506089730379271,1.5348284220190465,0.2506089730379271
lig_ejm43~lig_ejm44,0.8507915098355445,0.2459551845290571,0.8507915098355445,0.2459551845290571
lig_ejm46~lig_jmc28,0.340676508480545,0.25196787131403336,0.340676508480545,0.25196787131403336
lig_ejm42~lig_ejm50,0.8123161426209649,0.2516159149963097,0.8123161426209649,0.2516159149963097
lig_ejm42~lig_ejm55,0.5823991053449333,0.2516159149963097,0.5823991053449333,0.2516159149963097
lig_ejm48~lig_ejm53,1.092514106699932,0.2529298092351276,1.092514106699932,0.2529298092351276
lig_jmc23~lig_jmc27,0.42503306830282206,0.25046238068462245,0.42503306830282206,0.25046238068462245
lig_jmc23~lig_jmc28,0.7295675247884006,0.2554215503617071,0.7295675247884006,0.2554215503617071
lig_jmc27~lig_jmc28,0.30453445648557853,0.2529784262099611,0.30453445648557853,0.2529784262099611
lig_ejm45~lig_ejm53,1.6513223873747194,0.2520344909456996,1.6513223873747194,0.2520344909456996
lig_ejm44~lig_ejm54,-3.1418572642692135,0.2469811007122371,-3.1418572642692135,0.2469811007122371
lig_ejm48~lig_ejm55,-0.20558054486942012,0.2529298092351276,-0.20558054486942012,0.2529298092351276
lig_ejm45~lig_ejm55,0.35322773580536726,0.2520344909456996,0.35322773580536726,0.2520344909456996
lig_ejm43~lig_ejm46,-3.0790454046480242,0.24842587802553825,-3.0790454046480242,0.24842587802553825
lig_ejm43~lig_ejm47,-1.4482765295483357,0.2507868327285097,-1.4482765295483357,0.2507868327285097
lig_ejm42~lig_ejm53,1.8804937569142854,0.2516159149963097,1.8804937569142854,0.2516159149963097
lig_ejm42~lig_ejm46,-1.5442169826289778,0.24810926718842524,-1.5442169826289778,0.24810926718842524
lig_ejm42~lig_ejm48,0.7879796502143535,0.2516159149963097,0.7879796502143535,0.2516159149963097
lig_ejm43~lig_ejm50,-0.7225122793980816,0.25192811888991745,-0.7225122793980816,0.25192811888991745
lig_ejm42~lig_ejm45,0.22917136953956607,0.2507159047726531,0.22917136953956607,0.2507159047726531
lig_ejm44~lig_ejm55,-1.8032208265096576,0.24698110071223706,-1.8032208265096576,0.24698110071223706
lig_ejm44~lig_ejm49,-0.3336212630902269,0.24698110071223708,-0.3336212630902269,0.24698110071223708
lig_ejm31~lig_ejm42,-0.24172259686438835,0.25250024076454025,-0.24172259686438835,0.25250024076454025
lig_ejm42~lig_ejm44,2.385619931854591,0.24563538912123453,2.385619931854591,0.24563538912123453
lig_jmc27~lig_jmc30,0.3451975739629791,0.24906276606114905,0.3451975739629791,0.24906276606114905
lig_jmc23~lig_jmc30,0.7702306422658012,0.25154392399646625,0.7702306422658012,0.25154392399646625
lig_ejm31~lig_ejm44,2.1438973349902026,0.2478819618603759,2.1438973349902026,0.2478819618603759
lig_ejm46~lig_jmc27,0.03614205199496645,0.24693935272361095,0.03614205199496645,0.24693935272361095
