ligand,freenrg,error,engine,analysis,method
lig_ejm42,0.7494545789604395,0.10940411237026752,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_ejm49,0.18971135403670847,0.31379194752657996,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_ejm31,0.313035916878995,0.09176753253164825,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_ejm48,0.5504738815471337,0.2417497102869156,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_ejm53,1.541297286532183,0.24104409968044882,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_ejm47,-0.27868246684587894,0.1299361993423857,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_jmc23,-0.9555054486784545,0.1596183716288385,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_ejm46,-0.38563481696253865,0.17275048428977968,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_ejm44,1.6571508025928081,0.1662808160336061,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_ejm45,0.45527794517448805,0.21631115934524103,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_jmc28,-0.6343550066717993,0.16135335115738092,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_jmc30,-0.8807388188167672,0.194496030633997,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_ejm54,-1.2485174121931546,0.16911463384866895,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_ejm55,0.09685180375889768,0.12956464084413805,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_ejm50,0.16346629117369066,0.09865728129445409,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_ejm43,0.13213650610269015,0.11191490632767225,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_jmc27,-1.465422396589415,0.16104811503718805,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
