# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_224,-9.66013,0.64
lig_290,-10.5657,0.64
lig_235,-10.123,0.64
lig_266,-10.5337,0.64
lig_155,-10.5033,0.64
lig_30,-10.5657,0.64
lig_42,-8.93969,0.64
lig_251,-10.2436,0.64
lig_67,-10.1717,0.64
lig_256,-10.6737,0.64
lig_31,-8.84235,0.64
lig_43,-8.69946,0.64
lig_252,-9.71233,0.64
lig_164,-6.76476,0.64
lig_237,-9.54973,0.64
lig_227,-10.7585,0.64
lig_15,-11.0462,0.64
lig_156,-9.73619,0.64
lig_57,-10.6737,0.64
lig_165,-9.23534,0.64
lig_215,-10.5996,0.64
lig_231,-10.0228,0.64
lig_336,-9.82348,0.64
lig_167,-10.6737,0.64
lig_234,-10.3478,0.64
lig_289,-10.914,0.64
lig_254,-9.54973,0.64
lig_338,-10.7585,0.64
lig_163,-11.0103,0.64
lig_206,-10.123,0.64
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_224,lig_290,-2.5238,0.5325,0.0
lig_224,lig_235,-0.6548,0.0774,0.0
lig_266,lig_290,-1.9592,0.539,0.0
lig_155,lig_30,0.2353,0.1625,0.0
lig_155,lig_42,0.8098,0.1477,0.0
lig_235,lig_266,-1.0026,0.1629,0.0
lig_251,lig_67,-2.5535,0.2764,0.0
lig_256,lig_67,-3.5466,0.2066,0.0
lig_30,lig_42,0.0287,0.2558,0.0
lig_31,lig_43,-0.4115,0.1594,0.0
lig_252,lig_256,-0.3967,0.1416,0.0
lig_164,lig_237,0.8646,0.6505,0.0
lig_227,lig_235,2.4707,0.0553,0.0
lig_15,lig_227,-2.2043,0.0422,0.0
lig_15,lig_237,-0.3076,0.0174,0.0
lig_156,lig_57,-2.0533,0.0645,0.0
lig_164,lig_165,-0.3882,0.0165,0.0
lig_215,lig_231,0.398,0.0639,0.0
lig_235,lig_290,-1.8708,0.6156,0.0
lig_15,lig_215,1.3408,0.1991,0.0
lig_227,lig_290,-0.768,0.0515,0.0
lig_231,lig_336,0.0511,0.0196,0.0
lig_30,lig_31,1.829,0.2555,0.0
lig_155,lig_156,-0.1167,0.0505,0.0
lig_155,lig_57,-1.6295,0.105,0.0
lig_167,lig_215,-0.2729,0.0351,0.0
lig_167,lig_234,0.9653,0.0446,0.0
lig_227,lig_57,2.1541,0.0286,0.0
lig_231,lig_289,-0.7515,0.0381,0.0
lig_251,lig_256,0.1754,0.5162,0.0
lig_252,lig_254,1.3034,0.1378,0.0
lig_252,lig_338,-0.4264,0.0721,0.0
lig_336,lig_338,0.3004,0.075,0.0
lig_42,lig_43,0.6361,0.0064,0.0
lig_163,lig_165,-0.3157,0.2322,0.0
lig_163,lig_234,0.288,0.0528,0.0
lig_163,lig_252,-0.3673,0.1304,0.0
lig_206,lig_215,-2.0069,0.0289,0.0
lig_206,lig_254,-1.0096,0.2208,0.0
lig_289,lig_336,1.842,0.0801,0.0
