# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_224,-9.66013,0.64
lig_290,-10.5657,0.64
lig_235,-10.123,0.64
lig_266,-10.5337,0.64
lig_155,-10.5033,0.64
lig_30,-10.5657,0.64
lig_42,-8.93969,0.64
lig_251,-10.2436,0.64
lig_67,-10.1717,0.64
lig_256,-10.6737,0.64
lig_23,-7.06742,0.64
lig_31,-8.84235,0.64
lig_43,-8.69946,0.64
lig_252,-9.71233,0.64
lig_164,-6.76476,0.64
lig_237,-9.54973,0.64
lig_227,-10.7585,0.64
lig_15,-11.0462,0.64
lig_156,-9.73619,0.64
lig_57,-10.6737,0.64
lig_165,-9.23534,0.64
lig_215,-10.5996,0.64
lig_231,-10.0228,0.64
lig_336,-9.82348,0.64
lig_167,-10.6737,0.64
lig_234,-10.3478,0.64
lig_289,-10.914,0.64
lig_254,-9.54973,0.64
lig_338,-10.7585,0.64
lig_163,-11.0103,0.64
lig_206,-10.123,0.64
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_224,lig_290,-3.5806,0.1389,0.0
lig_224,lig_235,0.6185,1.2311,0.0
lig_266,lig_290,-3.3589,0.228,0.0
lig_155,lig_30,1.4467,0.5306,0.0
lig_155,lig_42,2.4596,0.3858,0.0
lig_235,lig_266,0.2522,1.0493,0.0
lig_251,lig_67,-2.4128,0.2819,0.0
lig_256,lig_67,-4.2761,0.3565,0.0
lig_30,lig_42,0.9831,0.132,0.0
lig_155,lig_23,2.9146,0.2189,0.0
lig_31,lig_43,0.0633,0.0931,0.0
lig_23,lig_251,-2.9683,0.3695,0.0
lig_252,lig_256,1.2323,0.9041,0.0
lig_164,lig_237,0.1073,0.5914,0.0
lig_227,lig_235,2.1283,0.3495,0.0
lig_15,lig_227,-2.3295,0.2417,0.0
lig_15,lig_237,-0.2849,0.0451,0.0
lig_156,lig_57,-1.7865,0.1271,0.0
lig_164,lig_165,-0.4057,0.0295,0.0
lig_215,lig_231,2.8376,0.3064,0.0
lig_235,lig_290,-0.5005,0.2503,0.0
lig_15,lig_215,-0.0862,0.4561,0.0
lig_227,lig_290,2.168,0.3646,0.0
lig_231,lig_336,0.1563,0.7055,0.0
lig_30,lig_31,1.2018,0.3771,0.0
lig_155,lig_156,1.202,0.4576,0.0
lig_155,lig_57,-0.5781,0.4128,0.0
lig_167,lig_215,-1.6095,1.0536,0.0
lig_167,lig_234,0.3218,0.1113,0.0
lig_227,lig_57,2.4039,0.2624,0.0
lig_231,lig_289,-1.3205,0.0363,0.0
lig_251,lig_256,1.7637,0.9204,0.0
lig_252,lig_254,1.5054,0.3696,0.0
lig_252,lig_338,-0.1479,0.1996,0.0
lig_336,lig_338,-1.0034,0.2659,0.0
lig_42,lig_43,-1.4036,0.8893,0.0
lig_163,lig_165,1.0405,0.4845,0.0
lig_163,lig_234,-0.4183,0.209,0.0
lig_163,lig_252,0.2888,0.3587,0.0
lig_206,lig_215,-2.8162,0.4687,0.0
lig_206,lig_254,-1.3297,0.238,0.0
lig_289,lig_336,0.3826,0.3017,0.0
