lig_1,lig_25,0.90484
lig_1,lig_26,0.90484
lig_10,lig_21,0.95123
lig_10,lig_33,0.95123
lig_11,lig_35,0.57695
lig_11,lig_36,0.63763
lig_12,lig_13,0.27253
lig_12,lig_2,0.27253
lig_12,lig_22,0.81873
lig_12,lig_28,0.90484
lig_13,lig_2,0.67032
lig_13,lig_5,0.86071
lig_14,lig_38,0.90484
lig_14,lig_42,0.81873
lig_15,lig_32,0.60653
lig_15,lig_6,0.90484
lig_16,lig_21,0.90484
lig_16,lig_4,0.90484
lig_17,lig_4,0.90484
lig_17,lig_42,0.95123
lig_18,lig_23,0.74082
lig_18,lig_40,0.57695
lig_19,lig_30,0.81873
lig_19,lig_6,0.74082
lig_2,lig_23,0.90484
lig_20,lig_37,0.57695
lig_20,lig_40,0.60653
lig_21,lig_25,0.86071
lig_21,lig_33,0.90484
lig_21,lig_39,0.86071
lig_21,lig_42,0.90484
lig_22,lig_8,0.90484
lig_24,lig_37,0.74082
lig_24,lig_5,0.63763
lig_25,lig_26,0.81873
lig_25,lig_33,0.90484
lig_27,lig_3,0.81873
lig_27,lig_8,0.86071
lig_28,lig_6,0.74082
lig_28,lig_8,0.81873
lig_29,lig_42,0.81873
lig_29,lig_7,0.7788
lig_3,lig_31,0.01653
lig_3,lig_8,0.7788
lig_30,lig_6,0.90484
lig_31,lig_41,0.01653
lig_32,lig_6,0.67032
lig_33,lig_35,0.74082
lig_33,lig_42,0.86071
lig_34,lig_35,0.70469
lig_34,lig_41,0.70469
lig_34,lig_6,0.86071
lig_35,lig_36,0.90484
lig_38,lig_42,0.90484
lig_39,lig_7,0.81873
lig_39,lig_8,0.81873
lig_4,lig_42,0.95123
lig_41,lig_6,0.70469
lig_41,lig_9,0.52205
