ligand,freenrg,error,engine,analysis,method
lig_61,1.3792279216326142,0.42091911516053365,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_67,-2.828712618644687,0.3461085313231078,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_39,0.27626363699963963,0.4125212532444405,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_27,2.49934932949805,0.23397076989930218,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_60,1.5467901591253668,0.4684510169566341,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_33,1.073188697392309,0.2691805229692031,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_53,-1.6753807801472105,0.3450157502297022,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_32,2.178449329498057,0.5445532075325042,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_58,-2.907799318814984,0.43346013112132925,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_34,2.884349329498057,0.7917561100704807,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_37,0.35502584229326367,0.4497454727676688,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_63,-3.304754146544108,0.7407059468828743,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_65,-0.07006060568895744,0.9458542373635466,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_56,-0.7165520307650338,0.6560182568578394,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_50,-0.6893847453323787,0.6472208313576802,GROMACS,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
