ligand,freenrg,error,engine,analysis,method
lig_53,-1.9675807301462638,0.07471311519718583,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_67,-0.6998523157718997,0.11052874643464906,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_65,-2.6198621337075876,0.13867767826964028,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_39,0.9851968502438266,0.2116026477055254,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_60,-0.8868040541486248,0.1395066312796756,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_33,2.182305339655032,0.16021642384415852,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_34,1.5483367869846674,0.1424953488851934,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_37,0.4974615451992588,0.08270311480615197,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_56,-0.41722533344277335,0.11940681735298818,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_50,0.273448867537903,0.150860839679542,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_58,-2.556986886228266,0.14225875081009906,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_61,0.20738569690511977,0.17981099852275773,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_27,3.4286431150759746,0.1194963431060314,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_63,-3.0566793061688955,0.1646261681012391,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
lig_32,3.082212558012409,0.10829376023818169,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,None
