ligand,freenrg,error,engine,analysis,method
lig_34,1.7862452948267653,0.04658961234645079,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_53,-2.091167549812449,0.04321174097741131,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_37,0.13995452397416397,0.06048894125339202,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_65,-1.5955628113834883,0.09496006515888039,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_33,1.921478145490446,0.049624899257953534,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_50,0.9110604096497072,0.05763706401823346,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_32,2.2694119824865275,0.05774284096455684,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_60,-1.3058802417145934,0.06087716272631419,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_61,-0.2497362383995414,0.08978240546718898,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_58,-2.8562299493779193,0.05454708415306347,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_67,-1.2096729841214517,0.11409791381634866,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_27,3.3369924335987626,0.04741165539906068,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_39,2.334692433598763,0.09505690436617042,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_56,-0.7552822619912298,0.05589801966245174,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
lig_63,-2.6363031868244793,0.05797825315414962,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,cinnabar
