lig_0,lig_1,freenrg,error,engine,analysis,method
lig_8,lig_10,0.5690128315831736,0.0589811266796396,,,None
lig_8,lig_11,-1.433689939092296,0.1760131131881662,,,None
lig_3,lig_5,2.540628604515477,0.08745811811195608,,,None
lig_14,lig_15,-0.32202333030734653,0.2905003440359661,,,None
lig_2,lig_14,0.8553505646522884,0.41023860209206753,,,None
lig_2,lig_13ped,2.0870217963563458,0.04712882294747923,,,None
lig_2,lig_3,-1.9959206368098201,0.04956790686812516,,,None
lig_9,lig_13ped,2.3249304337867485,0.11441760443431814,,,None
lig_9,lig_10,0.40965299263719945,0.10076827766706647,,,None
lig_7,lig_9,-0.8235332236045051,0.21351857383884615,,,None
lig_7,lig_14,0.790804784624207,0.22857843724708835,,,None
lig_4,lig_5,1.2598407691370264,0.09639541431775538,,,None
lig_4,lig_11,-0.38286832736091786,0.09603885353138678,,,None
lig_11,lig_15,2.030742571204937,0.4172461645013216,,,None
lig_37,lig_53,-2.2667631325681517,0.07596824684080442,,,None
lig_37,lig_60,-0.559359554101667,0.0390544404385509,,,None
lig_37,lig_56,-0.3161573655120999,0.05523252310851303,,,None
lig_53,lig_58,-0.031429002367431735,0.02583426261058961,,,None
lig_53,lig_63,-0.008996196353766842,0.09996171882560036,,,None
lig_60,lig_63,-1.9231219766506793,0.07823916735492678,,,None
lig_60,lig_65,-1.3091349153597631,0.025569246258321368,,,None
lig_60,lig_67,-0.47951725854673316,0.09932456972974295,,,None
lig_60,lig_61,1.015604308123807,0.07250476774352534,,,None
lig_52,lig_53,-0.9798543853351402,0.16680624386390566,,,None
lig_35,lig_36,-1.0756961805135634,0.0898289010940115,,,None
lig_35,lig_49,-0.06453983509281003,0.10861183778858498,,,None
lig_35,lig_37,-0.65824779912199,0.15475760447904643,,,None
lig_36,lig_52,-0.9089294664345032,0.039728495497867014,,,None
lig_26,lig_68,0.7770597253393633,0.15248815209706135,,,None
lig_26,lig_27,2.483141041278728,0.5301120288988541,,,None
lig_26,lig_57,0.9728336227706672,0.04666609495259474,,,None
lig_26,lig_44,0.22318627168223296,0.06981950834163286,,,None
lig_33,lig_41,-1.5376493994342935,0.3526356963512938,,,None
lig_33,lig_48,4.517929270436166,0.4288580629296742,,,None
lig_33,lig_34,-0.5652481650782146,0.03267949361705621,,,None
lig_33,lig_35,-0.45965038314330003,0.336594221770008,,,None
lig_33,lig_45,-0.9407303859314268,0.23346956666952373,,,None
lig_23,lig_42,0.5568507493096,0.18955030035402243,,,None
lig_23,lig_66,-1.3691660145015234,0.05609771199272548,,,None
lig_42,lig_44,-1.01569025279376,0.07647412913437998,,,None
lig_42,lig_54,-2.3557322238303144,0.07466440350263484,,,None
lig_42,lig_51,0.42140090357445326,0.029847188079389835,,,None
lig_42,lig_68,-0.3448990856233631,0.15280691457988352,,,None
lig_42,lig_62,0.3342463768356663,0.11984538728583703,,,None
lig_42,lig_64,-2.070280714824699,0.2173174134930408,,,None
lig_42,lig_57,-0.3667284917000657,0.06910259662060185,,,None
lig_42,lig_66,-2.0058085695335333,0.14064691976841404,,,None
lig_28,lig_29,-0.14760447251644018,0.18525080959812695,,,None
lig_28,lig_38,-3.068715203495941,0.6575480493704471,,,None
lig_28,lig_39,-2.2483446657004142,0.5305596447625762,,,None
lig_28,lig_46,-0.7679754282829436,0.22415510981061373,,,None
lig_27,lig_40,-2.016525408389907,0.4031312371387187,,,None
lig_27,lig_39,-0.6569757668085533,0.30631099930581956,,,None
lig_27,lig_48,3.144188013917937,0.39715987290035354,,,None
lig_27,lig_46,-0.5873166522388233,0.20747961690189534,,,None
lig_27,lig_47,0.5292109123121668,0.07628973188247425,,,None
lig_27,lig_38,-2.9117600717369228,1.6516676601382068,,,None
lig_27,lig_30,0.023619593640466664,0.08557391072700592,,,None
lig_27,lig_28,0.6465132476595334,0.27145082521463637,,,None
lig_27,lig_43,0.1224317025908332,0.23750235655832858,,,None
lig_27,lig_45,-0.9305867602478562,0.3634168477070002,,,None
lig_27,lig_31,-2.215491077027733,0.03146936830778637,,,None
lig_27,lig_42,-1.148096849084374,0.23771927850897687,,,None
lig_30,lig_37,-1.9842400093662738,0.25126846652601503,,,None
lig_30,lig_40,-1.18693490531218,0.3293684728113193,,,None
lig_65,lig_67,0.783156616908696,0.18571223708530366,,,None
lig_56,lig_58,-2.051540166289827,0.0690686111333877,,,None
lig_50,lig_61,-0.3346967721660678,0.07864191570407603,,,None
lig_31,lig_35,0.6555705332579169,0.03676131311299683,,,None
lig_43,lig_47,0.8123268580233169,0.23496939928757613,,,None
lig_54,lig_64,-0.015590293888399965,0.10684719446959312,,,None
lig_49,lig_50,-0.44108921546119334,0.08925411560526741,,,None
lig_51,lig_62,-0.24612675638889958,0.05820594368425952,,,None
lig_32,lig_34,-1.1199949455790568,0.258047099704625,,,None
lig_32,lig_33,-0.89032775332456,0.06933435345572393,,,None
lig_32,lig_41,-2.4542497273504935,0.1849000422715469,,,None
