ligand,freenrg,error,engine,analysis,method
lig_23,0.5499998045476184,0.0700000003,,,None
lig_26,-0.1699999854523817,0.0700000003,,,None
lig_27,1.630000205547618,0.05999999866,,,None
lig_28,2.020000071547618,0.05999999866,,,None
lig_29,1.599999995547618,0.05999999866,,,None
lig_30,1.099999995547618,0.05999999866,,,None
lig_31,0.13999995754761851,0.05999999866,,,None
lig_32,1.4899998615476182,0.05999999866,,,None
lig_33,0.34999999554761807,0.0700000003,,,None
lig_34,0.7500000905476183,0.0700000003,,,None
lig_35,0.0699997855476191,0.05999999866,,,None
lig_36,-0.0900000614523826,0.0700000003,,,None
lig_37,-0.6499995274523815,0.0700000003,,,None
lig_38,-0.9800004054523814,0.0700000003,,,None
lig_39,0.08000001454761829,0.0700000003,,,None
lig_40,-0.13000002345238215,0.05999999866,,,None
lig_41,-0.10000029045238179,0.0700000003,,,None
lig_42,0.44999990054761785,0.0700000003,,,None
lig_43,0.3400002435476184,0.05999999866,,,None
lig_44,-0.3400000614523826,0.0700000003,,,None
lig_45,0.5200000715476181,0.05999999866,,,None
lig_46,0.09000024354761837,0.05999999866,,,None
lig_47,1.7900000525476187,0.05999999866,,,None
lig_48,3.449999900547618,0.05999999866,,,None
lig_49,-0.6499995274523815,0.05999999866,,,None
lig_50,-0.6699999854523817,0.05999999866,,,None
lig_51,0.9299999195476181,0.05999999866,,,None
lig_52,-1.6400002524523813,0.05999999866,,,None
lig_53,-2.0100001354523815,0.0700000003,,,None
lig_54,-0.9700001764523822,0.05999999866,,,None
lig_56,-0.9700001764523822,0.0700000003,,,None
lig_57,0.2399998615476182,0.05999999866,,,None
lig_58,-2.2899998754523825,0.0700000003,,,None
lig_60,-0.6999997184523821,0.0700000003,,,None
lig_61,-0.23999968045238163,0.0700000003,,,None
lig_62,0.010000319547618375,0.0700000003,,,None
lig_63,-1.7499999094523808,0.05999999866,,,None
lig_64,-0.8900002524523813,0.05999999866,,,None
lig_65,-1.5500000994523813,0.0700000003,,,None
lig_66,-0.5900000614523826,0.0700000003,,,None
lig_67,-1.1400002524523813,0.05999999866,,,None
lig_68,0.9200001675476184,0.05999999866,,,None
