# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_ejm31,-9.633320987858903,0.18009038593600624
lig_ejm50,-9.062727442102327,0.17884838327437858
lig_ejm42,-9.875043584723292,0.1769853792819371
lig_ejm48,-9.087063934508938,0.17884838327437858
lig_ejm53,-7.994549827809006,0.17884838327437858
lig_jmc28,-11.078584058871725,0.18235521431897425
lig_jmc30,-11.037920941394324,0.1768830164252096
lig_ejm45,-9.645872215183726,0.17757995502420568
lig_jmc23,-11.808151583660125,0.1788483832743786
lig_ejm43,-8.340215162704245,0.17742895166108985
lig_ejm44,-7.489423652868701,0.17033179359464626
lig_ejm46,-11.41926056735227,0.17388037262786807
lig_jmc27,-11.383118515357303,0.17534155222978293
lig_ejm49,-7.823044915958928,0.17884838327437858
lig_ejm54,-10.631280917137914,0.1788483832743786
lig_ejm55,-9.292644479378358,0.17884838327437855
lig_ejm47,-9.788491692252581,0.17723713657821302
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_ejm31,lig_ejm50,0.5739,0.0239,0.0
lig_ejm31,lig_ejm42,0.4762,0.0262,0.0
lig_ejm48,lig_ejm53,1.2643,0.1852,0.0
lig_jmc28,lig_jmc30,-0.7541,0.0087,0.0
lig_ejm31,lig_ejm45,0.6735,0.19,0.0
lig_ejm31,lig_ejm48,-0.1024,0.1959,0.0
lig_jmc23,lig_jmc30,-0.1761,0.1121,0.0
lig_ejm42,lig_ejm43,-0.5386,0.0157,0.0
lig_ejm43,lig_ejm44,1.7109,0.0716,0.0
lig_ejm46,lig_jmc23,-1.7602,0.237,0.0
lig_jmc23,lig_jmc27,-0.4173,0.0298,0.0
lig_ejm31,lig_ejm49,0.7327,0.0815,0.0
lig_ejm50,lig_ejm54,0.3914,0.3015,0.0
lig_ejm54,lig_ejm55,1.4168,0.0419,0.0
lig_ejm31,lig_ejm47,-0.3927,0.0548,0.0
lig_ejm46,lig_jmc28,0.0966,0.0434,0.0
lig_ejm31,lig_ejm46,-0.6039,0.0817,0.0
lig_ejm43,lig_ejm50,-0.14,0.1392,0.0
lig_ejm53,lig_ejm55,-1.0513,0.1926,0.0
lig_ejm44,lig_ejm55,-2.3722,0.2295,0.0
lig_ejm55,lig_jmc27,-0.6495,0.203,0.0
lig_ejm47,lig_ejm55,-0.2057,0.0807,0.0
lig_ejm42,lig_ejm54,-0.2863,0.0545,0.0
