,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_2k~lig_2u,-1.2663,0.279,-3.3467,0.7515
lig_2u~lig_2x,1.7306,0.3951,,
lig_2l~lig_2q,0.0299,0.2252,-2.3978,0.4389
lig_2ee~lig_2w,0.6709,0.4227,1.0578,0.2681
lig_2ee~lig_2v,2.6736,0.3447,2.8537,0.2839
lig_2e~lig_2q,-2.8625,0.1622,-5.376,0.4853
lig_2b~lig_2l,-1.1844,0.3746,1.4472,0.5656
lig_2bb~lig_2v,1.5505,0.4965,1.1999,0.2571
lig_2b~lig_2z,0.7828,0.4613,1.0046,1.1101
lig_2n~lig_2o,1.0506,0.2259,0.2492,0.2287
lig_2a~lig_2p,-0.2064,0.1903,-1.0557,0.163
lig_2p~lig_2t,-4.807,1.5767,-0.1336,0.6203
lig_2l~lig_2o,0.132,0.1812,-0.1845,0.2667
lig_2bb~lig_2w,-1.2744,0.237,0.1017,0.349
lig_2ii~lig_2v,2.1259,0.2444,2.4034,0.1794
lig_2m~lig_2x,2.7167,0.1943,2.7473,0.4968
lig_2l~lig_2m,0.325,0.1276,0.0631,0.0444
lig_2ii~lig_2w,-0.5148,0.3818,1.0956,0.2582
lig_2v~lig_2y,-1.1527,1.5333,-1.8376,0.188
lig_2g~lig_2v,2.3119,0.1995,3.2825,0.1262
lig_2gg~lig_2v,1.3755,0.2544,1.9197,0.2625
lig_2t~lig_2x,3.2607,0.0938,3.3344,0.095
lig_2l~lig_2x,2.7216,0.2074,2.7577,0.4683
lig_2d~lig_2s,-0.7247,0.1807,-1.7787,0.1413
lig_2w~lig_2y,-0.3095,0.3308,-0.9672,0.3516
lig_2e~lig_2r,0.2899,1.6954,-2.5663,0.054
lig_2a~lig_2n,-1.6638,0.1436,-1.2781,0.2857
lig_2n~lig_2t,0.3845,0.1116,0.063,0.1806
lig_2aa~lig_2z,0.442,0.4789,0.3926,0.119
lig_2r~lig_2s,-0.8206,0.3965,-1.4677,0.2335
lig_2y~lig_2z,0.9156,0.5209,-0.0242,0.2209
lig_2l~lig_2t,-0.5776,0.129,-0.9441,0.0327
lig_2gg~lig_2k,0.0452,0.1716,1.1081,0.0891
lig_2a~lig_2k,0.5712,0.0699,1.8692,0.0672
lig_2v~lig_2w,-3.1012,0.2012,-1.7928,0.1169
lig_2gg~lig_2l,-2.9235,0.2032,-2.3786,0.1958
lig_2ff~lig_2j,0.7196,0.2116,1.009,0.1575
lig_2dd~lig_2hh,-1.7022,0.1246,-0.0519,0.3503
lig_2dd~lig_2i,1.6606,0.2706,3.0028,0.9757
lig_2ff~lig_2h,1.3728,0.1547,1.2598,0.0987
lig_2ff~lig_2hh,-0.7109,0.3199,-1.6146,0.2453
lig_2e~lig_2h,0.1288,0.9939,0.8971,0.065
lig_2a~lig_2gg,0.8798,0.114,0.4877,0.3113
lig_2d~lig_2gg,0.535,0.1292,-0.2583,0.2359
lig_2dd~lig_2gg,1.3064,0.2497,1.8527,0.2259
lig_2i~lig_2j,-0.2409,0.3989,0.2132,0.0885
lig_2e~lig_2gg,-0.5506,0.0794,-1.0225,0.105
lig_2f~lig_2gg,2.1804,0.1084,1.2618,0.5109
lig_2ff~lig_2g,-0.6664,0.289,-0.2966,0.0887
lig_2c~lig_2f,2.6709,0.8324,3.5189,0.8976
lig_2c~lig_2e,5.2537,0.234,2.7003,0.6349
