,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_2aa~lig_2z,0.442,0.4789,,
lig_2aa~lig_2b,2.7732,3.1255,-2.0677,0.6044
lig_2aa~Intermediate_2,-0.1925,0.3843,,
lig_2bb~lig_2dd,-2.4539,0.2917,-1.4155,0.0499
lig_2bb~lig_2w,-1.2744,0.237,-0.6081,0.3184
lig_2c~Intermediate,11.2441,0.2226,8.0726,0.4241
lig_2c~Intermediate_3,1.6261,0.2096,0.5344,0.0452
lig_2e~lig_2a,-1.6401,0.0443,-1.1704,0.082
lig_2e~lig_2d,-0.1595,0.183,-0.1474,0.0274
lig_2ee~lig_2j,0.7089,0.2731,3.2329,0.1503
lig_2ee~lig_2a,-0.1397,0.2271,0.2939,0.0859
lig_2f~lig_2g,-1.0231,0.1481,0.075,0.0615
lig_2f~lig_2d,0.5499,0.1349,0.2284,0.0729
lig_2ff~lig_2gg,0.7967,0.2879,1.0459,0.1199
lig_2ff~lig_2a,0.2336,0.148,-1.7345,0.1511
lig_2g~lig_2h,1.567,0.2041,0.2997,0.0649
lig_2g~lig_2i,0.7818,0.3363,-0.1146,0.1129
lig_2g~lig_2d,1.3146,0.2331,1.1083,0.025
lig_2gg~lig_2a,-1.4991,0.6971,-2.2682,1.7189
lig_2h~lig_2i,-1.1917,0.101,-0.8152,0.023
lig_2j~lig_2k,-0.2441,0.3369,2.0602,0.1276
lig_2j~lig_2m,-1.3633,0.1496,-0.5706,0.2422
lig_2j~Intermediate_4,-2.7764,0.3693,-0.9748,0.2477
lig_2k~lig_2a,-0.9148,0.0882,-1.5819,0.202
lig_2l~lig_2o,0.132,0.1812,1.5442,0.1871
lig_2l~lig_2t,-0.5776,0.129,-0.1121,0.2624
lig_2m~lig_2a,1.5891,0.1266,0.5792,0.0817
lig_2n~lig_2p,1.8481,0.3313,2.3149,0.079
lig_2n~lig_2r,1.3968,0.2974,0.5167,0.1473
lig_2n~lig_2s,1.084,0.227,,
lig_2n~lig_2a,1.7742,0.1243,1.4203,0.0579
lig_2o~lig_2a,1.0608,0.1966,0.5535,0.1164
lig_2p~lig_2a,-0.1127,0.2548,0.8528,0.151
lig_2q~Intermediate_1,-0.3847,0.1487,-1.0361,0.0784
lig_2q~Intermediate_4,-0.5138,0.2619,0.0644,0.0764
lig_2r~lig_2s,-0.8206,0.3965,,
lig_2t~lig_2a,1.8332,0.1103,0.6446,0.3704
lig_2u~Intermediate_4,-1.5111,0.194,-1.3401,0.1477
lig_2v~lig_2x,-1.0121,0.2093,-0.7075,0.1905
lig_2v~lig_2a,-2.3773,0.374,-2.0069,0.5109
lig_2v~Intermediate_10,-1.738,0.1712,-1.3531,0.2399
lig_2x~Intermediate_7,-2.0316,0.0952,1.4798,0.0817
lig_2y~lig_2w,-0.0671,0.2166,-0.1463,0.1098
lig_2y~Intermediate_10,-0.2352,0.209,0.4914,0.1152
lig_2z~lig_2w,-1.2178,0.2617,-0.9935,0.3008
lig_2a~Intermediate_4,-2.6211,0.1349,-1.7212,0.1775
lig_2dd~lig_2w,0.6464,0.1793,0.8094,0.1461
lig_2b~Intermediate_2,0.7647,0.2306,-0.9632,0.0803
lig_2w~Intermediate_10,0.7746,0.1356,0.434,0.2884
lig_2d~Intermediate,6.6079,0.6026,5.5759,0.2362
lig_2d~Intermediate_5,3.9165,0.7294,4.3353,0.0935
lig_2d~Intermediate_8,1.0352,0.1502,2.1805,0.4423
lig_2ii~lig_2hh,-0.1462,0.0347,-0.1277,0.0026
lig_2ii~Intermediate_6,0.9986,0.2753,1.0426,0.084
lig_2hh~Intermediate_10,3.381,0.2273,2.0796,0.2258
Intermediate~Intermediate_3,-5.6649,0.267,-3.6328,0.0697
Intermediate~Intermediate_5,-1.6881,0.1861,-0.7631,0.1359
Intermediate_1~Intermediate_4,-0.8718,0.1447,-0.5445,0.1328
Intermediate_2~Intermediate_10,0.2542,0.0553,0.4646,0.0523
Intermediate_6~Intermediate_10,2.6675,0.2532,2.132,0.4775
Intermediate_7~Intermediate_8,0.5776,0.4194,0.6131,0.0422
Intermediate_8~Intermediate_10,-2.0204,0.2759,-2.1539,0.1975
