,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_2aa~lig_2z,0.3926,0.119,0.3926,0.119
lig_2aa~lig_2b,-0.7791,0.7634,-0.7791,0.7634
lig_2aa~Intermediate_2,-0.4289,0.188,-0.4289,0.188
lig_2bb~lig_2dd,-1.6909,0.1215,-1.6909,0.1215
lig_2bb~lig_2w,0.1017,0.349,0.1017,0.349
lig_2c~Intermediate,10.9443,0.6787,10.9443,0.6787
lig_2c~Intermediate_3,1.2206,0.16,1.2206,0.16
lig_2e~lig_2a,-1.4788,0.0372,-1.4788,0.0372
lig_2e~lig_2d,-0.5404,0.0631,-0.5404,0.0631
lig_2ee~lig_2j,1.2743,0.1081,1.2743,0.1081
lig_2ee~lig_2a,-0.0003,0.2068,-0.0003,0.2068
lig_2f~lig_2g,-0.9166,0.0745,-0.9166,0.0745
lig_2f~lig_2d,-0.034,0.0726,-0.034,0.0726
lig_2ff~lig_2gg,0.5002,0.0331,0.5002,0.0331
lig_2ff~lig_2a,0.0959,0.1282,0.0959,0.1282
lig_2g~lig_2h,1.4349,0.0606,1.4349,0.0606
lig_2g~lig_2i,1.1338,0.1074,1.1338,0.1074
lig_2g~lig_2d,0.928,0.0154,0.928,0.0154
lig_2gg~lig_2a,-0.6974,0.0699,-0.6974,0.0699
lig_2h~lig_2i,-0.949,0.0494,-0.949,0.0494
lig_2j~lig_2k,0.6867,0.078,0.6867,0.078
lig_2j~lig_2m,-2.7234,0.1405,-2.7234,0.1405
lig_2j~Intermediate_4,-3.9652,0.2737,-3.9652,0.2737
lig_2k~lig_2a,-1.71,0.0557,-1.71,0.0557
lig_2l~lig_2o,-0.1845,0.2667,-0.1845,0.2667
lig_2l~lig_2t,-0.9441,0.0327,-0.9441,0.0327
lig_2m~lig_2a,1.6459,0.3091,1.6459,0.3091
lig_2n~lig_2p,-0.7528,0.3475,-0.7528,0.3475
lig_2n~lig_2r,0.5966,0.1533,0.5966,0.1533
lig_2n~lig_2s,0.7735,0.1612,0.7735,0.1612
lig_2n~lig_2a,1.2004,0.1417,1.2004,0.1417
lig_2o~lig_2a,1.9445,0.1276,1.9445,0.1276
lig_2p~lig_2a,1.4783,0.1736,1.4783,0.1736
lig_2q~Intermediate_1,0.3319,0.0535,0.3319,0.0535
lig_2q~Intermediate_4,0.8161,0.072,0.8161,0.072
lig_2r~lig_2s,-1.4677,0.2335,-1.4677,0.2335
lig_2t~lig_2a,2.7622,0.1196,2.7622,0.1196
lig_2u~Intermediate_4,-0.2628,0.2334,-0.2628,0.2334
lig_2v~lig_2x,-1.6182,0.2398,-1.6182,0.2398
lig_2v~lig_2a,-2.0441,0.189,-2.0441,0.189
lig_2v~Intermediate_10,-0.6017,0.2661,-0.6017,0.2661
lig_2x~Intermediate_7,-1.1788,0.1347,-1.1788,0.1347
lig_2y~lig_2w,0.9831,0.2736,0.9831,0.2736
lig_2y~Intermediate_10,1.8008,0.1761,1.8008,0.1761
lig_2z~lig_2w,0.8844,0.2085,0.8844,0.2085
lig_2a~Intermediate_4,-3.1847,0.2725,-3.1847,0.2725
lig_2dd~lig_2w,2.2134,0.7551,2.2134,0.7551
lig_2b~Intermediate_2,0.857,0.3533,0.857,0.3533
lig_2w~Intermediate_10,0.4369,0.0565,0.4369,0.0565
lig_2d~Intermediate,8.7261,0.1147,8.7261,0.1147
lig_2d~Intermediate_5,4.0199,0.5245,4.0199,0.5245
lig_2d~Intermediate_8,2.6625,0.2419,2.6625,0.2419
lig_2ii~lig_2hh,-0.0877,0.0141,-0.0877,0.0141
lig_2ii~Intermediate_6,1.0557,0.0852,1.0557,0.0852
lig_2hh~Intermediate_10,3.1296,0.1465,3.1296,0.1465
Intermediate~Intermediate_3,-7.0096,0.3673,-7.0096,0.3673
Intermediate~Intermediate_5,-1.8936,0.0428,-1.8936,0.0428
Intermediate_1~Intermediate_4,-0.2841,0.0525,-0.2841,0.0525
Intermediate_2~Intermediate_10,0.4455,0.0336,0.4455,0.0336
Intermediate_6~Intermediate_10,2.1592,0.2139,2.1592,0.2139
Intermediate_7~Intermediate_8,0.6848,0.027,0.6848,0.027
Intermediate_8~Intermediate_10,-2.06,0.1189,-2.06,0.1189
