,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_2b~lig_2h,1.945,0.8903,0.5498,0.6776
lig_2d~lig_2v,1.9112,0.2257,1.4221,0.4582
lig_2c~lig_2e,2.7003,0.6349,4.1096,0.1956
lig_2c~lig_2f,3.5189,0.8976,3.2461,0.2593
lig_2d~lig_2w,-0.1901,0.1905,-1.0535,0.108
lig_2x~lig_2y,-0.0082,0.4899,-0.4732,0.0801
lig_2a~lig_2w,0.4977,0.5679,-1.396,0.143
lig_2e~lig_2v,0.1647,0.6373,0.7508,0.3531
lig_2j~lig_2v,1.6515,0.2561,3.4324,0.4132
lig_2v~lig_2x,-1.6182,0.2398,-0.7075,0.1905
lig_2hh~lig_2w,2.0465,0.0359,1.6613,0.3838
lig_2ii~lig_2w,1.0956,0.2582,0.8232,0.0808
lig_2k~lig_2q,-3.9423,0.3069,-3.3816,0.4884
lig_2q~lig_2u,1.359,0.1348,-0.811,0.432
lig_2bb~lig_2z,0.5432,0.3155,0.1784,0.4566
lig_2p~lig_2s,0.1935,0.3831,-2.6881,0.9885
lig_2y~lig_2z,-0.0242,0.2209,-0.3588,0.0963
lig_2n~lig_2o,0.2492,0.2287,1.2081,0.1296
lig_2bb~lig_2v,1.1999,0.2571,0.4837,0.0727
lig_2n~lig_2p,-0.7528,0.3475,2.3149,0.079
lig_2ee~lig_2l,-1.1754,0.2021,-0.9551,0.0512
lig_2ff~lig_2gg,0.5002,0.0331,1.0459,0.1199
lig_2gg~lig_2j,0.1679,0.1332,1.5931,0.1027
lig_2aa~lig_2v,1.3437,0.6237,0.7162,0.6491
lig_2b~lig_2w,1.036,0.6687,0.8632,1.016
lig_2dd~lig_2w,2.2134,0.7551,0.8094,0.1461
lig_2ee~lig_2j,1.2743,0.1081,3.2329,0.1503
lig_2l~lig_2o,-0.1845,0.2667,1.5442,0.1871
lig_2v~lig_2y,-1.8376,0.188,-1.4807,0.0775
lig_2k~lig_2m,-2.7682,0.0946,-1.5505,0.2031
lig_2n~lig_2r,0.5966,0.1533,0.5167,0.1473
lig_2j~lig_2t,-3.4065,0.1396,-0.1023,0.1433
lig_2l~lig_2t,-0.9441,0.0327,-0.1121,0.2624
lig_2a~lig_2d,0.8477,0.0499,1.0247,0.0279
lig_2aa~lig_2z,0.3926,0.119,,
lig_2e~lig_2f,-0.6942,0.0317,-0.6441,0.0362
lig_2f~lig_2g,-0.9166,0.0745,0.075,0.0615
lig_2ff~lig_2j,1.009,0.1575,0.1059,0.4754
lig_2hh~lig_2ii,0.187,0.0085,0.1319,0.0169
lig_2k~lig_2l,-3.3878,0.1835,-3.149,0.3038
lig_2l~lig_2n,-0.2772,0.1152,-0.5112,0.0784
lig_2r~lig_2s,-1.4677,0.2335,,
lig_2e~lig_2j,1.3235,0.1142,-0.1187,0.0738
lig_2j~lig_2k,0.6867,0.078,2.0602,0.1276
lig_2i~lig_2j,0.2132,0.0885,0.2714,0.0182
lig_2n~lig_2s,0.7735,0.1612,,
lig_2g~lig_2h,1.4349,0.0606,0.2997,0.0649
lig_2g~lig_2i,1.1338,0.1074,-0.1146,0.1129
lig_2h~lig_2i,-0.949,0.0494,-0.8152,0.023
lig_2k~lig_2u,-3.3467,0.7515,-2.1298,1.0573
lig_2u~lig_2x,,,1.9948,0.5384
lig_2l~lig_2q,-2.3978,0.4389,0.2738,0.075
lig_2ee~lig_2w,1.0578,0.2681,0.9103,0.079
lig_2ee~lig_2v,2.8537,0.2839,2.2542,1.0449
lig_2e~lig_2q,-5.376,0.4853,-2.5306,0.105
lig_2b~lig_2l,1.4472,0.5656,-0.0376,0.4822
lig_2b~lig_2z,1.0046,1.1101,0.2448,0.138
lig_2a~lig_2p,-1.0557,0.163,-0.9144,0.1174
lig_2p~lig_2t,-0.1336,0.6203,-2.8622,0.1286
lig_2bb~lig_2w,0.1017,0.349,-0.6081,0.3184
lig_2ii~lig_2v,2.4034,0.1794,2.3386,0.2306
lig_2m~lig_2x,2.7473,0.4968,2.6956,0.0758
lig_2l~lig_2m,0.0631,0.0444,-0.0055,0.0836
lig_2g~lig_2v,3.2825,0.1262,2.5805,0.2737
lig_2gg~lig_2v,1.9197,0.2625,1.2145,1.6082
lig_2t~lig_2x,3.3344,0.095,2.4506,0.1752
lig_2l~lig_2x,2.7577,0.4683,0.8921,0.2729
lig_2d~lig_2s,-1.7787,0.1413,-0.1524,1.2387
lig_2w~lig_2y,-0.9672,0.3516,0.2862,0.1704
