,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_2aa~lig_2z,,,-1.0991539986370427,0.3167064013468535
lig_2aa~lig_2b,-2.0677,0.6044,-1.4448193335322816,0.26676275582866643
lig_2aa~Intermediate_2,,,,
lig_2bb~lig_2dd,-1.4155,0.0499,-0.8913497985316692,0.3098415015742436
lig_2bb~lig_2w,-0.6081,0.3184,-2.3970914139460664,0.20281914255883646
lig_2c~Intermediate,8.0726,0.4241,,
lig_2c~Intermediate_3,0.5344,0.0452,,
lig_2e~lig_2a,-1.1704,0.082,-0.2005917184547279,0.3494916205255889
lig_2e~lig_2d,-0.1474,0.0274,1.2068580190346267,0.3259955784761205
lig_2ee~lig_2j,3.2329,0.1503,2.1991670882078314,0.3934777339749224
lig_2ee~lig_2a,0.2939,0.0859,1.3727120707788973,0.42989801095307206
lig_2f~lig_2g,0.075,0.0615,-2.1931754671452897,0.31892145275816086
lig_2f~lig_2d,0.2284,0.0729,-1.0274483265203234,0.2929839882958692
lig_2ff~lig_2gg,1.0459,0.1199,0.7879796502143535,0.11964554013680688
lig_2ff~lig_2a,-1.7345,0.1511,0.5462570533499651,0.2546802094233793
lig_2g~lig_2h,0.2997,0.0649,1.1932048739786136,0.30364674411340453
lig_2g~lig_2i,-0.1146,0.1129,0.6138192271691949,0.3196842354262225
lig_2g~lig_2d,1.1083,0.025,1.1657271406249663,0.3128248238428679
lig_2gg~lig_2a,-2.2682,1.7189,-0.24172259686438835,0.251363665327022
lig_2h~lig_2i,-0.8152,0.023,-0.5793856468094187,0.28402237508121897
lig_2j~lig_2k,2.0602,0.1276,-0.4760393683356572,0.19170342263021933
lig_2j~lig_2m,-0.5706,0.2422,-0.8892668770501224,0.1768205495428065
lig_2j~Intermediate_4,-0.9748,0.2477,,
lig_2k~lig_2a,-1.5819,0.202,-0.3504156490932768,0.25833655361854685
lig_2l~lig_2o,1.5442,0.1871,1.7859395794933661,0.1333057142224823
lig_2l~lig_2t,-0.1121,0.2624,0.413227508714467,0.10747450273826802
lig_2m~lig_2a,0.5792,0.0817,0.0628118596211884,0.24749359472113194
lig_2n~lig_2p,2.3149,0.079,0.6549501055788536,0.15710229082938873
lig_2n~lig_2r,0.5167,0.1473,1.0681776142933206,0.1791241712304467
lig_2n~lig_2s,,,0.7468487718046912,0.17165735283625325
lig_2n~lig_2a,1.4203,0.0579,0.9594845620644303,0.2812087122182192
lig_2o~lig_2a,0.5535,0.1164,-0.4132275087144688,0.2666114284449646
lig_2p~lig_2a,0.8528,0.151,0.30453445648557675,0.24358455616141958
lig_2q~Intermediate_1,-1.0361,0.0784,,
lig_2q~Intermediate_4,0.0644,0.0764,,
lig_2r~lig_2s,,,-0.32132884248862936,0.13086512862802308
lig_2t~lig_2a,0.6446,0.3704,0.9594845620644303,0.2546802094233793
lig_2u~Intermediate_4,-1.3401,0.1477,,
lig_2v~lig_2x,-0.7075,0.1905,-1.2678528663453008,0.23074395383119106
lig_2v~lig_2a,-2.0069,0.5109,-1.9423509945899742,0.29400487428979943
lig_2v~Intermediate_10,-1.3531,0.2399,,
lig_2x~Intermediate_7,1.4798,0.0817,,
lig_2y~lig_2w,-0.1463,0.1098,-1.6802199063836891,0.23562729190869655
lig_2y~Intermediate_10,0.4914,0.1152,,
lig_2z~lig_2w,-0.9935,0.3008,-1.092514106699932,0.19594126223578587
lig_2a~Intermediate_4,-1.7212,0.1775,,
lig_2dd~lig_2w,0.8094,0.1461,-1.5057416154143972,0.242620062102174
lig_2b~Intermediate_2,-0.9632,0.0803,,
lig_2w~Intermediate_10,0.434,0.2884,,
lig_2d~Intermediate,5.5759,0.2362,,
lig_2d~Intermediate_5,4.3353,0.0935,,
lig_2d~Intermediate_8,2.1805,0.4423,,
lig_2ii~lig_2hh,-0.1277,0.0026,-1.016304800623077,0.7834253821752233
lig_2ii~Intermediate_6,1.0426,0.084,,
lig_2hh~Intermediate_10,2.0796,0.2258,,
Intermediate~Intermediate_3,-3.6328,0.0697,,
Intermediate~Intermediate_5,-0.7631,0.1359,,
Intermediate_1~Intermediate_4,-0.5445,0.1328,,
Intermediate_2~Intermediate_10,0.4646,0.0523,,
Intermediate_6~Intermediate_10,2.132,0.4775,,
Intermediate_7~Intermediate_8,0.6131,0.0422,,
Intermediate_8~Intermediate_10,-2.1539,0.1975,,
