,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_2b~lig_2h,2.5673,0.8889,1.945,0.8903
lig_2d~lig_2v,0.6186,0.1446,1.9112,0.2257
lig_2c~lig_2e,5.2537,0.234,2.7003,0.6349
lig_2c~lig_2f,2.6709,0.8324,3.5189,0.8976
lig_2d~lig_2w,-0.7065,0.3184,-0.1901,0.1905
lig_2x~lig_2y,-0.6433,0.1332,-0.0082,0.4899
lig_2a~lig_2w,0.1233,0.2291,0.4977,0.5679
lig_2e~lig_2v,-1.1959,0.634,0.1647,0.6373
lig_2j~lig_2v,2.2791,0.2588,1.6515,0.2561
lig_2v~lig_2x,-1.0121,0.2093,-1.6182,0.2398
lig_2hh~lig_2w,2.1904,0.189,2.0465,0.0359
lig_2ii~lig_2w,-0.5148,0.3818,1.0956,0.2582
lig_2k~lig_2q,-2.4386,0.1981,-3.9423,0.3069
lig_2q~lig_2u,0.7975,0.1328,1.359,0.1348
lig_2bb~lig_2z,0.4495,0.2717,0.5432,0.3155
lig_2p~lig_2s,0.1251,0.31,0.1935,0.3831
lig_2y~lig_2z,0.9156,0.5209,-0.0242,0.2209
lig_2n~lig_2o,1.0506,0.2259,0.2492,0.2287
lig_2bb~lig_2v,1.5505,0.4965,1.1999,0.2571
lig_2n~lig_2p,1.8481,0.3313,-0.7528,0.3475
lig_2ee~lig_2l,-0.868,0.2512,-1.1754,0.2021
lig_2ff~lig_2gg,0.7967,0.2879,0.5002,0.0331
lig_2gg~lig_2j,-0.5111,0.1141,0.1679,0.1332
lig_2aa~lig_2v,1.561,0.1449,1.3437,0.6237
lig_2b~lig_2w,0.4597,0.1807,1.036,0.6687
lig_2dd~lig_2w,0.6464,0.1793,2.2134,0.7551
lig_2ee~lig_2j,0.7089,0.2731,1.2743,0.1081
lig_2l~lig_2o,0.132,0.1812,-0.1845,0.2667
lig_2v~lig_2y,-1.1527,1.5333,-1.8376,0.188
lig_2k~lig_2m,-1.6679,0.1503,-2.7682,0.0946
lig_2n~lig_2r,1.3968,0.2974,0.5966,0.1533
lig_2j~lig_2t,-2.4847,0.2784,-3.4065,0.1396
lig_2l~lig_2t,-0.5776,0.129,-0.9441,0.0327
lig_2a~lig_2d,0.7961,0.129,0.8477,0.0499
lig_2aa~lig_2z,0.442,0.4789,0.3926,0.119
lig_2e~lig_2f,-1.1066,0.0312,-0.6942,0.0317
lig_2f~lig_2g,-1.0231,0.1481,-0.9166,0.0745
lig_2ff~lig_2j,0.7196,0.2116,1.009,0.1575
lig_2hh~lig_2ii,0.1428,0.0379,0.187,0.0085
lig_2k~lig_2l,-2.2211,0.166,-3.3878,0.1835
lig_2l~lig_2n,-0.7131,0.1637,-0.2772,0.1152
lig_2r~lig_2s,-0.8206,0.3965,-1.4677,0.2335
lig_2e~lig_2j,1.0273,0.1627,1.3235,0.1142
lig_2j~lig_2k,-0.2441,0.3369,0.6867,0.078
lig_2i~lig_2j,-0.2409,0.3989,0.2132,0.0885
lig_2n~lig_2s,1.084,0.227,0.7735,0.1612
lig_2g~lig_2h,1.567,0.2041,1.4349,0.0606
lig_2g~lig_2i,0.7818,0.3363,1.1338,0.1074
lig_2h~lig_2i,-1.1917,0.101,-0.949,0.0494
lig_2k~lig_2u,-1.2663,0.279,-3.3467,0.7515
lig_2u~lig_2x,1.7306,0.3951,,
lig_2l~lig_2q,0.0299,0.2252,-2.3978,0.4389
lig_2ee~lig_2w,0.6709,0.4227,1.0578,0.2681
lig_2ee~lig_2v,2.6736,0.3447,2.8537,0.2839
lig_2e~lig_2q,-2.8625,0.1622,-5.376,0.4853
lig_2b~lig_2l,-1.1844,0.3746,1.4472,0.5656
lig_2b~lig_2z,0.7828,0.4613,1.0046,1.1101
lig_2a~lig_2p,-0.2064,0.1903,-1.0557,0.163
lig_2p~lig_2t,-4.807,1.5767,-0.1336,0.6203
lig_2bb~lig_2w,-1.2744,0.237,0.1017,0.349
lig_2ii~lig_2v,2.1259,0.2444,2.4034,0.1794
lig_2m~lig_2x,2.7167,0.1943,2.7473,0.4968
lig_2l~lig_2m,0.325,0.1276,0.0631,0.0444
lig_2g~lig_2v,2.3119,0.1995,3.2825,0.1262
lig_2gg~lig_2v,1.3755,0.2544,1.9197,0.2625
lig_2t~lig_2x,3.2607,0.0938,3.3344,0.095
lig_2l~lig_2x,2.7216,0.2074,2.7577,0.4683
lig_2d~lig_2s,-0.7247,0.1807,-1.7787,0.1413
lig_2w~lig_2y,-0.3095,0.3308,-0.9672,0.3516
lig_2e~lig_2r,0.2899,1.6954,-2.5663,0.054
lig_2a~lig_2n,-1.6638,0.1436,-1.2781,0.2857
lig_2n~lig_2t,0.3845,0.1116,0.063,0.1806
lig_2gg~lig_2k,0.0452,0.1716,1.1081,0.0891
lig_2a~lig_2k,0.5712,0.0699,1.8692,0.0672
lig_2v~lig_2w,-3.1012,0.2012,-1.7928,0.1169
lig_2gg~lig_2l,-2.9235,0.2032,-2.3786,0.1958
lig_2dd~lig_2hh,-1.7022,0.1246,-0.0519,0.3503
lig_2dd~lig_2i,1.6606,0.2706,3.0028,0.9757
lig_2ff~lig_2h,1.3728,0.1547,1.2598,0.0987
lig_2ff~lig_2hh,-0.7109,0.3199,-1.6146,0.2453
lig_2e~lig_2h,0.1288,0.9939,0.8971,0.065
lig_2a~lig_2gg,0.8798,0.114,0.4877,0.3113
lig_2d~lig_2gg,0.535,0.1292,-0.2583,0.2359
lig_2dd~lig_2gg,1.3064,0.2497,1.8527,0.2259
lig_2e~lig_2gg,-0.5506,0.0794,-1.0225,0.105
lig_2f~lig_2gg,2.1804,0.1084,1.2618,0.5109
lig_2ff~lig_2g,-0.6664,0.289,-0.2966,0.0887
lig_2aa~lig_2b,2.7732,3.1255,-0.7791,0.7634
lig_2aa~Intermediate_2,-0.1925,0.3843,-0.4289,0.188
lig_2bb~lig_2dd,-2.4539,0.2917,-1.6909,0.1215
lig_2c~Intermediate,11.2441,0.2226,10.9443,0.6787
lig_2c~Intermediate_3,1.6261,0.2096,1.2206,0.16
lig_2e~lig_2a,-1.6401,0.0443,-1.4788,0.0372
lig_2e~lig_2d,-0.1595,0.183,-0.5404,0.0631
lig_2ee~lig_2a,-0.1397,0.2271,-0.0003,0.2068
lig_2f~lig_2d,0.5499,0.1349,-0.034,0.0726
lig_2ff~lig_2a,0.2336,0.148,0.0959,0.1282
lig_2g~lig_2d,1.3146,0.2331,0.928,0.0154
lig_2gg~lig_2a,-1.4991,0.6971,-0.6974,0.0699
lig_2j~lig_2m,-1.3633,0.1496,-2.7234,0.1405
lig_2j~Intermediate_4,-2.7764,0.3693,-3.9652,0.2737
lig_2k~lig_2a,-0.9148,0.0882,-1.71,0.0557
lig_2m~lig_2a,1.5891,0.1266,1.6459,0.3091
lig_2n~lig_2a,1.7742,0.1243,1.2004,0.1417
lig_2o~lig_2a,1.0608,0.1966,1.9445,0.1276
lig_2p~lig_2a,-0.1127,0.2548,1.4783,0.1736
lig_2q~Intermediate_1,-0.3847,0.1487,0.3319,0.0535
lig_2q~Intermediate_4,-0.5138,0.2619,0.8161,0.072
lig_2t~lig_2a,1.8332,0.1103,2.7622,0.1196
lig_2u~Intermediate_4,-1.5111,0.194,-0.2628,0.2334
lig_2v~lig_2a,-2.3773,0.374,-2.0441,0.189
lig_2v~Intermediate_10,-1.738,0.1712,-0.6017,0.2661
lig_2x~Intermediate_7,-2.0316,0.0952,-1.1788,0.1347
lig_2y~lig_2w,-0.0671,0.2166,0.9831,0.2736
lig_2y~Intermediate_10,-0.2352,0.209,1.8008,0.1761
