,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_2k~lig_2u,-2.1298,1.0573,-2.1298,1.0573
lig_2u~lig_2x,1.9948,0.5384,1.9948,0.5384
lig_2l~lig_2q,0.2738,0.075,0.2738,0.075
lig_2ee~lig_2w,0.9103,0.079,0.9103,0.079
lig_2ee~lig_2v,2.2542,1.0449,2.2542,1.0449
lig_2e~lig_2q,-2.5306,0.105,-2.5306,0.105
lig_2b~lig_2l,-0.0376,0.4822,-0.0376,0.4822
lig_2bb~lig_2v,0.4837,0.0727,0.4837,0.0727
lig_2b~lig_2z,0.2448,0.138,0.2448,0.138
lig_2n~lig_2o,1.2081,0.1296,1.2081,0.1296
lig_2a~lig_2p,-0.9144,0.1174,-0.9144,0.1174
lig_2p~lig_2t,-2.8622,0.1286,-2.8622,0.1286
lig_2l~lig_2o,1.5442,0.1871,1.5442,0.1871
lig_2bb~lig_2w,-0.6081,0.3184,-0.6081,0.3184
lig_2ii~lig_2v,2.3386,0.2306,2.3386,0.2306
lig_2m~lig_2x,2.6956,0.0758,2.6956,0.0758
lig_2l~lig_2m,-0.0055,0.0836,-0.0055,0.0836
lig_2ii~lig_2w,0.8232,0.0808,0.8232,0.0808
lig_2v~lig_2y,-1.4807,0.0775,-1.4807,0.0775
lig_2g~lig_2v,2.5805,0.2737,2.5805,0.2737
lig_2gg~lig_2v,1.2145,1.6082,1.2145,1.6082
lig_2t~lig_2x,2.4506,0.1752,2.4506,0.1752
lig_2l~lig_2x,0.8921,0.2729,0.8921,0.2729
lig_2d~lig_2s,-0.1524,1.2387,-0.1524,1.2387
lig_2w~lig_2y,0.2862,0.1704,0.2862,0.1704
lig_2e~lig_2r,-0.8058,0.0739,-0.8058,0.0739
lig_2a~lig_2n,-1.5312,0.3869,-1.5312,0.3869
lig_2n~lig_2t,-0.2666,0.0841,-0.2666,0.0841
lig_2aa~lig_2z,,,,
lig_2r~lig_2s,,,,
lig_2y~lig_2z,-0.3588,0.0963,-0.3588,0.0963
lig_2l~lig_2t,-0.1121,0.2624,-0.1121,0.2624
lig_2gg~lig_2k,-0.3405,0.6107,-0.3405,0.6107
lig_2a~lig_2k,1.2982,0.0721,1.2982,0.0721
lig_2v~lig_2w,-1.1154,0.2655,-1.1154,0.2655
lig_2gg~lig_2l,-2.3911,0.1421,-2.3911,0.1421
lig_2ff~lig_2j,0.1059,0.4754,0.1059,0.4754
lig_2dd~lig_2hh,-1.5689,0.3901,-1.5689,0.3901
lig_2dd~lig_2i,0.3599,0.3856,0.3599,0.3856
lig_2ff~lig_2h,0.1351,0.0797,0.1351,0.0797
lig_2ff~lig_2hh,-1.5893,0.2887,-1.5893,0.2887
lig_2e~lig_2h,1.1081,0.0338,1.1081,0.0338
lig_2a~lig_2gg,1.3718,0.0515,1.3718,0.0515
lig_2d~lig_2gg,0.0705,0.1868,0.0705,0.1868
lig_2dd~lig_2gg,2.9318,0.3379,2.9318,0.3379
lig_2i~lig_2j,0.2714,0.0182,0.2714,0.0182
lig_2e~lig_2gg,-0.7942,0.088,-0.7942,0.088
lig_2f~lig_2gg,1.2081,0.445,1.2081,0.445
lig_2ff~lig_2g,-0.2682,0.0984,-0.2682,0.0984
lig_2c~lig_2f,3.2461,0.2593,3.2461,0.2593
lig_2c~lig_2e,4.1096,0.1956,4.1096,0.1956
