,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_2k~lig_2u,-1.2663,0.279,-1.2663,0.279
lig_2u~lig_2x,1.7306,0.3951,1.7306,0.3951
lig_2l~lig_2q,0.0299,0.2252,0.0299,0.2252
lig_2ee~lig_2w,0.6709,0.4227,0.6709,0.4227
lig_2ee~lig_2v,2.6736,0.3447,2.6736,0.3447
lig_2e~lig_2q,-2.8625,0.1622,-2.8625,0.1622
lig_2b~lig_2l,-1.1844,0.3746,-1.1844,0.3746
lig_2bb~lig_2v,1.5505,0.4965,1.5505,0.4965
lig_2b~lig_2z,0.7828,0.4613,0.7828,0.4613
lig_2n~lig_2o,1.0506,0.2259,1.0506,0.2259
lig_2a~lig_2p,-0.2064,0.1903,-0.2064,0.1903
lig_2p~lig_2t,-4.807,1.5767,-4.807,1.5767
lig_2l~lig_2o,0.132,0.1812,0.132,0.1812
lig_2bb~lig_2w,-1.2744,0.237,-1.2744,0.237
lig_2ii~lig_2v,2.1259,0.2444,2.1259,0.2444
lig_2m~lig_2x,2.7167,0.1943,2.7167,0.1943
lig_2l~lig_2m,0.325,0.1276,0.325,0.1276
lig_2ii~lig_2w,-0.5148,0.3818,-0.5148,0.3818
lig_2v~lig_2y,-1.1527,1.5333,-1.1527,1.5333
lig_2g~lig_2v,2.3119,0.1995,2.3119,0.1995
lig_2gg~lig_2v,1.3755,0.2544,1.3755,0.2544
lig_2t~lig_2x,3.2607,0.0938,3.2607,0.0938
lig_2l~lig_2x,2.7216,0.2074,2.7216,0.2074
lig_2d~lig_2s,-0.7247,0.1807,-0.7247,0.1807
lig_2w~lig_2y,-0.3095,0.3308,-0.3095,0.3308
lig_2e~lig_2r,0.2899,1.6954,0.2899,1.6954
lig_2a~lig_2n,-1.6638,0.1436,-1.6638,0.1436
lig_2n~lig_2t,0.3845,0.1116,0.3845,0.1116
lig_2aa~lig_2z,0.442,0.4789,0.442,0.4789
lig_2r~lig_2s,-0.8206,0.3965,-0.8206,0.3965
lig_2y~lig_2z,0.9156,0.5209,0.9156,0.5209
lig_2l~lig_2t,-0.5776,0.129,-0.5776,0.129
lig_2gg~lig_2k,0.0452,0.1716,0.0452,0.1716
lig_2a~lig_2k,0.5712,0.0699,0.5712,0.0699
lig_2v~lig_2w,-3.1012,0.2012,-3.1012,0.2012
lig_2gg~lig_2l,-2.9235,0.2032,-2.9235,0.2032
lig_2ff~lig_2j,0.7196,0.2116,0.7196,0.2116
lig_2dd~lig_2hh,-1.7022,0.1246,-1.7022,0.1246
lig_2dd~lig_2i,1.6606,0.2706,1.6606,0.2706
lig_2ff~lig_2h,1.3728,0.1547,1.3728,0.1547
lig_2ff~lig_2hh,-0.7109,0.3199,-0.7109,0.3199
lig_2e~lig_2h,0.1288,0.9939,0.1288,0.9939
lig_2a~lig_2gg,0.8798,0.114,0.8798,0.114
lig_2d~lig_2gg,0.535,0.1292,0.535,0.1292
lig_2dd~lig_2gg,1.3064,0.2497,1.3064,0.2497
lig_2i~lig_2j,-0.2409,0.3989,-0.2409,0.3989
lig_2e~lig_2gg,-0.5506,0.0794,-0.5506,0.0794
lig_2f~lig_2gg,2.1804,0.1084,2.1804,0.1084
lig_2ff~lig_2g,-0.6664,0.289,-0.6664,0.289
lig_2c~lig_2f,2.6709,0.8324,2.6709,0.8324
lig_2c~lig_2e,5.2537,0.234,5.2537,0.234
