,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_2aa~lig_2z,0.442,0.4789,0.3926,0.119
lig_2aa~lig_2b,2.7732,3.1255,-0.7791,0.7634
lig_2aa~Intermediate_2,-0.1925,0.3843,-0.4289,0.188
lig_2bb~lig_2dd,-2.4539,0.2917,-1.6909,0.1215
lig_2bb~lig_2w,-1.2744,0.237,0.1017,0.349
lig_2c~Intermediate,11.2441,0.2226,10.9443,0.6787
lig_2c~Intermediate_3,1.6261,0.2096,1.2206,0.16
lig_2e~lig_2a,-1.6401,0.0443,-1.4788,0.0372
lig_2e~lig_2d,-0.1595,0.183,-0.5404,0.0631
lig_2ee~lig_2j,0.7089,0.2731,1.2743,0.1081
lig_2ee~lig_2a,-0.1397,0.2271,-0.0003,0.2068
lig_2f~lig_2g,-1.0231,0.1481,-0.9166,0.0745
lig_2f~lig_2d,0.5499,0.1349,-0.034,0.0726
lig_2ff~lig_2gg,0.7967,0.2879,0.5002,0.0331
lig_2ff~lig_2a,0.2336,0.148,0.0959,0.1282
lig_2g~lig_2h,1.567,0.2041,1.4349,0.0606
lig_2g~lig_2i,0.7818,0.3363,1.1338,0.1074
lig_2g~lig_2d,1.3146,0.2331,0.928,0.0154
lig_2gg~lig_2a,-1.4991,0.6971,-0.6974,0.0699
lig_2h~lig_2i,-1.1917,0.101,-0.949,0.0494
lig_2j~lig_2k,-0.2441,0.3369,0.6867,0.078
lig_2j~lig_2m,-1.3633,0.1496,-2.7234,0.1405
lig_2j~Intermediate_4,-2.7764,0.3693,-3.9652,0.2737
lig_2k~lig_2a,-0.9148,0.0882,-1.71,0.0557
lig_2l~lig_2o,0.132,0.1812,-0.1845,0.2667
lig_2l~lig_2t,-0.5776,0.129,-0.9441,0.0327
lig_2m~lig_2a,1.5891,0.1266,1.6459,0.3091
lig_2n~lig_2p,1.8481,0.3313,-0.7528,0.3475
lig_2n~lig_2r,1.3968,0.2974,0.5966,0.1533
lig_2n~lig_2s,1.084,0.227,0.7735,0.1612
lig_2n~lig_2a,1.7742,0.1243,1.2004,0.1417
lig_2o~lig_2a,1.0608,0.1966,1.9445,0.1276
lig_2p~lig_2a,-0.1127,0.2548,1.4783,0.1736
lig_2q~Intermediate_1,-0.3847,0.1487,0.3319,0.0535
lig_2q~Intermediate_4,-0.5138,0.2619,0.8161,0.072
lig_2r~lig_2s,-0.8206,0.3965,-1.4677,0.2335
lig_2t~lig_2a,1.8332,0.1103,2.7622,0.1196
lig_2u~Intermediate_4,-1.5111,0.194,-0.2628,0.2334
lig_2v~lig_2x,-1.0121,0.2093,-1.6182,0.2398
lig_2v~lig_2a,-2.3773,0.374,-2.0441,0.189
lig_2v~Intermediate_10,-1.738,0.1712,-0.6017,0.2661
lig_2x~Intermediate_7,-2.0316,0.0952,-1.1788,0.1347
lig_2y~lig_2w,-0.0671,0.2166,0.9831,0.2736
lig_2y~Intermediate_10,-0.2352,0.209,1.8008,0.1761
lig_2z~lig_2w,-1.2178,0.2617,0.8844,0.2085
lig_2a~Intermediate_4,-2.6211,0.1349,-3.1847,0.2725
lig_2dd~lig_2w,0.6464,0.1793,2.2134,0.7551
lig_2b~Intermediate_2,0.7647,0.2306,0.857,0.3533
lig_2w~Intermediate_10,0.7746,0.1356,0.4369,0.0565
lig_2d~Intermediate,6.6079,0.6026,8.7261,0.1147
lig_2d~Intermediate_5,3.9165,0.7294,4.0199,0.5245
lig_2d~Intermediate_8,1.0352,0.1502,2.6625,0.2419
lig_2ii~lig_2hh,-0.1462,0.0347,-0.0877,0.0141
lig_2ii~Intermediate_6,0.9986,0.2753,1.0557,0.0852
lig_2hh~Intermediate_10,3.381,0.2273,3.1296,0.1465
Intermediate~Intermediate_3,-5.6649,0.267,-7.0096,0.3673
Intermediate~Intermediate_5,-1.6881,0.1861,-1.8936,0.0428
Intermediate_1~Intermediate_4,-0.8718,0.1447,-0.2841,0.0525
Intermediate_2~Intermediate_10,0.2542,0.0553,0.4455,0.0336
Intermediate_6~Intermediate_10,2.6675,0.2532,2.1592,0.2139
Intermediate_7~Intermediate_8,0.5776,0.4194,0.6848,0.027
Intermediate_8~Intermediate_10,-2.0204,0.2759,-2.06,0.1189
