,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_2b~lig_2h,2.5673,0.8889,2.5673,0.8889
lig_2d~lig_2v,0.6186,0.1446,0.6186,0.1446
lig_2c~lig_2e,5.2537,0.234,5.2537,0.234
lig_2c~lig_2f,2.6709,0.8324,2.6709,0.8324
lig_2d~lig_2w,-0.7065,0.3184,-0.7065,0.3184
lig_2x~lig_2y,-0.6433,0.1332,-0.6433,0.1332
lig_2a~lig_2w,0.1233,0.2291,0.1233,0.2291
lig_2e~lig_2v,-1.1959,0.634,-1.1959,0.634
lig_2j~lig_2v,2.2791,0.2588,2.2791,0.2588
lig_2v~lig_2x,-1.0121,0.2093,-1.0121,0.2093
lig_2hh~lig_2w,2.1904,0.189,2.1904,0.189
lig_2ii~lig_2w,-0.5148,0.3818,-0.5148,0.3818
lig_2k~lig_2q,-2.4386,0.1981,-2.4386,0.1981
lig_2q~lig_2u,0.7975,0.1328,0.7975,0.1328
lig_2bb~lig_2z,0.4495,0.2717,0.4495,0.2717
lig_2p~lig_2s,0.1251,0.31,0.1251,0.31
lig_2y~lig_2z,0.9156,0.5209,0.9156,0.5209
lig_2n~lig_2o,1.0506,0.2259,1.0506,0.2259
lig_2bb~lig_2v,1.5505,0.4965,1.5505,0.4965
lig_2n~lig_2p,1.8481,0.3313,1.8481,0.3313
lig_2ee~lig_2l,-0.868,0.2512,-0.868,0.2512
lig_2ff~lig_2gg,0.7967,0.2879,0.7967,0.2879
lig_2gg~lig_2j,-0.5111,0.1141,-0.5111,0.1141
lig_2aa~lig_2v,1.561,0.1449,1.561,0.1449
lig_2b~lig_2w,0.4597,0.1807,0.4597,0.1807
lig_2dd~lig_2w,0.6464,0.1793,0.6464,0.1793
lig_2ee~lig_2j,0.7089,0.2731,0.7089,0.2731
lig_2l~lig_2o,0.132,0.1812,0.132,0.1812
lig_2v~lig_2y,-1.1527,1.5333,-1.1527,1.5333
lig_2k~lig_2m,-1.6679,0.1503,-1.6679,0.1503
lig_2n~lig_2r,1.3968,0.2974,1.3968,0.2974
lig_2j~lig_2t,-2.4847,0.2784,-2.4847,0.2784
lig_2l~lig_2t,-0.5776,0.129,-0.5776,0.129
lig_2a~lig_2d,0.7961,0.129,0.7961,0.129
lig_2aa~lig_2z,0.442,0.4789,0.442,0.4789
lig_2e~lig_2f,-1.1066,0.0312,-1.1066,0.0312
lig_2f~lig_2g,-1.0231,0.1481,-1.0231,0.1481
lig_2ff~lig_2j,0.7196,0.2116,0.7196,0.2116
lig_2hh~lig_2ii,0.1428,0.0379,0.1428,0.0379
lig_2k~lig_2l,-2.2211,0.166,-2.2211,0.166
lig_2l~lig_2n,-0.7131,0.1637,-0.7131,0.1637
lig_2r~lig_2s,-0.8206,0.3965,-0.8206,0.3965
lig_2e~lig_2j,1.0273,0.1627,1.0273,0.1627
lig_2j~lig_2k,-0.2441,0.3369,-0.2441,0.3369
lig_2i~lig_2j,-0.2409,0.3989,-0.2409,0.3989
lig_2n~lig_2s,1.084,0.227,1.084,0.227
lig_2g~lig_2h,1.567,0.2041,1.567,0.2041
lig_2g~lig_2i,0.7818,0.3363,0.7818,0.3363
lig_2h~lig_2i,-1.1917,0.101,-1.1917,0.101
lig_2k~lig_2u,-1.2663,0.279,-1.2663,0.279
lig_2u~lig_2x,1.7306,0.3951,1.7306,0.3951
lig_2l~lig_2q,0.0299,0.2252,0.0299,0.2252
lig_2ee~lig_2w,0.6709,0.4227,0.6709,0.4227
lig_2ee~lig_2v,2.6736,0.3447,2.6736,0.3447
lig_2e~lig_2q,-2.8625,0.1622,-2.8625,0.1622
lig_2b~lig_2l,-1.1844,0.3746,-1.1844,0.3746
lig_2b~lig_2z,0.7828,0.4613,0.7828,0.4613
lig_2a~lig_2p,-0.2064,0.1903,-0.2064,0.1903
lig_2p~lig_2t,-4.807,1.5767,-4.807,1.5767
lig_2bb~lig_2w,-1.2744,0.237,-1.2744,0.237
lig_2ii~lig_2v,2.1259,0.2444,2.1259,0.2444
lig_2m~lig_2x,2.7167,0.1943,2.7167,0.1943
lig_2l~lig_2m,0.325,0.1276,0.325,0.1276
lig_2g~lig_2v,2.3119,0.1995,2.3119,0.1995
lig_2gg~lig_2v,1.3755,0.2544,1.3755,0.2544
lig_2t~lig_2x,3.2607,0.0938,3.2607,0.0938
lig_2l~lig_2x,2.7216,0.2074,2.7216,0.2074
lig_2d~lig_2s,-0.7247,0.1807,-0.7247,0.1807
lig_2w~lig_2y,-0.3095,0.3308,-0.3095,0.3308
lig_2e~lig_2r,0.2899,1.6954,0.2899,1.6954
lig_2a~lig_2n,-1.6638,0.1436,-1.6638,0.1436
lig_2n~lig_2t,0.3845,0.1116,0.3845,0.1116
lig_2gg~lig_2k,0.0452,0.1716,0.0452,0.1716
lig_2a~lig_2k,0.5712,0.0699,0.5712,0.0699
lig_2v~lig_2w,-3.1012,0.2012,-3.1012,0.2012
lig_2gg~lig_2l,-2.9235,0.2032,-2.9235,0.2032
lig_2dd~lig_2hh,-1.7022,0.1246,-1.7022,0.1246
lig_2dd~lig_2i,1.6606,0.2706,1.6606,0.2706
lig_2ff~lig_2h,1.3728,0.1547,1.3728,0.1547
lig_2ff~lig_2hh,-0.7109,0.3199,-0.7109,0.3199
lig_2e~lig_2h,0.1288,0.9939,0.1288,0.9939
lig_2a~lig_2gg,0.8798,0.114,0.8798,0.114
lig_2d~lig_2gg,0.535,0.1292,0.535,0.1292
lig_2dd~lig_2gg,1.3064,0.2497,1.3064,0.2497
lig_2e~lig_2gg,-0.5506,0.0794,-0.5506,0.0794
lig_2f~lig_2gg,2.1804,0.1084,2.1804,0.1084
lig_2ff~lig_2g,-0.6664,0.289,-0.6664,0.289
lig_2aa~lig_2b,2.7732,3.1255,2.7732,3.1255
lig_2aa~Intermediate_2,-0.1925,0.3843,-0.1925,0.3843
lig_2bb~lig_2dd,-2.4539,0.2917,-2.4539,0.2917
lig_2c~Intermediate,11.2441,0.2226,11.2441,0.2226
lig_2c~Intermediate_3,1.6261,0.2096,1.6261,0.2096
lig_2e~lig_2a,-1.6401,0.0443,-1.6401,0.0443
lig_2e~lig_2d,-0.1595,0.183,-0.1595,0.183
lig_2ee~lig_2a,-0.1397,0.2271,-0.1397,0.2271
lig_2f~lig_2d,0.5499,0.1349,0.5499,0.1349
lig_2ff~lig_2a,0.2336,0.148,0.2336,0.148
lig_2g~lig_2d,1.3146,0.2331,1.3146,0.2331
lig_2gg~lig_2a,-1.4991,0.6971,-1.4991,0.6971
lig_2j~lig_2m,-1.3633,0.1496,-1.3633,0.1496
lig_2j~Intermediate_4,-2.7764,0.3693,-2.7764,0.3693
lig_2k~lig_2a,-0.9148,0.0882,-0.9148,0.0882
lig_2m~lig_2a,1.5891,0.1266,1.5891,0.1266
lig_2n~lig_2a,1.7742,0.1243,1.7742,0.1243
lig_2o~lig_2a,1.0608,0.1966,1.0608,0.1966
lig_2p~lig_2a,-0.1127,0.2548,-0.1127,0.2548
lig_2q~Intermediate_1,-0.3847,0.1487,-0.3847,0.1487
lig_2q~Intermediate_4,-0.5138,0.2619,-0.5138,0.2619
lig_2t~lig_2a,1.8332,0.1103,1.8332,0.1103
lig_2u~Intermediate_4,-1.5111,0.194,-1.5111,0.194
lig_2v~lig_2a,-2.3773,0.374,-2.3773,0.374
lig_2v~Intermediate_10,-1.738,0.1712,-1.738,0.1712
lig_2x~Intermediate_7,-2.0316,0.0952,-2.0316,0.0952
lig_2y~lig_2w,-0.0671,0.2166,-0.0671,0.2166
lig_2y~Intermediate_10,-0.2352,0.209,-0.2352,0.209
lig_2z~lig_2w,-1.2178,0.2617,-1.2178,0.2617
lig_2a~Intermediate_4,-2.6211,0.1349,-2.6211,0.1349
lig_2b~Intermediate_2,0.7647,0.2306,0.7647,0.2306
lig_2w~Intermediate_10,0.7746,0.1356,0.7746,0.1356
lig_2d~Intermediate,6.6079,0.6026,6.6079,0.6026
lig_2d~Intermediate_5,3.9165,0.7294,3.9165,0.7294
lig_2d~Intermediate_8,1.0352,0.1502,1.0352,0.1502
lig_2ii~lig_2hh,-0.1462,0.0347,-0.1462,0.0347
lig_2ii~Intermediate_6,0.9986,0.2753,0.9986,0.2753
lig_2hh~Intermediate_10,3.381,0.2273,3.381,0.2273
Intermediate~Intermediate_3,-5.6649,0.267,-5.6649,0.267
Intermediate~Intermediate_5,-1.6881,0.1861,-1.6881,0.1861
Intermediate_1~Intermediate_4,-0.8718,0.1447,-0.8718,0.1447
Intermediate_2~Intermediate_10,0.2542,0.0553,0.2542,0.0553
Intermediate_6~Intermediate_10,2.6675,0.2532,2.6675,0.2532
Intermediate_7~Intermediate_8,0.5776,0.4194,0.5776,0.4194
Intermediate_8~Intermediate_10,-2.0204,0.2759,-2.0204,0.2759
