,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_2aa~lig_2z,0.3926,0.119,0.442,0.4789
lig_2aa~lig_2b,-0.7791,0.7634,2.7732,3.1255
lig_2aa~Intermediate_2,-0.4289,0.188,-0.1925,0.3843
lig_2bb~lig_2dd,-1.6909,0.1215,-2.4539,0.2917
lig_2bb~lig_2w,0.1017,0.349,-1.2744,0.237
lig_2c~Intermediate,10.9443,0.6787,11.2441,0.2226
lig_2c~Intermediate_3,1.2206,0.16,1.6261,0.2096
lig_2e~lig_2a,-1.4788,0.0372,-1.6401,0.0443
lig_2e~lig_2d,-0.5404,0.0631,-0.1595,0.183
lig_2ee~lig_2j,1.2743,0.1081,0.7089,0.2731
lig_2ee~lig_2a,-0.0003,0.2068,-0.1397,0.2271
lig_2f~lig_2g,-0.9166,0.0745,-1.0231,0.1481
lig_2f~lig_2d,-0.034,0.0726,0.5499,0.1349
lig_2ff~lig_2gg,0.5002,0.0331,0.7967,0.2879
lig_2ff~lig_2a,0.0959,0.1282,0.2336,0.148
lig_2g~lig_2h,1.4349,0.0606,1.567,0.2041
lig_2g~lig_2i,1.1338,0.1074,0.7818,0.3363
lig_2g~lig_2d,0.928,0.0154,1.3146,0.2331
lig_2gg~lig_2a,-0.6974,0.0699,-1.4991,0.6971
lig_2h~lig_2i,-0.949,0.0494,-1.1917,0.101
lig_2j~lig_2k,0.6867,0.078,-0.2441,0.3369
lig_2j~lig_2m,-2.7234,0.1405,-1.3633,0.1496
lig_2j~Intermediate_4,-3.9652,0.2737,-2.7764,0.3693
lig_2k~lig_2a,-1.71,0.0557,-0.9148,0.0882
lig_2l~lig_2o,-0.1845,0.2667,0.132,0.1812
lig_2l~lig_2t,-0.9441,0.0327,-0.5776,0.129
lig_2m~lig_2a,1.6459,0.3091,1.5891,0.1266
lig_2n~lig_2p,-0.7528,0.3475,1.8481,0.3313
lig_2n~lig_2r,0.5966,0.1533,1.3968,0.2974
lig_2n~lig_2s,0.7735,0.1612,1.084,0.227
lig_2n~lig_2a,1.2004,0.1417,1.7742,0.1243
lig_2o~lig_2a,1.9445,0.1276,1.0608,0.1966
lig_2p~lig_2a,1.4783,0.1736,-0.1127,0.2548
lig_2q~Intermediate_1,0.3319,0.0535,-0.3847,0.1487
lig_2q~Intermediate_4,0.8161,0.072,-0.5138,0.2619
lig_2r~lig_2s,-1.4677,0.2335,-0.8206,0.3965
lig_2t~lig_2a,2.7622,0.1196,1.8332,0.1103
lig_2u~Intermediate_4,-0.2628,0.2334,-1.5111,0.194
lig_2v~lig_2x,-1.6182,0.2398,-1.0121,0.2093
lig_2v~lig_2a,-2.0441,0.189,-2.3773,0.374
lig_2v~Intermediate_10,-0.6017,0.2661,-1.738,0.1712
lig_2x~Intermediate_7,-1.1788,0.1347,-2.0316,0.0952
lig_2y~lig_2w,0.9831,0.2736,-0.0671,0.2166
lig_2y~Intermediate_10,1.8008,0.1761,-0.2352,0.209
lig_2z~lig_2w,0.8844,0.2085,-1.2178,0.2617
lig_2a~Intermediate_4,-3.1847,0.2725,-2.6211,0.1349
lig_2dd~lig_2w,2.2134,0.7551,0.6464,0.1793
lig_2b~Intermediate_2,0.857,0.3533,0.7647,0.2306
lig_2w~Intermediate_10,0.4369,0.0565,0.7746,0.1356
lig_2d~Intermediate,8.7261,0.1147,6.6079,0.6026
lig_2d~Intermediate_5,4.0199,0.5245,3.9165,0.7294
lig_2d~Intermediate_8,2.6625,0.2419,1.0352,0.1502
lig_2ii~lig_2hh,-0.0877,0.0141,-0.1462,0.0347
lig_2ii~Intermediate_6,1.0557,0.0852,0.9986,0.2753
lig_2hh~Intermediate_10,3.1296,0.1465,3.381,0.2273
Intermediate~Intermediate_3,-7.0096,0.3673,-5.6649,0.267
Intermediate~Intermediate_5,-1.8936,0.0428,-1.6881,0.1861
Intermediate_1~Intermediate_4,-0.2841,0.0525,-0.8718,0.1447
Intermediate_2~Intermediate_10,0.4455,0.0336,0.2542,0.0553
Intermediate_6~Intermediate_10,2.1592,0.2139,2.6675,0.2532
Intermediate_7~Intermediate_8,0.6848,0.027,0.5776,0.4194
Intermediate_8~Intermediate_10,-2.06,0.1189,-2.0204,0.2759
