,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_2aa~lig_2z,0.3926,0.119,,
lig_2aa~lig_2b,-0.7791,0.7634,-2.0677,0.6044
lig_2aa~Intermediate_2,-0.4289,0.188,,
lig_2bb~lig_2dd,-1.6909,0.1215,-1.4155,0.0499
lig_2bb~lig_2w,0.1017,0.349,-0.6081,0.3184
lig_2c~Intermediate,10.9443,0.6787,8.0726,0.4241
lig_2c~Intermediate_3,1.2206,0.16,0.5344,0.0452
lig_2e~lig_2a,-1.4788,0.0372,-1.1704,0.082
lig_2e~lig_2d,-0.5404,0.0631,-0.1474,0.0274
lig_2ee~lig_2j,1.2743,0.1081,3.2329,0.1503
lig_2ee~lig_2a,-0.0003,0.2068,0.2939,0.0859
lig_2f~lig_2g,-0.9166,0.0745,0.075,0.0615
lig_2f~lig_2d,-0.034,0.0726,0.2284,0.0729
lig_2ff~lig_2gg,0.5002,0.0331,1.0459,0.1199
lig_2ff~lig_2a,0.0959,0.1282,-1.7345,0.1511
lig_2g~lig_2h,1.4349,0.0606,0.2997,0.0649
lig_2g~lig_2i,1.1338,0.1074,-0.1146,0.1129
lig_2g~lig_2d,0.928,0.0154,1.1083,0.025
lig_2gg~lig_2a,-0.6974,0.0699,-2.2682,1.7189
lig_2h~lig_2i,-0.949,0.0494,-0.8152,0.023
lig_2j~lig_2k,0.6867,0.078,2.0602,0.1276
lig_2j~lig_2m,-2.7234,0.1405,-0.5706,0.2422
lig_2j~Intermediate_4,-3.9652,0.2737,-0.9748,0.2477
lig_2k~lig_2a,-1.71,0.0557,-1.5819,0.202
lig_2l~lig_2o,-0.1845,0.2667,1.5442,0.1871
lig_2l~lig_2t,-0.9441,0.0327,-0.1121,0.2624
lig_2m~lig_2a,1.6459,0.3091,0.5792,0.0817
lig_2n~lig_2p,-0.7528,0.3475,2.3149,0.079
lig_2n~lig_2r,0.5966,0.1533,0.5167,0.1473
lig_2n~lig_2s,0.7735,0.1612,,
lig_2n~lig_2a,1.2004,0.1417,1.4203,0.0579
lig_2o~lig_2a,1.9445,0.1276,0.5535,0.1164
lig_2p~lig_2a,1.4783,0.1736,0.8528,0.151
lig_2q~Intermediate_1,0.3319,0.0535,-1.0361,0.0784
lig_2q~Intermediate_4,0.8161,0.072,0.0644,0.0764
lig_2r~lig_2s,-1.4677,0.2335,,
lig_2t~lig_2a,2.7622,0.1196,0.6446,0.3704
lig_2u~Intermediate_4,-0.2628,0.2334,-1.3401,0.1477
lig_2v~lig_2x,-1.6182,0.2398,-0.7075,0.1905
lig_2v~lig_2a,-2.0441,0.189,-2.0069,0.5109
lig_2v~Intermediate_10,-0.6017,0.2661,-1.3531,0.2399
lig_2x~Intermediate_7,-1.1788,0.1347,1.4798,0.0817
lig_2y~lig_2w,0.9831,0.2736,-0.1463,0.1098
lig_2y~Intermediate_10,1.8008,0.1761,0.4914,0.1152
lig_2z~lig_2w,0.8844,0.2085,-0.9935,0.3008
lig_2a~Intermediate_4,-3.1847,0.2725,-1.7212,0.1775
lig_2dd~lig_2w,2.2134,0.7551,0.8094,0.1461
lig_2b~Intermediate_2,0.857,0.3533,-0.9632,0.0803
lig_2w~Intermediate_10,0.4369,0.0565,0.434,0.2884
lig_2d~Intermediate,8.7261,0.1147,5.5759,0.2362
lig_2d~Intermediate_5,4.0199,0.5245,4.3353,0.0935
lig_2d~Intermediate_8,2.6625,0.2419,2.1805,0.4423
lig_2ii~lig_2hh,-0.0877,0.0141,-0.1277,0.0026
lig_2ii~Intermediate_6,1.0557,0.0852,1.0426,0.084
lig_2hh~Intermediate_10,3.1296,0.1465,2.0796,0.2258
Intermediate~Intermediate_3,-7.0096,0.3673,-3.6328,0.0697
Intermediate~Intermediate_5,-1.8936,0.0428,-0.7631,0.1359
Intermediate_1~Intermediate_4,-0.2841,0.0525,-0.5445,0.1328
Intermediate_2~Intermediate_10,0.4455,0.0336,0.4646,0.0523
Intermediate_6~Intermediate_10,2.1592,0.2139,2.132,0.4775
Intermediate_7~Intermediate_8,0.6848,0.027,0.6131,0.0422
Intermediate_8~Intermediate_10,-2.06,0.1189,-2.1539,0.1975
