,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_2b~lig_2h,1.945,0.8903,2.5673,0.8889
lig_2d~lig_2v,1.9112,0.2257,0.6186,0.1446
lig_2c~lig_2e,2.7003,0.6349,5.2537,0.234
lig_2c~lig_2f,3.5189,0.8976,2.6709,0.8324
lig_2d~lig_2w,-0.1901,0.1905,-0.7065,0.3184
lig_2x~lig_2y,-0.0082,0.4899,-0.6433,0.1332
lig_2a~lig_2w,0.4977,0.5679,0.1233,0.2291
lig_2e~lig_2v,0.1647,0.6373,-1.1959,0.634
lig_2j~lig_2v,1.6515,0.2561,2.2791,0.2588
lig_2v~lig_2x,-1.6182,0.2398,-1.0121,0.2093
lig_2hh~lig_2w,2.0465,0.0359,2.1904,0.189
lig_2ii~lig_2w,1.0956,0.2582,-0.5148,0.3818
lig_2k~lig_2q,-3.9423,0.3069,-2.4386,0.1981
lig_2q~lig_2u,1.359,0.1348,0.7975,0.1328
lig_2bb~lig_2z,0.5432,0.3155,0.4495,0.2717
lig_2p~lig_2s,0.1935,0.3831,0.1251,0.31
lig_2y~lig_2z,-0.0242,0.2209,0.9156,0.5209
lig_2n~lig_2o,0.2492,0.2287,1.0506,0.2259
lig_2bb~lig_2v,1.1999,0.2571,1.5505,0.4965
lig_2n~lig_2p,-0.7528,0.3475,1.8481,0.3313
lig_2ee~lig_2l,-1.1754,0.2021,-0.868,0.2512
lig_2ff~lig_2gg,0.5002,0.0331,0.7967,0.2879
lig_2gg~lig_2j,0.1679,0.1332,-0.5111,0.1141
lig_2aa~lig_2v,1.3437,0.6237,1.561,0.1449
lig_2b~lig_2w,1.036,0.6687,0.4597,0.1807
lig_2dd~lig_2w,2.2134,0.7551,0.6464,0.1793
lig_2ee~lig_2j,1.2743,0.1081,0.7089,0.2731
lig_2l~lig_2o,-0.1845,0.2667,0.132,0.1812
lig_2v~lig_2y,-1.8376,0.188,-1.1527,1.5333
lig_2k~lig_2m,-2.7682,0.0946,-1.6679,0.1503
lig_2n~lig_2r,0.5966,0.1533,1.3968,0.2974
lig_2j~lig_2t,-3.4065,0.1396,-2.4847,0.2784
lig_2l~lig_2t,-0.9441,0.0327,-0.5776,0.129
lig_2a~lig_2d,0.8477,0.0499,0.7961,0.129
lig_2aa~lig_2z,0.3926,0.119,0.442,0.4789
lig_2e~lig_2f,-0.6942,0.0317,-1.1066,0.0312
lig_2f~lig_2g,-0.9166,0.0745,-1.0231,0.1481
lig_2ff~lig_2j,1.009,0.1575,0.7196,0.2116
lig_2hh~lig_2ii,0.187,0.0085,0.1428,0.0379
lig_2k~lig_2l,-3.3878,0.1835,-2.2211,0.166
lig_2l~lig_2n,-0.2772,0.1152,-0.7131,0.1637
lig_2r~lig_2s,-1.4677,0.2335,-0.8206,0.3965
lig_2e~lig_2j,1.3235,0.1142,1.0273,0.1627
lig_2j~lig_2k,0.6867,0.078,-0.2441,0.3369
lig_2i~lig_2j,0.2132,0.0885,-0.2409,0.3989
lig_2n~lig_2s,0.7735,0.1612,1.084,0.227
lig_2g~lig_2h,1.4349,0.0606,1.567,0.2041
lig_2g~lig_2i,1.1338,0.1074,0.7818,0.3363
lig_2h~lig_2i,-0.949,0.0494,-1.1917,0.101
lig_2k~lig_2u,-3.3467,0.7515,-1.2663,0.279
lig_2u~lig_2x,,,1.7306,0.3951
lig_2l~lig_2q,-2.3978,0.4389,0.0299,0.2252
lig_2ee~lig_2w,1.0578,0.2681,0.6709,0.4227
lig_2ee~lig_2v,2.8537,0.2839,2.6736,0.3447
lig_2e~lig_2q,-5.376,0.4853,-2.8625,0.1622
lig_2b~lig_2l,1.4472,0.5656,-1.1844,0.3746
lig_2b~lig_2z,1.0046,1.1101,0.7828,0.4613
lig_2a~lig_2p,-1.0557,0.163,-0.2064,0.1903
lig_2p~lig_2t,-0.1336,0.6203,-4.807,1.5767
lig_2bb~lig_2w,0.1017,0.349,-1.2744,0.237
lig_2ii~lig_2v,2.4034,0.1794,2.1259,0.2444
lig_2m~lig_2x,2.7473,0.4968,2.7167,0.1943
lig_2l~lig_2m,0.0631,0.0444,0.325,0.1276
lig_2g~lig_2v,3.2825,0.1262,2.3119,0.1995
lig_2gg~lig_2v,1.9197,0.2625,1.3755,0.2544
lig_2t~lig_2x,3.3344,0.095,3.2607,0.0938
lig_2l~lig_2x,2.7577,0.4683,2.7216,0.2074
lig_2d~lig_2s,-1.7787,0.1413,-0.7247,0.1807
lig_2w~lig_2y,-0.9672,0.3516,-0.3095,0.3308
lig_2e~lig_2r,-2.5663,0.054,0.2899,1.6954
lig_2a~lig_2n,-1.2781,0.2857,-1.6638,0.1436
lig_2n~lig_2t,0.063,0.1806,0.3845,0.1116
lig_2gg~lig_2k,1.1081,0.0891,0.0452,0.1716
lig_2a~lig_2k,1.8692,0.0672,0.5712,0.0699
lig_2v~lig_2w,-1.7928,0.1169,-3.1012,0.2012
lig_2gg~lig_2l,-2.3786,0.1958,-2.9235,0.2032
lig_2dd~lig_2hh,-0.0519,0.3503,-1.7022,0.1246
lig_2dd~lig_2i,3.0028,0.9757,1.6606,0.2706
lig_2ff~lig_2h,1.2598,0.0987,1.3728,0.1547
lig_2ff~lig_2hh,-1.6146,0.2453,-0.7109,0.3199
lig_2e~lig_2h,0.8971,0.065,0.1288,0.9939
lig_2a~lig_2gg,0.4877,0.3113,0.8798,0.114
lig_2d~lig_2gg,-0.2583,0.2359,0.535,0.1292
lig_2dd~lig_2gg,1.8527,0.2259,1.3064,0.2497
lig_2e~lig_2gg,-1.0225,0.105,-0.5506,0.0794
lig_2f~lig_2gg,1.2618,0.5109,2.1804,0.1084
lig_2ff~lig_2g,-0.2966,0.0887,-0.6664,0.289
lig_2aa~lig_2b,-0.7791,0.7634,2.7732,3.1255
lig_2aa~Intermediate_2,-0.4289,0.188,-0.1925,0.3843
lig_2bb~lig_2dd,-1.6909,0.1215,-2.4539,0.2917
lig_2c~Intermediate,10.9443,0.6787,11.2441,0.2226
lig_2c~Intermediate_3,1.2206,0.16,1.6261,0.2096
