,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_2b~lig_2h,0.5498,0.6776,1.945,0.8903
lig_2d~lig_2v,1.4221,0.4582,1.9112,0.2257
lig_2c~lig_2e,4.1096,0.1956,2.7003,0.6349
lig_2c~lig_2f,3.2461,0.2593,3.5189,0.8976
lig_2d~lig_2w,-1.0535,0.108,-0.1901,0.1905
lig_2x~lig_2y,-0.4732,0.0801,-0.0082,0.4899
lig_2a~lig_2w,-1.396,0.143,0.4977,0.5679
lig_2e~lig_2v,0.7508,0.3531,0.1647,0.6373
lig_2j~lig_2v,3.4324,0.4132,1.6515,0.2561
lig_2v~lig_2x,-0.7075,0.1905,-1.6182,0.2398
lig_2hh~lig_2w,1.6613,0.3838,2.0465,0.0359
lig_2ii~lig_2w,0.8232,0.0808,1.0956,0.2582
lig_2k~lig_2q,-3.3816,0.4884,-3.9423,0.3069
lig_2q~lig_2u,-0.811,0.432,1.359,0.1348
lig_2bb~lig_2z,0.1784,0.4566,0.5432,0.3155
lig_2p~lig_2s,-2.6881,0.9885,0.1935,0.3831
lig_2y~lig_2z,-0.3588,0.0963,-0.0242,0.2209
lig_2n~lig_2o,1.2081,0.1296,0.2492,0.2287
lig_2bb~lig_2v,0.4837,0.0727,1.1999,0.2571
lig_2n~lig_2p,2.3149,0.079,-0.7528,0.3475
lig_2ee~lig_2l,-0.9551,0.0512,-1.1754,0.2021
lig_2ff~lig_2gg,1.0459,0.1199,0.5002,0.0331
lig_2gg~lig_2j,1.5931,0.1027,0.1679,0.1332
lig_2aa~lig_2v,0.7162,0.6491,1.3437,0.6237
lig_2b~lig_2w,0.8632,1.016,1.036,0.6687
lig_2dd~lig_2w,0.8094,0.1461,2.2134,0.7551
lig_2ee~lig_2j,3.2329,0.1503,1.2743,0.1081
lig_2l~lig_2o,1.5442,0.1871,-0.1845,0.2667
lig_2v~lig_2y,-1.4807,0.0775,-1.8376,0.188
lig_2k~lig_2m,-1.5505,0.2031,-2.7682,0.0946
lig_2n~lig_2r,0.5167,0.1473,0.5966,0.1533
lig_2j~lig_2t,-0.1023,0.1433,-3.4065,0.1396
lig_2l~lig_2t,-0.1121,0.2624,-0.9441,0.0327
lig_2a~lig_2d,1.0247,0.0279,0.8477,0.0499
lig_2aa~lig_2z,,,0.3926,0.119
lig_2e~lig_2f,-0.6441,0.0362,-0.6942,0.0317
lig_2f~lig_2g,0.075,0.0615,-0.9166,0.0745
lig_2ff~lig_2j,0.1059,0.4754,1.009,0.1575
lig_2hh~lig_2ii,0.1319,0.0169,0.187,0.0085
lig_2k~lig_2l,-3.149,0.3038,-3.3878,0.1835
lig_2l~lig_2n,-0.5112,0.0784,-0.2772,0.1152
lig_2r~lig_2s,,,-1.4677,0.2335
lig_2e~lig_2j,-0.1187,0.0738,1.3235,0.1142
lig_2j~lig_2k,2.0602,0.1276,0.6867,0.078
lig_2i~lig_2j,0.2714,0.0182,0.2132,0.0885
lig_2n~lig_2s,,,0.7735,0.1612
lig_2g~lig_2h,0.2997,0.0649,1.4349,0.0606
lig_2g~lig_2i,-0.1146,0.1129,1.1338,0.1074
lig_2h~lig_2i,-0.8152,0.023,-0.949,0.0494
lig_2k~lig_2u,-2.1298,1.0573,-3.3467,0.7515
lig_2u~lig_2x,1.9948,0.5384,,
lig_2l~lig_2q,0.2738,0.075,-2.3978,0.4389
lig_2ee~lig_2w,0.9103,0.079,1.0578,0.2681
lig_2ee~lig_2v,2.2542,1.0449,2.8537,0.2839
lig_2e~lig_2q,-2.5306,0.105,-5.376,0.4853
lig_2b~lig_2l,-0.0376,0.4822,1.4472,0.5656
lig_2b~lig_2z,0.2448,0.138,1.0046,1.1101
lig_2a~lig_2p,-0.9144,0.1174,-1.0557,0.163
lig_2p~lig_2t,-2.8622,0.1286,-0.1336,0.6203
lig_2bb~lig_2w,-0.6081,0.3184,0.1017,0.349
lig_2ii~lig_2v,2.3386,0.2306,2.4034,0.1794
lig_2m~lig_2x,2.6956,0.0758,2.7473,0.4968
lig_2l~lig_2m,-0.0055,0.0836,0.0631,0.0444
lig_2g~lig_2v,2.5805,0.2737,3.2825,0.1262
lig_2gg~lig_2v,1.2145,1.6082,1.9197,0.2625
lig_2t~lig_2x,2.4506,0.1752,3.3344,0.095
lig_2l~lig_2x,0.8921,0.2729,2.7577,0.4683
lig_2d~lig_2s,-0.1524,1.2387,-1.7787,0.1413
lig_2w~lig_2y,0.2862,0.1704,-0.9672,0.3516
lig_2e~lig_2r,-0.8058,0.0739,-2.5663,0.054
lig_2a~lig_2n,-1.5312,0.3869,-1.2781,0.2857
lig_2n~lig_2t,-0.2666,0.0841,0.063,0.1806
lig_2gg~lig_2k,-0.3405,0.6107,1.1081,0.0891
lig_2a~lig_2k,1.2982,0.0721,1.8692,0.0672
lig_2v~lig_2w,-1.1154,0.2655,-1.7928,0.1169
lig_2gg~lig_2l,-2.3911,0.1421,-2.3786,0.1958
lig_2dd~lig_2hh,-1.5689,0.3901,-0.0519,0.3503
lig_2dd~lig_2i,0.3599,0.3856,3.0028,0.9757
lig_2ff~lig_2h,0.1351,0.0797,1.2598,0.0987
lig_2ff~lig_2hh,-1.5893,0.2887,-1.6146,0.2453
lig_2e~lig_2h,1.1081,0.0338,0.8971,0.065
lig_2a~lig_2gg,1.3718,0.0515,0.4877,0.3113
lig_2d~lig_2gg,0.0705,0.1868,-0.2583,0.2359
lig_2dd~lig_2gg,2.9318,0.3379,1.8527,0.2259
lig_2e~lig_2gg,-0.7942,0.088,-1.0225,0.105
lig_2f~lig_2gg,1.2081,0.445,1.2618,0.5109
lig_2ff~lig_2g,-0.2682,0.0984,-0.2966,0.0887
lig_2aa~lig_2b,-2.0677,0.6044,-0.7791,0.7634
lig_2aa~Intermediate_2,,,-0.4289,0.188
lig_2bb~lig_2dd,-1.4155,0.0499,-1.6909,0.1215
lig_2c~Intermediate,8.0726,0.4241,10.9443,0.6787
lig_2c~Intermediate_3,0.5344,0.0452,1.2206,0.16
lig_2e~lig_2a,-1.1704,0.082,-1.4788,0.0372
lig_2e~lig_2d,-0.1474,0.0274,-0.5404,0.0631
lig_2ee~lig_2a,0.2939,0.0859,-0.0003,0.2068
lig_2f~lig_2d,0.2284,0.0729,-0.034,0.0726
lig_2ff~lig_2a,-1.7345,0.1511,0.0959,0.1282
lig_2g~lig_2d,1.1083,0.025,0.928,0.0154
lig_2gg~lig_2a,-2.2682,1.7189,-0.6974,0.0699
lig_2j~lig_2m,-0.5706,0.2422,-2.7234,0.1405
lig_2j~Intermediate_4,-0.9748,0.2477,-3.9652,0.2737
lig_2k~lig_2a,-1.5819,0.202,-1.71,0.0557
lig_2m~lig_2a,0.5792,0.0817,1.6459,0.3091
lig_2n~lig_2a,1.4203,0.0579,1.2004,0.1417
lig_2o~lig_2a,0.5535,0.1164,1.9445,0.1276
lig_2p~lig_2a,0.8528,0.151,1.4783,0.1736
lig_2q~Intermediate_1,-1.0361,0.0784,0.3319,0.0535
lig_2q~Intermediate_4,0.0644,0.0764,0.8161,0.072
lig_2t~lig_2a,0.6446,0.3704,2.7622,0.1196
lig_2u~Intermediate_4,-1.3401,0.1477,-0.2628,0.2334
lig_2v~lig_2a,-2.0069,0.5109,-2.0441,0.189
lig_2v~Intermediate_10,-1.3531,0.2399,-0.6017,0.2661
lig_2x~Intermediate_7,1.4798,0.0817,-1.1788,0.1347
lig_2y~lig_2w,-0.1463,0.1098,0.9831,0.2736
lig_2y~Intermediate_10,0.4914,0.1152,1.8008,0.1761
lig_2z~lig_2w,-0.9935,0.3008,0.8844,0.2085
lig_2a~Intermediate_4,-1.7212,0.1775,-3.1847,0.2725
lig_2b~Intermediate_2,-0.9632,0.0803,0.857,0.3533
lig_2w~Intermediate_10,0.434,0.2884,0.4369,0.0565
lig_2d~Intermediate,5.5759,0.2362,8.7261,0.1147
lig_2d~Intermediate_5,4.3353,0.0935,4.0199,0.5245
lig_2d~Intermediate_8,2.1805,0.4423,2.6625,0.2419
