,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_2aa~lig_2z,,,,
lig_2aa~lig_2b,-2.0677,0.6044,-2.0677,0.6044
lig_2aa~Intermediate_2,,,,
lig_2bb~lig_2dd,-1.4155,0.0499,-1.4155,0.0499
lig_2bb~lig_2w,-0.6081,0.3184,-0.6081,0.3184
lig_2c~Intermediate,8.0726,0.4241,8.0726,0.4241
lig_2c~Intermediate_3,0.5344,0.0452,0.5344,0.0452
lig_2e~lig_2a,-1.1704,0.082,-1.1704,0.082
lig_2e~lig_2d,-0.1474,0.0274,-0.1474,0.0274
lig_2ee~lig_2j,3.2329,0.1503,3.2329,0.1503
lig_2ee~lig_2a,0.2939,0.0859,0.2939,0.0859
lig_2f~lig_2g,0.075,0.0615,0.075,0.0615
lig_2f~lig_2d,0.2284,0.0729,0.2284,0.0729
lig_2ff~lig_2gg,1.0459,0.1199,1.0459,0.1199
lig_2ff~lig_2a,-1.7345,0.1511,-1.7345,0.1511
lig_2g~lig_2h,0.2997,0.0649,0.2997,0.0649
lig_2g~lig_2i,-0.1146,0.1129,-0.1146,0.1129
lig_2g~lig_2d,1.1083,0.025,1.1083,0.025
lig_2gg~lig_2a,-2.2682,1.7189,-2.2682,1.7189
lig_2h~lig_2i,-0.8152,0.023,-0.8152,0.023
lig_2j~lig_2k,2.0602,0.1276,2.0602,0.1276
lig_2j~lig_2m,-0.5706,0.2422,-0.5706,0.2422
lig_2j~Intermediate_4,-0.9748,0.2477,-0.9748,0.2477
lig_2k~lig_2a,-1.5819,0.202,-1.5819,0.202
lig_2l~lig_2o,1.5442,0.1871,1.5442,0.1871
lig_2l~lig_2t,-0.1121,0.2624,-0.1121,0.2624
lig_2m~lig_2a,0.5792,0.0817,0.5792,0.0817
lig_2n~lig_2p,2.3149,0.079,2.3149,0.079
lig_2n~lig_2r,0.5167,0.1473,0.5167,0.1473
lig_2n~lig_2s,,,,
lig_2n~lig_2a,1.4203,0.0579,1.4203,0.0579
lig_2o~lig_2a,0.5535,0.1164,0.5535,0.1164
lig_2p~lig_2a,0.8528,0.151,0.8528,0.151
lig_2q~Intermediate_1,-1.0361,0.0784,-1.0361,0.0784
lig_2q~Intermediate_4,0.0644,0.0764,0.0644,0.0764
lig_2r~lig_2s,,,,
lig_2t~lig_2a,0.6446,0.3704,0.6446,0.3704
lig_2u~Intermediate_4,-1.3401,0.1477,-1.3401,0.1477
lig_2v~lig_2x,-0.7075,0.1905,-0.7075,0.1905
lig_2v~lig_2a,-2.0069,0.5109,-2.0069,0.5109
lig_2v~Intermediate_10,-1.3531,0.2399,-1.3531,0.2399
lig_2x~Intermediate_7,1.4798,0.0817,1.4798,0.0817
lig_2y~lig_2w,-0.1463,0.1098,-0.1463,0.1098
lig_2y~Intermediate_10,0.4914,0.1152,0.4914,0.1152
lig_2z~lig_2w,-0.9935,0.3008,-0.9935,0.3008
lig_2a~Intermediate_4,-1.7212,0.1775,-1.7212,0.1775
lig_2dd~lig_2w,0.8094,0.1461,0.8094,0.1461
lig_2b~Intermediate_2,-0.9632,0.0803,-0.9632,0.0803
lig_2w~Intermediate_10,0.434,0.2884,0.434,0.2884
lig_2d~Intermediate,5.5759,0.2362,5.5759,0.2362
lig_2d~Intermediate_5,4.3353,0.0935,4.3353,0.0935
lig_2d~Intermediate_8,2.1805,0.4423,2.1805,0.4423
lig_2ii~lig_2hh,-0.1277,0.0026,-0.1277,0.0026
lig_2ii~Intermediate_6,1.0426,0.084,1.0426,0.084
lig_2hh~Intermediate_10,2.0796,0.2258,2.0796,0.2258
Intermediate~Intermediate_3,-3.6328,0.0697,-3.6328,0.0697
Intermediate~Intermediate_5,-0.7631,0.1359,-0.7631,0.1359
Intermediate_1~Intermediate_4,-0.5445,0.1328,-0.5445,0.1328
Intermediate_2~Intermediate_10,0.4646,0.0523,0.4646,0.0523
Intermediate_6~Intermediate_10,2.132,0.4775,2.132,0.4775
Intermediate_7~Intermediate_8,0.6131,0.0422,0.6131,0.0422
Intermediate_8~Intermediate_10,-2.1539,0.1975,-2.1539,0.1975
