ligand,freenrg,error,engine,analysis,method
lig_27,2.6362666666666663,2.7962666666666665,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_32,2.202266666666666,2.8282666666666665,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_33,1.7342666666666662,2.7652666666666663,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_34,1.0822666666666663,2.871266666666666,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_37,0.5202666666666662,2.7722666666666664,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_39,-0.18773333333333353,2.9512666666666663,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_50,1.2892666666666663,2.7732666666666663,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_53,-1.5897333333333337,2.7972666666666663,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_56,-0.034733333333333505,2.795266666666666,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_58,-2.2807333333333335,2.807266666666666,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_60,-0.7357333333333336,2.7632666666666665,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_61,0.3702666666666663,2.7612666666666663,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_63,-2.470733333333334,2.7862666666666662,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_65,-2.3527333333333336,2.7712666666666665,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_67,-0.18273333333333364,2.803266666666666,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
