ligand,value,error
lig_2a,0.0100,0.004
lig_2aa,0.1580,0.067
lig_2b,0.0140,0.002
lig_2bb,0.2230,0.074
lig_2cc,0.1060,0.036
lig_2dd,0.0140,0.006
lig_2ee,0.0010,0.0006
lig_2f,0.5940,0.211
lig_2ff,0.0040,0.0006
lig_2g,0.0150,0.006
lig_2gg,0.0150,0.002
lig_2h,0.1110,0.035
lig_2hh,0.0420,0.015
lig_2ii,0.0110,-0.001
lig_2j,0.0400,0.011
lig_2k,0.0180,0.003
lig_2l,0.0010,0.0001
lig_2m,0.0090,0.001
lig_2n,0.0020,0.0005
lig_2o,0.0200,0.004
lig_2p,0.0060,0.0005
lig_2q,0.0010,0.0002
lig_2r,0.0120,0.002
lig_2s,0.0070,0.001
lig_2t,0.0020,0.0003
lig_2u,0.0010,0.0001
lig_2v,0.2600,0.075
lig_2w,0.0310,0.008
lig_2y,0.0670,0.026
lig_2z,0.0250,0.008
