# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_2k,-11.044508425852383,0.09936021293021031
lig_2u,-12.767636145724557,0.05961612775812619
lig_2x,-10.720425946700987,0.15384807163387404
lig_2l,-12.767636145724557,0.05961612775812619
lig_2q,-12.767636145724557,0.11923225551625238
lig_2ee,-12.767636145724557,0.35769676654875715
lig_2w,-11.941181128295625,0.044712095818594644
lig_2v,-9.452573080355686,0.1719695993022871
lig_2e,-11.194332356490932,0.2554976903919694
lig_2b,-11.194332356490932,0.08516589679732313
lig_2bb,-9.544089714349559,0.19782930287449946
lig_2z,-10.848667021595693,0.19077160882600383
lig_2n,-12.35440863701009,0.14904031939531548
lig_2o,-10.981696566231191,0.11923225551625238
lig_2a,-11.39492407494566,0.23846451103250477
lig_2p,-11.699458531431237,0.04968010646510516
lig_2t,-12.35440863701009,0.08942419163718929
lig_2ii,-11.338103836387013,0.7551276822483054
lig_2m,-11.457735934566848,0.06624014195347354
lig_2y,-10.260961221911936,0.23134616741959418
lig_2g,-11.153201478081272,0.23846451103250477
lig_2gg,-11.153201478081272,0.07948817034416826
lig_2d,-9.987474337456305,0.2024698678577871
lig_2s,-11.607559865205399,0.08516589679732313
lig_2r,-11.28623102271677,0.09936021293021031
lig_2aa,-9.74951302295865,0.2528025670755984
lig_2ff,-11.941181128295625,0.08942419163718929
lig_2j,-10.568469057516726,0.16394435133484703
lig_2dd,-10.435439512881228,0.23846451103250474
lig_2hh,-12.35440863701009,0.20865644715344167
lig_2i,-10.539382250912077,0.21291474199330784
lig_2h,-9.959996604102658,0.18797878121931683
lig_2f,-8.960026010935982,0.21176772654822604
lig_2c,-10.952609759626544,0.2838863226577438
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_2k,lig_2u,-1.2663,0.279,0.0
lig_2u,lig_2x,1.7306,0.3951,0.0
lig_2l,lig_2q,0.0299,0.2252,0.0
lig_2ee,lig_2w,0.6709,0.4227,0.0
lig_2ee,lig_2v,2.6736,0.3447,0.0
lig_2e,lig_2q,-2.8625,0.1622,0.0
lig_2b,lig_2l,-1.1844,0.3746,0.0
lig_2bb,lig_2v,1.5505,0.4965,0.0
lig_2b,lig_2z,0.7828,0.4613,0.0
lig_2n,lig_2o,1.0506,0.2259,0.0
lig_2a,lig_2p,-0.2064,0.1903,0.0
lig_2p,lig_2t,-4.807,1.5767,0.0
lig_2l,lig_2o,0.132,0.1812,0.0
lig_2bb,lig_2w,-1.2744,0.237,0.0
lig_2ii,lig_2v,2.1259,0.2444,0.0
lig_2m,lig_2x,2.7167,0.1943,0.0
lig_2l,lig_2m,0.325,0.1276,0.0
lig_2ii,lig_2w,-0.5148,0.3818,0.0
lig_2v,lig_2y,-1.1527,1.5333,0.0
lig_2g,lig_2v,2.3119,0.1995,0.0
lig_2gg,lig_2v,1.3755,0.2544,0.0
lig_2t,lig_2x,3.2607,0.0938,0.0
lig_2l,lig_2x,2.7216,0.2074,0.0
lig_2d,lig_2s,-0.7247,0.1807,0.0
lig_2w,lig_2y,-0.3095,0.3308,0.0
lig_2e,lig_2r,0.2899,1.6954,0.0
lig_2a,lig_2n,-1.6638,0.1436,0.0
lig_2n,lig_2t,0.3845,0.1116,0.0
lig_2aa,lig_2z,0.442,0.4789,0.0
lig_2r,lig_2s,-0.8206,0.3965,0.0
lig_2y,lig_2z,0.9156,0.5209,0.0
lig_2l,lig_2t,-0.5776,0.129,0.0
lig_2gg,lig_2k,0.0452,0.1716,0.0
lig_2a,lig_2k,0.5712,0.0699,0.0
lig_2v,lig_2w,-3.1012,0.2012,0.0
lig_2gg,lig_2l,-2.9235,0.2032,0.0
lig_2ff,lig_2j,0.7196,0.2116,0.0
lig_2dd,lig_2hh,-1.7022,0.1246,0.0
lig_2dd,lig_2i,1.6606,0.2706,0.0
lig_2ff,lig_2h,1.3728,0.1547,0.0
lig_2ff,lig_2hh,-0.7109,0.3199,0.0
lig_2e,lig_2h,0.1288,0.9939,0.0
lig_2a,lig_2gg,0.8798,0.114,0.0
lig_2d,lig_2gg,0.535,0.1292,0.0
lig_2dd,lig_2gg,1.3064,0.2497,0.0
lig_2i,lig_2j,-0.2409,0.3989,0.0
lig_2e,lig_2gg,-0.5506,0.0794,0.0
lig_2f,lig_2gg,2.1804,0.1084,0.0
lig_2ff,lig_2g,-0.6664,0.289,0.0
lig_2c,lig_2f,2.6709,0.8324,0.0
lig_2c,lig_2e,5.2537,0.234,0.0
