# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_2b,-11.194332356490932,0.08516589679732313
lig_2h,-9.959996604102658,0.18797878121931683
lig_2d,-9.987474337456305,0.2024698678577871
lig_2v,-9.452573080355686,0.1719695993022871
lig_2c,-10.952609759626544,0.2838863226577438
lig_2e,-11.194332356490932,0.2554976903919694
lig_2f,-8.960026010935982,0.21176772654822604
lig_2w,-11.941181128295625,0.044712095818594644
lig_2x,-10.720425946700987,0.15384807163387404
lig_2y,-10.260961221911936,0.23134616741959418
lig_2a,-11.39492407494566,0.23846451103250477
lig_2j,-10.568469057516726,0.16394435133484703
lig_2hh,-12.35440863701009,0.20865644715344167
lig_2ii,-11.338103836387013,0.7551276822483054
lig_2k,-11.044508425852383,0.09936021293021031
lig_2q,-12.767636145724557,0.11923225551625238
lig_2u,-12.767636145724557,0.05961612775812619
lig_2bb,-9.544089714349559,0.19782930287449946
lig_2z,-10.848667021595693,0.19077160882600383
lig_2p,-11.699458531431237,0.04968010646510516
lig_2s,-11.607559865205399,0.08516589679732313
lig_2n,-12.35440863701009,0.14904031939531548
lig_2o,-10.981696566231191,0.11923225551625238
lig_2ee,-12.767636145724557,0.35769676654875715
lig_2l,-12.767636145724557,0.05961612775812619
lig_2ff,-11.941181128295625,0.08942419163718929
lig_2gg,-11.153201478081272,0.07948817034416826
lig_2aa,-9.74951302295865,0.2528025670755984
lig_2dd,-10.435439512881228,0.23846451103250474
lig_2m,-11.457735934566848,0.06624014195347354
lig_2r,-11.28623102271677,0.09936021293021031
lig_2t,-12.35440863701009,0.08942419163718929
lig_2g,-11.153201478081272,0.23846451103250477
lig_2i,-10.539382250912077,0.21291474199330784
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_2b,lig_2h,0.5498,0.6776,0.0
lig_2d,lig_2v,1.4221,0.4582,0.0
lig_2c,lig_2e,4.1096,0.1956,0.0
lig_2c,lig_2f,3.2461,0.2593,0.0
lig_2d,lig_2w,-1.0535,0.108,0.0
lig_2x,lig_2y,-0.4732,0.0801,0.0
lig_2a,lig_2w,-1.396,0.143,0.0
lig_2e,lig_2v,0.7508,0.3531,0.0
lig_2j,lig_2v,3.4324,0.4132,0.0
lig_2v,lig_2x,-0.7075,0.1905,0.0
lig_2hh,lig_2w,1.6613,0.3838,0.0
lig_2ii,lig_2w,0.8232,0.0808,0.0
lig_2k,lig_2q,-3.3816,0.4884,0.0
lig_2q,lig_2u,-0.811,0.432,0.0
lig_2bb,lig_2z,0.1784,0.4566,0.0
lig_2p,lig_2s,-2.6881,0.9885,0.0
lig_2y,lig_2z,-0.3588,0.0963,0.0
lig_2n,lig_2o,1.2081,0.1296,0.0
lig_2bb,lig_2v,0.4837,0.0727,0.0
lig_2n,lig_2p,2.3149,0.079,0.0
lig_2ee,lig_2l,-0.9551,0.0512,0.0
lig_2ff,lig_2gg,1.0459,0.1199,0.0
lig_2gg,lig_2j,1.5931,0.1027,0.0
lig_2aa,lig_2v,0.7162,0.6491,0.0
lig_2b,lig_2w,0.8632,1.016,0.0
lig_2dd,lig_2w,0.8094,0.1461,0.0
lig_2ee,lig_2j,3.2329,0.1503,0.0
lig_2l,lig_2o,1.5442,0.1871,0.0
lig_2v,lig_2y,-1.4807,0.0775,0.0
lig_2k,lig_2m,-1.5505,0.2031,0.0
lig_2n,lig_2r,0.5167,0.1473,0.0
lig_2j,lig_2t,-0.1023,0.1433,0.0
lig_2l,lig_2t,-0.1121,0.2624,0.0
lig_2a,lig_2d,1.0247,0.0279,0.0
lig_2e,lig_2f,-0.6441,0.0362,0.0
lig_2f,lig_2g,0.075,0.0615,0.0
lig_2ff,lig_2j,0.1059,0.4754,0.0
lig_2hh,lig_2ii,0.1319,0.0169,0.0
lig_2k,lig_2l,-3.149,0.3038,0.0
lig_2l,lig_2n,-0.5112,0.0784,0.0
lig_2e,lig_2j,-0.1187,0.0738,0.0
lig_2j,lig_2k,2.0602,0.1276,0.0
lig_2i,lig_2j,0.2714,0.0182,0.0
lig_2g,lig_2h,0.2997,0.0649,0.0
lig_2g,lig_2i,-0.1146,0.1129,0.0
lig_2h,lig_2i,-0.8152,0.023,0.0
lig_2k,lig_2u,-2.1298,1.0573,0.0
lig_2u,lig_2x,1.9948,0.5384,0.0
lig_2l,lig_2q,0.2738,0.075,0.0
lig_2ee,lig_2w,0.9103,0.079,0.0
lig_2ee,lig_2v,2.2542,1.0449,0.0
lig_2e,lig_2q,-2.5306,0.105,0.0
