# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_2k,-11.044508425852383,0.09936021293021031
lig_2u,-12.767636145724557,0.05961612775812619
lig_2x,-10.720425946700987,0.15384807163387404
lig_2l,-12.767636145724557,0.05961612775812619
lig_2q,-12.767636145724557,0.11923225551625238
lig_2ee,-12.767636145724557,0.35769676654875715
lig_2w,-11.941181128295625,0.044712095818594644
lig_2v,-9.452573080355686,0.1719695993022871
lig_2e,-11.194332356490932,0.2554976903919694
lig_2b,-11.194332356490932,0.08516589679732313
lig_2bb,-9.544089714349559,0.19782930287449946
lig_2z,-10.848667021595693,0.19077160882600383
lig_2n,-12.35440863701009,0.14904031939531548
lig_2o,-10.981696566231191,0.11923225551625238
lig_2a,-11.39492407494566,0.23846451103250477
lig_2p,-11.699458531431237,0.04968010646510516
lig_2t,-12.35440863701009,0.08942419163718929
lig_2ii,-11.338103836387013,0.7551276822483054
lig_2m,-11.457735934566848,0.06624014195347354
lig_2y,-10.260961221911936,0.23134616741959418
lig_2g,-11.153201478081272,0.23846451103250477
lig_2gg,-11.153201478081272,0.07948817034416826
lig_2d,-9.987474337456305,0.2024698678577871
lig_2s,-11.607559865205399,0.08516589679732313
lig_2r,-11.28623102271677,0.09936021293021031
lig_2aa,-9.74951302295865,0.2528025670755984
lig_2ff,-11.941181128295625,0.08942419163718929
lig_2j,-10.568469057516726,0.16394435133484703
lig_2dd,-10.435439512881228,0.23846451103250474
lig_2hh,-12.35440863701009,0.20865644715344167
lig_2i,-10.539382250912077,0.21291474199330784
lig_2h,-9.959996604102658,0.18797878121931683
lig_2f,-8.960026010935982,0.21176772654822604
lig_2c,-10.952609759626544,0.2838863226577438
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_2k,lig_2u,-3.3467,0.7515,0.0
lig_2l,lig_2q,-2.3978,0.4389,0.0
lig_2ee,lig_2w,1.0578,0.2681,0.0
lig_2ee,lig_2v,2.8537,0.2839,0.0
lig_2e,lig_2q,-5.376,0.4853,0.0
lig_2b,lig_2l,1.4472,0.5656,0.0
lig_2bb,lig_2v,1.1999,0.2571,0.0
lig_2b,lig_2z,1.0046,1.1101,0.0
lig_2n,lig_2o,0.2492,0.2287,0.0
lig_2a,lig_2p,-1.0557,0.163,0.0
lig_2p,lig_2t,-0.1336,0.6203,0.0
lig_2l,lig_2o,-0.1845,0.2667,0.0
lig_2bb,lig_2w,0.1017,0.349,0.0
lig_2ii,lig_2v,2.4034,0.1794,0.0
lig_2m,lig_2x,2.7473,0.4968,0.0
lig_2l,lig_2m,0.0631,0.0444,0.0
lig_2ii,lig_2w,1.0956,0.2582,0.0
lig_2v,lig_2y,-1.8376,0.188,0.0
lig_2g,lig_2v,3.2825,0.1262,0.0
lig_2gg,lig_2v,1.9197,0.2625,0.0
lig_2t,lig_2x,3.3344,0.095,0.0
lig_2l,lig_2x,2.7577,0.4683,0.0
lig_2d,lig_2s,-1.7787,0.1413,0.0
lig_2w,lig_2y,-0.9672,0.3516,0.0
lig_2e,lig_2r,-2.5663,0.054,0.0
lig_2a,lig_2n,-1.2781,0.2857,0.0
lig_2n,lig_2t,0.063,0.1806,0.0
lig_2aa,lig_2z,0.3926,0.119,0.0
lig_2r,lig_2s,-1.4677,0.2335,0.0
lig_2y,lig_2z,-0.0242,0.2209,0.0
lig_2l,lig_2t,-0.9441,0.0327,0.0
lig_2gg,lig_2k,1.1081,0.0891,0.0
lig_2a,lig_2k,1.8692,0.0672,0.0
lig_2v,lig_2w,-1.7928,0.1169,0.0
lig_2gg,lig_2l,-2.3786,0.1958,0.0
lig_2ff,lig_2j,1.009,0.1575,0.0
lig_2dd,lig_2hh,-0.0519,0.3503,0.0
lig_2dd,lig_2i,3.0028,0.9757,0.0
lig_2ff,lig_2h,1.2598,0.0987,0.0
lig_2ff,lig_2hh,-1.6146,0.2453,0.0
lig_2e,lig_2h,0.8971,0.065,0.0
lig_2a,lig_2gg,0.4877,0.3113,0.0
lig_2d,lig_2gg,-0.2583,0.2359,0.0
lig_2dd,lig_2gg,1.8527,0.2259,0.0
lig_2i,lig_2j,0.2132,0.0885,0.0
lig_2e,lig_2gg,-1.0225,0.105,0.0
lig_2f,lig_2gg,1.2618,0.5109,0.0
lig_2ff,lig_2g,-0.2966,0.0887,0.0
lig_2c,lig_2f,3.5189,0.8976,0.0
lig_2c,lig_2e,2.7003,0.6349,0.0
