,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_53~lig_67,0.6872,0.1289,2.384069446513572,0.19611671832598107
lig_67~lig_65,-0.8569,0.1267,-0.8264550174289331,0.19180381855063072
lig_67~lig_39,2.9814,0.2226,0.5541533446511124,0.0583948739140939
lig_60~lig_67,-0.8251,0.1772,1.3342367035643194,0.027239244925782086
lig_33~lig_34,-0.447,0.0559,0.006052450742468629,0.2612566286899177
lig_34~lig_37,-0.7505,0.0447,-2.0844824149163994,0.35494339781098216
lig_53~lig_56,1.5437,0.0416,0.7068229192490953,0.19789847960991214
lig_50~lig_58,-2.6927,0.4907,-0.07960624562424101,0.15500427187590904
lig_60~lig_65,-1.1798,0.0553,0.5077816861353863,0.19167912020261121
lig_33~lig_53,-2.3445,0.0494,-3.0897873399086047,0.263038298992861
lig_37~lig_53,-2.2009,0.0178,-1.0113573757346739,0.35625684042870154
lig_56~lig_58,-2.0654,0.023,-0.14982393063854893,0.05394670143602067
lig_60~lig_61,1.0334,0.0939,0.835698013082073,0.23919113990605265
lig_27~lig_39,-1.0023,0.0885,-0.9104573923536252,0.1328174542336723
lig_50~lig_53,-1.8447,0.1174,-0.6366052342347874,0.24551962433962052
lig_63~lig_61,2.7813,0.0478,0.9828664325255403,0.25683413851255643
lig_63~lig_65,0.5386,0.037,0.6549501055788536,0.21328914275597163
lig_33~lig_39,0.0316,0.1703,-0.1515645487439201,0.18476293142713576
lig_32~lig_37,-1.4644,0.083,-2.370672000057911,0.3196775882676304
lig_27~lig_32,-0.5612,0.1239,-0.466650807725725,0.1672336872313416
