,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_53~lig_67,1.2761,0.1495,1.2761,0.1495
lig_65~lig_67,1.9573,0.1528,1.9573,0.1528
lig_39~lig_67,-1.8689,0.7006,-1.8689,0.7006
lig_60~lig_67,0.1244,0.1979,0.1244,0.1979
lig_33~lig_34,-0.7107,0.2618,-0.7107,0.2618
lig_34~lig_37,-1.0751,0.1471,-1.0751,0.1471
lig_53~lig_56,1.5382,0.123,1.5382,0.123
lig_50~lig_58,-2.8165,0.1317,-2.8165,0.1317
lig_60~lig_65,-1.7399,0.0348,-1.7399,0.0348
lig_33~lig_53,-4.2612,0.2297,-4.2612,0.2297
lig_37~lig_53,-2.4554,0.0623,-2.4554,0.0623
lig_56~lig_58,-2.1527,0.1269,-2.1527,0.1269
lig_60~lig_61,1.231,0.1374,1.231,0.1374
lig_27~lig_39,-2.8241,0.325,-2.8241,0.325
lig_50~lig_53,-2.2768,0.211,-2.2768,0.211
lig_61~lig_63,-2.7346,0.2703,-2.7346,0.2703
lig_63~lig_65,0.5134,0.1028,0.5134,0.1028
lig_33~lig_39,-0.9461,0.2788,-0.9461,0.2788
lig_32~lig_37,-2.5553,0.0904,-2.5553,0.0904
lig_27~lig_32,-0.3328,0.0615,-0.3328,0.0615
